"Location","Source","Target"
"263796174-0-356","Unlocks the ability to create characters of any Alliance regardless of race. Represent your Alliance with a Mount, Pet, Costume, and Hat!\n\nAlso contains a Race & Name Change Token, 3 Experience Scrolls, and a collection of Treasure Maps.","종족에 상관없이 어떤 연합으로든 캐릭터를 생성할 수 있게 해 줍니다. 탈것과 애완동물, 의상, 모자를 통해 당신의 연합을 대표하세요!\n\n또한 종족과 이름 변환 토큰, 경험치 두루마리 3개, 보물지도 콜렉션도 함께 포함되어 있습니다."
"263796174-0-235","Includes the Divine Prosecution Outfit Style and an Outfit token.","Includes the Divine Prosecution Outfit Style and an Outfit token."
"263796174-0-114","Furnishings for the kitchen in an aristocratic manner, as seen in the homes of high-ranking Nibenese.","Furnishings for the kitchen in an aristocratic manner, as seen in the homes of high-ranking Nibenese."
"263796174-0-355","Bring the stark beauty of an Anequine oasis to your courtyard with this bundle of Elsweyr plants and statuary, complete with a luminous fountain blessed by Jone and Jode.","Bring the stark beauty of an Anequine oasis to your courtyard with this bundle of Elsweyr plants and statuary, complete with a luminous fountain blessed by Jone and Jode."
"263796174-0-113","A broad selection of upper-class Nibenese furnishings for every room in the house.","A broad selection of upper-class Nibenese furnishings for every room in the house."
"263796174-0-354","Display your reverence for the Moons with this assortment of clerical Elsweyr furnishings. Luxurious tapestries, tasteful furniture, and even a target dro-m'Athra will make your home the envy of Khajiiti adepts everywhere.","Display your reverence for the Moons with this assortment of clerical Elsweyr furnishings. Luxurious tapestries, tasteful furniture, and even a target dro-m'Athra will make your home the envy of Khajiiti adepts everywhere."
"263796174-0-112","A selection of household necessities drawn from cultures across southern Tamriel, ideal for the Grand Topal Hideaway.","A selection of household necessities drawn from cultures across southern Tamriel, ideal for the Grand Topal Hideaway."
"263796174-0-353","Includes all the bonus content of the Elsweyr Digital Collector's Edition, as well as the Elsweyr pre-order digital items.\n\n|cFFFFFFDoes not include the Rahd-m'Athra mount or Elsweyr DLC","엘스웨어 디지털 수집가 에디션의 모든 보너스 콘텐츠가 포함되어 있으며, 엘스웨어 사전 예약 디지털 아이템도 포함되어 있습니다.\n\n|cFFFFFF엘스웨어 챕터는 포함되어 있지 않습니다.|r"
"263796174-0-111","A selection of living room furnishings drawn from cultures across southern Tamriel, ideal for the Grand Topal Hideaway.","A selection of living room furnishings drawn from cultures across southern Tamriel, ideal for the Grand Topal Hideaway."
"263796174-0-239","A collection of 3 Morrowind Treasure Maps.","A collection of 3 Morrowind Treasure Maps."
"263796174-0-118","Craglorn has long multicultural history, and this carefully-curated mix of furnishings is perfect for every room in Earthtear Cavern.","Craglorn has long multicultural history, and this carefully-curated mix of furnishings is perfect for every room in Earthtear Cavern."
