"Location","Source","Target"
"242841733-0-4439","rough ash^ns","거친 물푸레나무 (rough ash)"
"228378404-0-818","Ten of these items can be refined to make sanded birch.","이 물건 10개를 가공해 매끄러운 자작나무을 얻을 수 있습니다."
"242841733-0-71199","rough ruby ash^ns","거친 루비 물푸레나무 (rough ruby ash)"
"242841733-0-818","rough birch^ns","거친 자작나무 (rough birch)"
"228378404-0-71199","Ten of these items can be refined to make sanded ruby ash wood.","이 아이템 10개를 가공해 매끄러운 루비 물푸레나무를 얻을 수 있습니다."
"228378404-0-4439","Ten of these items can be refined to make sanded ash.","이 아이템 10개를 가공해 매끄러운 물푸레나무를 얻을 수 있습니다."
"242841733-0-23118","rough hickory^ns","거친 히코리 (rough hickory)"
"242841733-0-23117","rough beech^ns","거친 너도밤나무 (rough beech)"
"242841733-0-802","rough maple^ns","거친 단풍나무 (rough maple)"
"242841733-0-23138","rough nightwood^ns","거친 깊은밤나무 (rough nightwood)"
"242841733-0-23137","rough mahogany^ns","거친 마호가니 (rough mahogany)"
"242841733-0-521","rough oak^ns","거친 참나무 (rough oak)"
"242841733-0-23119","rough yew^ns","거친 주목 (rough yew)"
"228378404-0-23119","Ten of these items can be refined to make sanded yew.","이 물건 10개를 가공해 매끄러운 주목을 얻을 수 있습니다."
"228378404-0-521","Ten of these items can be refined to make sanded oak.","이 물건 10개를 가공해 매끄러운 참나무를 얻을 수 있습니다."
"228378404-0-23117","Ten of these items can be refined to make sanded beech.","이 물건 10개를 가공해 매끄러운 너도밤나무를 얻을 수 있습니다."
"228378404-0-23118","Ten of these items can be refined to make sanded hickory.","이 물건 10개를 가공해 매끄러운 히코리를 얻을 수 있습니다."
"228378404-0-23137","Ten of these items can be refined to make sanded mahogany.","이 물건 10개를 가공해 매끄러운 마호가니를 얻을 수 있습니다."
"228378404-0-23138","Ten of these items can be refined to make sanded nightwood.","이 아이템 10개를 가공해 매끄러운 깊은밤나무를 얻을 수 있습니다."
"228378404-0-802","Ten of these items can be refined to make sanded maple.","이 아이템 10개를 가공해 매끄러운 단풍나무를 얻을 수 있습니다."
