"Location","Source","Target"
"228378404-0-135141","Ten of these items can be refined to make silver ounces.","이 아이템 10개를 가공해 은 온스를 얻을 수 있습니다."
"242841733-0-135145","platinum dust","백금 가루 (platinum dust)"
"228378404-0-135143","Ten of these items can be refined to make electrum ounces.","이 아이템 10개를 가공해 호박금 온스를 얻을 수 있습니다."
"242841733-0-135143","electrum dust","호박금 가루 (electrum dust)"
"228378404-0-135145","Ten of these items can be refined to make platinum ounces.","이 아이템 10개를 가공해 백금 온스를 얻을 수 있습니다."
"242841733-0-135141","silver dust","은 가루 (silver dust)"
"228378404-0-135137","Ten of these items can be refined to make pewter ounces.","이 아이템 10개를 가공해 백랍 온스를 얻을 수 있습니다."
"242841733-0-135139","copper dust","구리 가루 (copper dust)"
"228378404-0-135139","Ten of these items can be refined to make copper ounces.","이 아이템 10개를 가공해 구리 온스를 얻을 수 있습니다."
"242841733-0-135137","pewter dust","백랍 가루 (pewter dust)"
