"Location","Source","Target"
"228378404-0-34329","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"228378404-0-34322","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"242841733-0-28639","Rye","호밀 (Rye)"
"228378404-0-34323","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"228378404-0-34324","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"242841733-0-28636","Rose","장미 (Rose)"
"228378404-0-34320","Use to make Mixed Grill","Use to make Mixed Grill"
"228378404-0-34321","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"242841733-0-120894","Animus Stone","원한의 돌 (Animus Stone)"
"228378404-0-27000","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-27001","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-27002","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-34316","Use to make Honey Pudding","Use to make Honey Pudding"
"228378404-0-34311","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"242841733-0-45523","Old Emperor Grapes^p","Old Emperor Grapes"
"242841733-0-45522","Old Golden Malt","Old Golden Malt"
"242841733-0-45524","Old Imperial Mash","Old Imperial Mash"
"228378404-0-34308","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"228378404-0-34309","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"228378404-0-28666","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"228378404-0-34304","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-34305","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"228378404-0-34307","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"228378404-0-115026","This incredibly rare and valuable ingredient can be used to open a person's eyes to untold experiences — if properly prepared by the most skilled and knowledgeable of crafters.","놀랍도록 희귀하고 가치있는 재료입니다. 사람의 눈을 뜨이게 하여 막대한 경험을 할 수 있게 해 주죠. 최고로 숙련되고 식견 있는 제작가가 제대로 준비한다면 말입니다."
"242841733-0-34304","Old Pork","오래된 돼지고기 (Old Pork)"
"242841733-0-34305","Pumpkin","호박 (Pumpkin)"
"228378404-0-27100","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"242841733-0-26802","Frost Mirriam","서리 미리암 (Frost Mirriam)"
"242841733-0-28666","Seaweed","해초 (Seaweed)"
"228378404-0-26802","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"242841733-0-27064","Millet","기장 (Millet)"
"242841733-0-27063","Saltrice","솔트라이스 (Saltrice)"
"228378404-0-26978","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-26977","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-26976","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-26975","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-26974","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-27043","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"242841733-0-33754","White Meat","흰 고기 (White Meat)"
"242841733-0-33755","Bananas","바나나 (Bananas)"
"228378404-0-27044","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"242841733-0-33752","Red Meat","붉은 고기 (Red Meat)"
"242841733-0-33753","Fish","생선살 (Fish)"
"228378404-0-26990","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"242841733-0-28604","Greens","푸른 채소 (Greens)"
"242841733-0-28603","Tomato","토마토 (Tomato)"
"242841733-0-40268","Old Camaralet Grapes^p","Old Camaralet Grapes"
"242841733-0-44633","Shadow dancer spidersilk","Shadow dancer spidersilk"
"242841733-0-40269","Old Ribier Grapes^p","Old Ribier Grapes"
"242841733-0-5391","Planed Maple","Planed Maple"
"242841733-0-40276","Old Mutton Flank","Old Mutton Flank"
"242841733-0-40273","Old Barley Mash","Old Barley Mash"
"242841733-0-40274","Old Rice Mash","Old Rice Mash"
"242841733-0-40271","Old Wheat Mash","Old Wheat Mash"
"228378404-0-26989","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"242841733-0-40272","Old Oat Mash","Old Oat Mash"
"228378404-0-26988","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-26987","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"242841733-0-40270","Old Corn Mash","Old Corn Mash"
"228378404-0-26986","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"228378404-0-27035","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"242841733-0-28610","Jazbay Grapes","재즈베이 포도 (Jazbay Grapes)"
"242841733-0-33768","Comberry","콤베리 (Comberry)"
"228378404-0-34348","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"228378404-0-34349","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"228378404-0-34345","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"228378404-0-34346","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"228378404-0-34347","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
"242841733-0-28612","shank","shank"
"242841733-0-28608","Old Plump Maggots^p","Old Plump Maggots"
"242841733-0-28609","Game","고기 (Game)"
"242841733-0-33772","Coffee","커피 (Coffee)"
"228378404-0-26954","An ingredient for crafting food.","음식을 만들기 위한 재료입니다."
"242841733-0-33773","Mint","민트 (Mint)"
"242841733-0-33771","Jasmine","재스민 (Jasmine)"
"242841733-0-33774","Yeast","이스트 (Yeast)"
"228378404-0-27003","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"242841733-0-33758","Potato","감자 (Potato)"
"228378404-0-27004","This item is no longer used in crafting, and can be sold.","이 아이템은 더 이상 제작에 사용되지 않습니다. 판매는 할 수 있습니다."
"242841733-0-33756","Small Game","작은 고기 (Small Game)"
"242841733-0-33757","Old Venison","오래된 사슴고기 (Old Venison)"
"228378404-0-34333","An ingredient for crafting beverages.","음료를 만들기 위한 재료입니다."
