"Location","Source","Target"
"242841733-0-114895","Heartwood","속재목 (Heartwood)"
"242841733-0-114889","Regulus","레귤러스 (Regulus)"
"242841733-0-135161","Ochre","황토 (Ochre)"
"242841733-0-114890","Bast","인피 섬유 (Bast)"
"228378404-0-126581","A collection of Dwarven metal flanges, pinions, and flywheels for a construct to repair itself.","구성체가 스스로를 수리할 수 있도록 해 주는 드워븐 금속 조각, 톱니바퀴, 조절바퀴 묶음입니다."
"242841733-0-114892","Mundane Rune","평범한 룬 (Mundane Rune)"
"242841733-0-114891","Clean Pelt","깨끗한 털가죽 (Clean Pelt)"
"242841733-0-114894","Decorative Wax","장식용 왁스 (Decorative Wax)"
"242841733-0-114893","Alchemical Resin","연금 수지 (Alchemical Resin)"
"228378404-0-114889","Used in crafting metal furniture.","금속 가구를 제작하는 데에 사용됩니다."
"228378404-0-114893","Used in crafting alchemically treated furniture.","연금술적인 처리가 된 가구를 제작하는 데에 사용됩니다."
"228378404-0-114894","Used in crafting decorative food or finishing touches.","장식용 음식의 제작이나 마무리 손질에 사용됩니다."
"228378404-0-114895","Used in crafting wooden furniture.","목재 가구를 제작하는 데에 사용됩니다."
"228378404-0-114890","Used in crafting cloth furniture.","천 가구를 제작하는 데에 사용됩니다."
"228378404-0-114891","Used in crafting leather furniture.","가죽 가구를 제작하는 데에 사용됩니다."
"228378404-0-114892","Used in crafting stone furniture.","석재 가구를 제작하는 데에 사용됩니다."
"242841733-0-126581","Dwarven Construct Repair Parts","드워븐 구성체 수리부품"
"228378404-0-135161","Used in crafting jewelry furniture.","쥬얼리 가구를 제작하는 데에 사용됩니다."
