"Location","Source","Target"
"228378404-0-23173","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"242841733-0-23171","Garnet","석류석 (Garnet)"
"228378404-0-23171","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"228378404-0-30219","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"242841733-0-56862","Fortified Nirncrux","강화된 니른크럭스 (Fortified Nirncrux)"
"242841733-0-30219","Bloodstone","혈석 (Bloodstone)"
"242841733-0-4456","Quartz","석영 (Quartz)"
"242841733-0-23173","Sapphire","사파이어 (Sapphire)"
"242841733-0-4442","Emerald","에메랄드 (Emerald)"
"242841733-0-23221","Almandine","귀석류석 (Almandine)"
"228378404-0-30221","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"228378404-0-56862","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"242841733-0-23219","Diamond","다이아몬드 (Diamond)"
"228378404-0-4442","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"228378404-0-23219","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"228378404-0-4456","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"228378404-0-23221","Can be used to enhance armor.","방어구를 강화하는데 사용됩니다."
"242841733-0-30221","Sardonyx","홍마노 (Sardonyx)"
