"Location","Source","Target"
"242841733-0-128372","Ulfnor's Favor Ring","Ulfnor's Favor: 반지"
"242841733-0-7525","Zariya's Sorrow","Zariya's Sorrow"
"242841733-0-123912","Automated Defense Ring^n","Automated Defense: 반지"
"242841733-0-75061","Ring of the Shadow Dancer","Shadow Dancer: 반지"
"242841733-0-93721","Ring of Cyrodiil's Ward","Cyrodiil's Ward: 반지"
"242841733-0-156849","Hiti's Ring","Hiti's Ring"
"242841733-0-107448","Bone Pirate's Ring","Bone Pirate: 뼈다귀 해적의 반지"
"242841733-0-140030","Adept Rider's Ring","Adept Rider's Ring"
"242841733-0-92629","Ring of the Valiant","The Valiant: 반지"
"242841733-0-140032","Sload's Ring","Sload's Ring"
"242841733-0-140034","Nocturnal's Favored Ring","Nocturnal's Favored Ring"
"242841733-0-140037","Ring of Twilight's Embrace","Ring of Twilight's Embrace"
"242841733-0-128126","Blooddrinker Ring","Blooddrinker: 반지"
"242841733-0-34754","Dead Man's Ring of Salvation","Dead Man's Ring of Salvation"
"242841733-0-140036","Ring of Death's Wind","Ring of Death's Wind"
"228378404-0-159727","A ring containing a Vampiric deathstone, found in Greymoor Keep.","A ring containing a Vampiric deathstone, found in Greymoor Keep."
"228378404-0-159725","A ring bearing a Hircine stone, acquired by helping the Werewolf pack of Dark Moon Grotto.","A ring bearing a Hircine stone, acquired by helping the Werewolf pack of Dark Moon Grotto."
"242841733-0-163110","Spell Parasite's Ring","Spell Parasite's Ring"
"242841733-0-142418","Dead-Water's Guile Ring","Dead-Water's Guile Ring"
"242841733-0-159099","Dauntless Combatant's Ring","Dauntless Combatant's Ring"
"242841733-0-7300","Darkstride Silverhoof Loop","Darkstride Silverhoof Loop"
"242841733-0-149058","Undertaker's Ring","Undertaker's Ring"
"242841733-0-43008","Commander's Signet of Salvation","Commander's Signet of Salvation"
"242841733-0-151369","Perfected Nahviintaas's Ring","Perfected Nahviintaas's Ring"
"242841733-0-86188","Ring of the Withered Hand","Withered Hand: 반지"
"242841733-0-108549","Barkskin Ring","Barkskin Ring"
"242841733-0-10333","Merchant's Favor Ring","Merchant's Favor: 반지"
"242841733-0-122610","Warrior-Poet's Ring","Warrior-Poet: 시인전사의 반지"
"242841733-0-163108","Spell Parasite's Ring","Spell Parasite's Ring"
"242841733-0-105037","Hircine's Ring","Hircine's Ring"
"242841733-0-163106","Spell Parasite's Ring","Spell Parasite's Ring"
"228378404-0-54888","This ancient ring was made for decorated Yokudan heavy infantry.","This ancient ring was made for decorated Yokudan heavy infantry."
"242841733-0-34527","Stygian Marwoleath's Torment","음침한 마르월레스의 고문"
"242841733-0-88349","Ring of Cyrodiil's Crest","Cyrodiil's Crest: 반지"
"242841733-0-117269","Reactive Ring","Reactive: 반지"
"228378404-0-54884","This ancient ring was made for decorated Yokudan infantry.","This ancient ring was made for decorated Yokudan infantry."
"228378404-0-54883","This ancient ring was made for decorated Yokudan infantry.","This ancient ring was made for decorated Yokudan infantry."
"242841733-0-91753","Ring of Cyrodiil's Light","Ring of Cyrodiil's Light"
"242841733-0-4280","Ring of Remembrance","추모의 반지"
"242841733-0-157914","Grave Guardian's Ring","Grave Guardian's Ring"
"242841733-0-89441","Ravaging Ring","Ravaging Ring"
"242841733-0-55898","Ring of Cyrodiil's Light","Ring of Cyrodiil's Light"
"242841733-0-109650","Ring of Durok's Bane","Ring of Durok's Bane"
