"Location","Source","Target"
"242841733-0-77600","Vitality","활력 물약"
"242841733-0-112427","Gold Coast Spellcaster Elixir","골드 코스트 주문시전자 영약"
"242841733-0-158308","Timidity","Timidity"
"242841733-0-74728","Roguish Stealth Draught","악인의 투명화 물약"
"242841733-0-44714","Weapon Power","물리 공격력 물약"
"242841733-0-74729","Roguish Escape Draught","악인의 탈출 물약"
"242841733-0-44715","Invisibility","투명화 물약"
"242841733-0-34125","Health Elixir","체력 영약"
"242841733-0-71072","Alliance Spell Draught","연합 전쟁 주문 물약"
"242841733-0-71071","Alliance Health Draught","연합전쟁 체력 물약"
"242841733-0-27037","Magicka","매지카 물약"
"242841733-0-71073","Alliance Battle Draught","연합 전쟁 전투 물약"
"242841733-0-27036","health","체력 물약"
"242841733-0-112437","Crown Invisibility Potion","크라운제 투명화 물약"
"228378404-0-68351","A potion of curious origin. Rumoured to greatly aid spellcasting.","수상한 기원을 가진 물약입니다. 주문 시전에 특히 좋다고 소문나있다."
"228378404-0-68350","A potion of curious origin. Rumoured to aid spellcasting.","수상한 기원을 가진 물약입니다. 주문 시전에 좋다고 소문나있다."
"242841733-0-61028","Crown Health Potion","크라운제 체력 물약"
"242841733-0-42406","Torchbug Treacle","횃불벌레 당밀"
"242841733-0-27039","Immovability","저지 불가 물약"
"242841733-0-27038","stamina","스태미나 물약"
"242841733-0-61029","Crown Stamina Potion","크라운제 스태미나 물약"
"242841733-0-112430","Gold Coast Survivor Elixir","골드 코스트 생존자 영약"
"242841733-0-61030","Crown Magicka Potion","크라운제 매지카 물약"
"242841733-0-64741","White Tincture","흰색 원액"
"242841733-0-112428","Gold Coast Warrior Elixir","골드 코스트 전사 영약"
"228378404-0-64469","A potent tincture, useful for myriad arcane practices.","강력한 원액, 다양한 비밀 임무에 효과적입니다."
"242841733-0-77602","Defile","부패 물약"
"228378404-0-64741","A potion of curious origin.","수상한 기원을 가진 물약입니다."
"242841733-0-27042","Armor","갑옷 물약"
"242841733-0-27041","Speed","속도 물약"
"242841733-0-54340","Magicka","매지카 물약"
"242841733-0-54341","stamina","스태미나 물약"
"242841733-0-64469","Ashen Blood of Malacath","말라카스의 피"
"242841733-0-135127","Gold Coast Warrior Elixir","골드 코스트 전사 영약"
"242841733-0-135125","Gold Coast Spellcaster Elixir","골드 코스트 주문시전자 영약"
"242841733-0-44821","Ravage Spell Protection","주문 방어 파손 물약"
"242841733-0-44812","Ravage Health","체력 피해 물약"
"242841733-0-64510","Crown Health Potion","크라운제 체력 물약"
"242841733-0-44813","Cowardice","겁쟁이"
"242841733-0-44814","Spell Protection","주문 방어 물약"
"242841733-0-68356","Heavy Red Tincture","시뻘건 원액"
"242841733-0-44815","Ravage Magicka","매지카 피해 물약"
"242841733-0-68354","Orange Tincture","오랜지색 원액"
"242841733-0-68355","Shifting Violet Tincture","옅은 보라색 원액"
"242841733-0-151969","Heroism","궁극기 물약"
"242841733-0-68352","Glowing Green Tincture","빛나는 녹색 원액"
"228378404-0-68353","A potion of curious origin. Rumoured to aid fighting ability.","수상한 기원을 가진 물약입니다. 전투 기술에 좋다고 소문나있다."
"228378404-0-68352","A potion of curious origin. Rumoured to greatly aid fighting ability.","수상한 기원을 가진 물약입니다. 전투 기술에 특히 좋다고 소문나있다."
"242841733-0-68353","Green Tincture","녹색 원액"
"242841733-0-30141","Spell Critical","주문 크리티컬 물약"
"242841733-0-68350","Cyan Tincture","청록색 원액"
"228378404-0-68355","A potion of curious origin. Rumoured to aid stealth and intrusion.","수상한 기원을 가진 물약입니다. 은신과 침입에 좋다고 소문나있다."
"242841733-0-30142","Detection","탐지 물약"
"242841733-0-27040","Ravage Armor","보호력 파손 물약"
"242841733-0-54858","Spell Weaving","주문 엮기 물약"
"242841733-0-68351","Glowing Cyan Tincture","빛나는 청록색 원액"
"228378404-0-68354","A potion of curious origin. Rumoured to aid detection.","수상한 기원을 가진 물약입니다. 탐지에 좋다고 소문나있다."
"242841733-0-54859","Rejuvenation","재생 물약"
"242841733-0-54339","health","체력 물약"
"228378404-0-68356","A potion of curious origin. Rumoured to aid stealth and intrusion.","수상한 기원을 가진 물약입니다. 은신과 침입에 좋다고 소문나있다."
"242841733-0-30145","Spell Power","주문 공격력 물약"
"242841733-0-54857","Strength","힘 물약"
"242841733-0-54337","Enervation","쇠약화 물약"
"242841733-0-30146","Weapon Crit","무기 크리티컬 물약"
"242841733-0-124674","Gold Coast Swift Survivor Elixir","골드 코스트 재빠른 생존자 영약"
"242841733-0-135111","Gold Coast Swift Survivor Elixir","골드 코스트 재빠른 생존자 영약"
"242841733-0-54335","Hindering","이동력 감쇄 물약"
"242841733-0-77598","Vulnerability","취약화 물약"
"242841733-0-54336","Uncertainty","불확실"
"242841733-0-54333","Entrapment","덫"
"242841733-0-77594","Creeping Ravage Health","끔찍한 체력 파괴 물약"
"242841733-0-77596","Protection","보호 물약"
"242841733-0-77592","Lingering Health","지속성 체력 회복 물약"
"242841733-0-64710","Crown Tri-Restoration Potion","크라운제 삼중회복 물약"
"242841733-0-135114","Crown Tri-Restoration Potion","크라운제 삼중회복 물약"
"242841733-0-44810","Maim","불구 물약"
"242841733-0-44809","Ravage Stamina","스태미나 피해 물약"
