"Location","Source","Target"
"228378404-0-46131","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"242841733-0-23125","cotton^ns","목화"
"228378404-0-4447","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"242841733-0-64506","Rubedo Leather^ns","루베도 가죽(Rubedo Leather)"
"242841733-0-23101","fell hide^ns","공그른 가죽"
"242841733-0-23100","thick leather^ns","두꺼운 가죽"
"242841733-0-23127","ebonthread^ns","흑단실(ebonthread)"
"242841733-0-64504","Ancestor Silk^ns","선조 비단(Ancestor Silk) "
"242841733-0-23126","spidersilk^ns","거미 비단"
"228378404-0-4463","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"242841733-0-794","rawhide^ns","생가죽(rawhide)"
"228378404-0-794","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-23126","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-23127","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-811","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-23125","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-23100","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-23101","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"242841733-0-46131","Kresh Fiber^ns","크레시 섬유"
"242841733-0-23099","leather^ns","가공 가죽"
"242841733-0-4447","hide^ns","가죽"
"242841733-0-46133","silverweave^ns","은섬유"
"242841733-0-46132","ironthread^ns","철실"
"242841733-0-46135","topgrain hide^ns","정밀가공 가죽"
"242841733-0-46134","void cloth^ns","공허천"
"242841733-0-46137","superb hide^ns","최상급 가죽"
"242841733-0-4463","flax^ns","아마"
"242841733-0-46136","Iron Hide^ns","철 가죽"
"242841733-0-46138","Shadowhide^ns","그림자가죽"
"242841733-0-811","jute^ns","황마(jute)"
"228378404-0-64506","An ingredient for crafting leather armor.","가죽 갑옷을 만들기 위한 재료입니다."
"228378404-0-46135","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-46134","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-64504","An ingredient for crafting cloth armor.","천 갑옷을 만들기 위한 재료입니다."
"228378404-0-46133","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-46132","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-46138","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-46137","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-46136","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
"228378404-0-23099","An ingredient for crafting clothing.","옷을 만들기 위한 재료입니다."
