"Location","Source","Target"
"121778053-20-1","Good job","수고하셨습니다"
"121778053-21-1","Self-congratulate","자축"
"121778053-22-1","Thank you","고맙소"
"78205445-21-1","That's right, I'm pretty amazing.","맞아요. 제가 좀 대단하죠."
"78205445-20-1","Good job, everyone.","모두들 수고하셨습니다."
"78205445-22-1","Thank you.","고맙소."
"121778053-10-1","Get close","붙으세요"
"121778053-11-1","Attack the boss","보스를 공격하세요"
"121778053-12-1","Handle the adds","애드난 것을 처리하세요"
"121778053-0-1","Hello","반가워요"
"121778053-13-1","Synergy","시너지"
"121778053-14-1","Move away","떨어져요"
"121778053-2-1","Heal Me","치유가 필요합니다"
"121778053-15-1","Is everyone ready?","모두 준비 됐나요?"
"121778053-1-1","Goodbye","잘가요"
"78205445-7-1","Would you like to join a group?","그룹에 참여하시겠습니까?"
"78205445-10-1","Get close to one another.","다른 사람에게 붙으세요."
"78205445-6-1","Yes.","예."
"78205445-11-1","Attack the boss.","보스를 공격하세요."
"78205445-9-1","Spread out.","흩어져."
"78205445-12-1","Handle the adds.","애드난 것을 처리하세요."
"78205445-8-1","Would you like to trade?","거래를 하시겠습니까?"
"78205445-13-1","Synergy ability is cast.","시너지 어빌리티를 사용했어요."
"78205445-2-1","Heal me.","치유가 필요합니다."
"78205445-14-1","Move away from me.","내게서 떨어져요."
"78205445-3-1","I am low on Magicka.","매지카가 부족합니다"
"78205445-15-1","Is everyone ready?","모두 준비 됐나요?"
"78205445-4-1","I am low on Stamina.","스태미나가 부족합니다"
"78205445-16-1","I am pulling.","내가 데려올게요."
"78205445-5-1","No.","아니오."
"78205445-17-1","Tank and taunt the boss.","보스를 도발하고 탱킹하세요."
"121778053-16-1","Pulling","데려오는 중"
"121778053-4-1","Low on Stamina","스태미나 부족"
"78205445-18-1","Ignore the adds.","잡몹은 무시하세요."
"121778053-17-1","Tank the boss","보스를 탱킹하세요"
"121778053-3-1","Low on Magicka","매지가 부족"
"78205445-19-1","I'm sorry about that.","I'm sorry about that."
"121778053-18-1","Ignore the adds","애드난 것은 무시하세요"
"121778053-6-1","Yes","예"
"78205445-0-1","Hello.","반가워요."
"121778053-19-1","Sorry","Sorry"
"121778053-5-1","No","아니오"
"78205445-1-1","Goodbye.","잘가요."
"121778053-8-1","Trade?","거래?"
"121778053-7-1","Group up?","그룹을 만드시겠습니까?"
"121778053-9-1","Spread out","흩어져"
