"Location","Source","Target"
"198758357-0-45258","Life Mender","Life Mender"
"198758357-0-45247","Resourceful","Resourceful"
"198758357-0-45257","Life Mender","Life Mender"
"198758357-0-36582","Amphibian","Amphibian"
"198758357-0-45255","Argonian Resistance","Argonian Resistance"
"198758357-0-45243","Resourceful","Resourceful"
"198758357-0-36583","Argonian Resistance","Argonian Resistance"
"198758357-0-45253","Argonian Resistance","Argonian Resistance"
"132143172-0-36568","Increases your Max Magicka by <<1>>.\n\nWhen you drink a potion, you restore <<2>> Health, Magicka, and Stamina.","최대 매지카가 <<1>> 증가합니다.\n\n포션을 마시면 체력, 매지카, 스태미나를 <<2>> 회복합니다."
"132143172-0-36585","Increases your healing done by <<1>>.","치유량이 <<1>> 증가합니다."
"132143172-0-36583","Increases your Max Health by <<1>> and Disease Resistance by <<2>>.\n\nGain immunity to the Diseased status effect.","최대 체력이 <<1>> 증가하고 질병 저항력이 <<2>> 증가합니다.\n\n질병 상태효과에 면역을 갖습니다."
"132143172-0-36582","Increases your experience gain with the Restoration Staff skill line by |cffffff15|r%.\n\nIncreases your swimming speed by <<1>>.","치유 스태프 스킬 라인의 경험치 획득량이 |cffffff15|r% 증가합니다.\n\n수영 속도가 <<1>> 증가합니다."
"132143172-0-45257","Increases your healing done by <<1>>.","치유량이 <<1>> 증가합니다."
"198758357-0-36585","Life Mender","Life Mender"
"132143172-0-45258","Increases your healing done by <<1>>.","치유량이 <<1>> 증가합니다."
"132143172-0-45247","Increases your Max Magicka by <<1>>.\n\nWhen you drink a potion, you restore <<2>> Health, Magicka, and Stamina.","최대 매지카가 <<1>> 증가합니다.\n\n포션을 마시면 체력, 매지카, 스태미나를 <<2>> 회복합니다."
"132143172-0-45253","Increases your Max Health by <<1>> and Disease Resistance by <<2>>.\n\nGain immunity to the Diseased status effect.","최대 체력이 <<1>> 증가하고 질병 저항력이 <<2>> 증가합니다.\n\n질병 상태효과에 면역을 갖습니다."
"198758357-0-36568","Resourceful","Resourceful"
"132143172-0-45255","Increases your Max Health by <<1>> and Disease Resistance by <<2>>.\n\nGain immunity to the Diseased status effect.","최대 체력이 <<1>> 증가하고 질병 저항력이 <<2>> 증가합니다.\n\n질병 상태효과에 면역을 갖습니다."
"132143172-0-45243","Increases your Max Magicka by <<1>> \n\nWhen you drink a potion, you restore <<2>> Health, Magicka, and Stamina","최대 매지카가 <<1>> 증가합니다.\n\n포션을 마시면 체력, 매지카, 스태미나를 <<2>> 회복합니다."
