"Location","Source","Target"
"242841733-0-135122","Gold Coast Trapping Poison","골드 코스트 함정 독"
"242841733-0-135123","Gold Coast Draining Poison","골드 코스트 흡수 독"
"242841733-0-135121","Crown Lethal Poison","크라운제 치명적인 독"
"242841733-0-77601","Vitality-Draining Poison","원기 흡수(Vitality-Draining) 독"
"242841733-0-76831","Damage Stamina Poison","스태미나 피해 독"
"242841733-0-76830","Drain Stamina Poison","스태미나 흡수 독"
"242841733-0-76829","Damage Magicka Poison","매지카 피해 독"
"242841733-0-76846","Stealth-Draining Poison","은신방해 독"
"242841733-0-76845","Entrapping Poison","옭아맴의 독"
"242841733-0-81196","Cloudy Hindering Poison","탁한 이동력 감쇄 독"
"242841733-0-76844","Escapist's Poison","도망자의 독"
"242841733-0-81195","Cloudy Gradual Ravage Health Poison","탁한 지속성 체력 저해 독"
"242841733-0-76843","Enervating Poison","치명 저하(Enervating) 독"
"242841733-0-81194","Cloudy Damage Health Poison","탁한 체력 피해 독"
"242841733-0-76828","Drain Magicka Poison","매지카 흡수 독"
"242841733-0-76827","Damage Health Poison","체력 피해 독"
"242841733-0-76849","Hindering Poison","이동력 감쇄(Hindering) 독"
"242841733-0-76826","Drain Health Poison","체력 흡수 독"
"242841733-0-76848","Speed-Draining Poison","이동력 흡수 독"
"242841733-0-76847","Conspicuous Poison","은신탐지 독"
"242841733-0-77599","Vulnerability Poison","취약화 독"
"242841733-0-76842","Savagery-Draining Poison","흉포성(Savagery) 흡수 독"
"242841733-0-77595","Gradual Ravage Health Poison","지속성 체력 저해 독"
"242841733-0-76841","Uncertainty Poison","명중 저하(Uncertainty) 독"
"242841733-0-76840","Prophecy-Draining Poison","예지(Prophecy) 흡수 독"
"242841733-0-77597","Protection-Reversing Poison","보호 역전(Protection-Reversing) 독"
"242841733-0-152151","Traumatic Poison","트라우마 독"
"242841733-0-79692","Gold Coast Enfeebling Poison","골드 코스트 쇠약 독"
"242841733-0-79691","Gold Coast Trapping Poison","골드 코스트 함정 독"
"242841733-0-79694","Gold Coast Debilitating Poison","골드 코스트 신체 저하 독"
"242841733-0-79693","Gold Coast Draining Poison","골드 코스트 흡수 독"
"242841733-0-77593","Gradual Health Drain Poison","지속성 체력 흡수 독"
"242841733-0-79690","Crown Lethal Poison","크라운제 치명적인 독"
"242841733-0-158309","Timidity Poison","Timidity Poison"
"242841733-0-76835","Fracturing Poison","물리 저항력 파쇄 독"
"242841733-0-76834","Resolve-Draining Poison","물리 저항력 흡수 독"
"242841733-0-76833","Breaching Poison","마법 저항력 파쇄 독"
"242841733-0-76832","Ward-Draining Poison","마법 저항력 흡수 독"
"242841733-0-76839","Maiming Poison","공격력 저하(Maiming) 독"
"242841733-0-76838","Brutality-Draining Poison","야만성(Brutality) 흡수 독"
"242841733-0-77603","Defiling Poison","신성 모독(Defiling)의 독"
"242841733-0-76837","Cowardice Poison","궁극 저하(Cowardice) 독"
"242841733-0-76836","Sorcery-Draining Poison","마법력(Sorcery) 흡수 독"
