"Location","Source","Target"
"132143172-0-25255","Slash an enemy, dealing <<1>>. \n\nAttacking with <<2>> from the flank stuns the enemy  for <<3>> and sets them Off Balance.","적을 베어 <<1>>를 줍니다.\n\n측면에서 <<2>> 어빌리티로 공격하면 <<3>>동안 적을 기절시키고 균형을 잃게 만듭니다."
"132143172-0-25375","Cloak yourself in shadow to become invisible for <<1>>.","그림자에 몸을 숨겨 <<1>> 동안 은신상태가 됩니다."
"132143172-0-25411","Conjure a ring of shadow, reducing the Movement Speed of enemies by <<1>> and granting you and your allies <<2>>, reducing your damage taken by <<3>>.\n\nAllies in the area can activate the |cffffffHidden Refresh|r synergy, granting them invisibility, increasing their Movement Speed by <<4>>, and healing them for <<5>> Health over <<6>>.","주변에 그림자의 고리를 만들어 냅니다. 고리 안에 있는 적은 이동 속도가 <<1>> 감소하고 당신과 아군들은 <<2>> 효과를 얻어 받는 피해량이 <<3>> 감소합니다.\n\n범위 안의 아군은 |cffffffHidden Refresh|r 연계 효과를 발동시킬 수 있습니다. 연계효과를 발동하면 은신 상태가 되고, 이동 속도가 <<4>> 증가하고, 체력 <<5>>을 <<6>>에 걸쳐 회복합니다."
"198758357-0-45115","Dark Veil","Dark Veil"
"132143172-0-25377","Shroud yourself in protective shadow to heal for <<1>> every <<2>>, over <<3>>.  This portion of the ability scales off your Max Health.\n\nYou gain Minor Protection while shrouded, reducing your damage taken by <<4>>.","그림자로 몸을 감싸 매<<2>>마다 <<3>>동안  <<1>>만큼 회복합니다. 이 능력은 최대체력에따라 조정됩니다. \n\n능력이 발동되는 동안 Minor Protection 효과를 받아, 받는 피해량이 <<4>> 만큼 감소합니다."
"198758357-0-36485","Veil of Blades","Veil of Blades"
"132143172-0-36549","Increases your Health, Stamina, and Magicka Recovery by <<1>>.","체력, 스태미나, 매지카 재생량이 <<1>> 증가합니다."
"198758357-0-25267","Concealed Weapon","Concealed Weapon"
"132143172-0-36028","Create a corridor of shadows, granting you and allies in area Major Expedition, increasing movement speed by <<1>>. Effect persists for <<2>> after leaving the path.\n\nHeals <<3>> Health to you and allies in area every <<4>>.","그림자 통로를 만들어 범위 내의 자신과 아군에게  이동 속도를 <<1>> 증가시키는 Major Expedition 효과를 부여합니다. 이 효과는 통로를 벗어난 뒤에도 <<2>> 동안 유지됩니다.\n\n대상 지역의 자신과 아군을 <<4>>마다 <<3>>치유합니다."
"198758357-0-25260","Surprise Attack","Surprise Attack"
