"Location","Source","Target"
"162946485-0-11319","Q5803 Lluvele Speaks 1","Q5803 Lluvele Speaks 1"
"162946485-0-11317","Q5877 RuddyManJrsLair","Q5877 RuddyManJrsLair"
"162946485-0-11318","Q5803 Tomb Ext Advance Step","Q5803 Tomb Ext Advance Step"
"162946485-0-11315","Q5877 SpawnCaptive02","Q5877 SpawnCaptive02"
"162946485-0-11316","Q5877 SpawnCaptive03","Q5877 SpawnCaptive03"
"162946485-0-11314","Q5877 SpawnCaptive01","Q5877 SpawnCaptive01"
"162946485-0-11311","Spindleclutch II","스핀들클러치 II"
"162946485-0-11310","Spindleclutch","스핀들클러치"
"87370069-0-10901","Sack of Produce","농작물 자루"
"87370069-0-10902","Admixture Storage","혼합물 저장소"
"87370069-0-10904","Luminous Plant","빛나는 식물"
"87370069-0-10905","Dead Redguard^M","Dead Redguard"
"87370069-0-10906","Q4487 Destroy Stone FX","Q4487 Destroy Stone FX"
"87370069-0-10907","The Time Will Come","그 시간이 오리라"
"87370069-0-10908","Corn Stalk","옥수수 줄기"
"87370069-0-10909","Corn Stalk","옥수수 줄기"
"162946485-0-11329","The Banished Cells I","추방자의 감옥 I"
"162946485-0-11326","Zainsipilu","자인시필루"
"162946485-0-11327","Savarak House","사바락의 집"
"162946485-0-11324","The Banished Cells","추방자의 감옥"
"162946485-0-11325","Halinjiir","하린지르"
"162946485-0-11322","Q5803 Lluvele Speaks 2","Q5803 Lluvele Speaks 2"
"162946485-0-11323","Q5803 Lluvele Speaks 3","Q5803 Lluvele Speaks 3"
"162946485-0-11321","Dreloth Tomb","드레로스의 무덤"
"162946485-0-11339","Direfrost Keep I","지독한 서리 성채 I"
"162946485-0-11337","Q5880 Scroll Room","Q5880 Scroll Room"
"162946485-0-11338","Direfrost Keep I","지독한 서리 성채 I"
"162946485-0-11335","Q5880 Balmora Mine Exterior","Q5880 Balmora Mine Exterior"
"162946485-0-11336","Strider's Luck Mine","스트라이더의 행운 광산"
"162946485-0-11334","Balmora","발모라"
"162946485-0-11331","Darkshade Caverns I","어둠그늘 동굴 I"
"162946485-0-11332","The Banished Cells II","추방자의 감옥 II"
"87370069-0-10923","Fire","불"
"162946485-0-11330","Darkshade Caverns I","어둠그늘 동굴 I"
"87370069-0-10924","Crystal","크리스털"
"87370069-0-10925","Crystal","크리스털"
"87370069-0-10926","Crystal","크리스털"
"87370069-0-10927","Crystal","크리스털"
"87370069-0-10928","Crystal","크리스털"
"87370069-0-10929","Crystal","크리스털"
"162946485-0-11348","Rajhin's Guile","Rajhin's Guile"
