"Location","Source","Target"
"242841733-0-23268","cloud mist","구름 안개 (cloud mist)"
"242841733-0-23267","purified water","정제수 (purified water)"
"242841733-0-1187","clear water","청정수 (clear water)"
"242841733-0-23266","filtered water","여과수 (filtered water)"
"242841733-0-23265","cleansed water","정화수 (cleansed water)"
"242841733-0-64501","Lorkhan's Tears","로칸의 눈물 (Lorkhan's Tears)"
"242841733-0-4570","pristine water","청명수 (pristine water)"
"228378404-0-4570","An Ingredient for crafting level 20 potions","레벨 20 물약을 만들기 위한 재료입니다."
"242841733-0-64500","Star Dew","별 이슬 (Star Dew)"
"242841733-0-883","natural water","천연수 (natural water)"
"228378404-0-883","An Ingredient for crafting level 3 potions","레벨 3 물약을 만들기 위한 재료입니다."
"228378404-0-1187","An Ingredient for crafting level 10 potions","레벨 10 물약을 만들기 위한 재료입니다."
"228378404-0-23267","An Ingredient for crafting level 50 potions","레벨 50 물약을 만들기 위한 재료입니다."
"228378404-0-23268","An ingredient for crafting Champion potions.","챔피언 물약을 만들기 위한 재료입니다."
"228378404-0-23265","An Ingredient for crafting level 30 potions","레벨 30 물약을 만들기 위한 재료입니다."
"228378404-0-23266","An Ingredient for crafting level 40 potions","레벨 40 물약을 만들기 위한 재료입니다."
"228378404-0-64501","A lunar ingredient for crafting Champion potions.","챔피언 물약을 만들기 위한 달의 재료입니다."
"228378404-0-64500","A stellar ingredient for crafting Champion potions.","챔피언 물약을 만들기 위한 별의 재료입니다."
