"Location","Source","Target"
"241484741-0-91","Light","천옷"
"241484741-0-90","Light","천옷"
"241484741-0-97","Light","천옷"
"241484741-0-96","Light","천옷"
"241484741-0-99","Light","Light"
"241484741-0-92","Light","천옷"
"241484741-0-95","Light","천옷"
"241484741-0-94","Light","천옷"
"241484741-0-80","Medium - Complete Motif","경갑 - 완전한 모티프"
"112701171-0-8409","Memento, Memento","Memento, Memento"
"112701171-0-8402","Crafting, Motifs","Crafting, Motifs"
"112701171-0-8401","Crafting, Motifs","Crafting, Motifs"
"112701171-0-8404","Character, Emote","Character, Emote"
"112701171-0-8403","Character, Emote","Character, Emote"
"112701171-0-8405","Character, Emote","Character, Emote"
"241484741-0-89","Light","천옷"
"214390738-1-194","ancestor silk^a","선조 비단"
"214390738-1-192","ruby ash^a","루비 물푸레나무"
"241484741-0-86","Light","천옷"
"241484741-0-85","Light","천옷"
"214390738-1-190","rubedo leather^a","루베도 가죽"
"241484741-0-88","Light","천옷"
"241484741-0-87","Light","천옷"
"241484741-0-82","Light - Complete Motif","천옷 - 완전한 모티프"
"241484741-0-81","Medium - Complete Motif","경갑 - 완전한 모티프"
"241484741-0-84","Medium - Complete Motif","경갑 - 완전한 모티프"
"241484741-0-83","Light - Complete Motif","천옷 - 완전한 모티프"
"214390738-1-188","rubedite^a","루비다이트"
"214390738-1-187","shadowspun^a","그림자 천"
"214390738-1-186","nightwood^a","깊은밤 나무"
"214390738-1-185","shadowhide^a","그림자 가죽"
"214390738-1-184","voidsteel^a","공허강"
"214390738-1-183","nightwood^a","깊은밤 나무"
"214390738-1-182","shadowhide^a","그림자 가죽"
"214390738-1-181","shadowspun^a","그림자 천"
"214390738-1-180","voidsteel^a","공허강"
"214390738-1-179","mahogany^a","마호가니"
"214390738-1-178","superb^a","최상급"
"214390738-1-177","silverweave^a","은 매듭"
"214390738-1-176","quicksilver^a","수은"
"214390738-1-175","ash^a","물푸레나무"
"214390738-1-174","ironhide^a","철 가죽"
"214390738-1-173","ironthread^a","철 실"
"214390738-1-172","galatite^a","갈라타이트"
"214390738-1-171","birch^a","자작나무"
"214390738-1-170","brigandine^a","브리간딘"
"96069573-0-5865","Thunderwolf","Thunderwolf"
"112701171-0-7109","Character, Personality","Character, Personality"
"96069573-0-5864","Rufus","Rufus"
"96069573-0-5867","Camo Cat","Camo Cat"
"96069573-0-5866","Pastry Paws","Pastry Paws"
"96069573-0-5869","Saffron","Saffron"
"96069573-0-5868","Moor-Rover","Moor-Rover"
"112701171-0-7101","Wardrobe, Wardrobe","의상, 의상"
"112701171-0-8433","Transmog, Staff","Transmog, Staff"
"112701171-0-7102","Wardrobe, Wardrobe","의상, 의상"
"112701171-0-8432","Transmog, Bow","Transmog, Bow"
"112701171-0-8435","Crates, Crates","Crates, Crates"
"112701171-0-7104","Crafting, Motifs","제작, 모티프"
"112701171-0-8434","Crates, Crates","Crates, Crates"
"112701171-0-7105","Crafting, Motifs","제작, 모티프"
"112701171-0-8437","Transmog, One-Handed","Transmog, One-Handed"
"112701171-0-7106","Crafting, Motifs","제작, 모티프"
"112701171-0-8436","Crates, Crates","Crates, Crates"
"112701171-0-8439","Transmog, Two-Handed","Transmog, Two-Handed"
"112701171-0-7108","Furnishing,Interior Decoration","Furnishing,Interior Decoration"
"112701171-0-8438","Transmog, Bundle","Transmog, Bundle"
"61533042-0-4","halfhide^a","반가죽"
"61533042-0-5","homespun^a","수제 "
"61533042-0-2","maple^a","단풍나무"
"61533042-0-3","iron^a","철"
"112701171-0-8440","Transmog, Shield","Transmog, Shield"
"241484741-0-57","Light","천옷"
"241484741-0-56","Light","천옷"
"61533042-0-1","iron^a","철"
"112701171-0-7110","Memento, Memento","Memento, Memento"
"112701171-0-8442","Transmog, Staff","Transmog, Staff"
"241484741-0-59","Light","천옷"
"112701171-0-7111","Memento, Memento","Memento, Memento"
"112701171-0-8441","Transmog, Bow","Transmog, Bow"
"241484741-0-58","Light","천옷"
"241484741-0-52","Light","천옷"
"241484741-0-55","Light","천옷"
"241484741-0-54","Light","천옷"
"96069573-0-5861","Shinypaws","Shinypaws"
"96069573-0-5863","Fuchsia","Fuchsia"
"241484741-0-51","Light","Light"
"96069573-0-5862","Rocky","Rocky"
"241484741-0-50","Light","Light"
"96069573-0-5876","Bruno","Bruno"
"96069573-0-5875","War-Wolf","War-Wolf"
"96069573-0-5878","Mudpie","Mudpie"
"96069573-0-5877","Superbo","Superbo"
"96069573-0-5879","Guar Sticklord","Guar Sticklord"
"112701171-0-8444","Transmog, Head","Transmog, Head"
"112701171-0-7113","Memento, Memento","Memento, Memento"
"112701171-0-8443","Transmog, Outfit","Transmog, Outfit"
"112701171-0-7114","Memento, Memento","Memento, Memento"
"112701171-0-8446","Transmog, Chest","Transmog, Chest"
"112701171-0-7115","Memento, Memento","Memento, Memento"
"112701171-0-8445","Transmog, Shoulder","Transmog, Shoulder"
"112701171-0-7116","Character, Emote","Character, Emote"
"112701171-0-8448","Transmog, Waist","Transmog, Waist"
"112701171-0-7117","Character, Emote","Character, Emote"
"112701171-0-8447","Transmog, Arms","Transmog, Arms"
"112701171-0-7118","Character, Emote","Character, Emote"
"112701171-0-8449","Transmog, Legs","Transmog, Legs"
"241484741-0-49","Light","Light"
"112701171-0-8451","Transmog, Outfit","Transmog, Outfit"
"241484741-0-46","Light","Light"
"112701171-0-7120","Character, Emote","Character, Emote"
"112701171-0-8450","Transmog, Feet","Transmog, Feet"
"241484741-0-45","Light","Light"
"112701171-0-7121","Character, Emote","Character, Emote"
"112701171-0-8453","Transmog, Two-Handed","Transmog, Two-Handed"
"241484741-0-48","Light","Light"
"112701171-0-7122","Character, Head Markings","Character, Head Markings"
"112701171-0-8452","Transmog, One-Handed","Transmog, One-Handed"
"241484741-0-47","Light","Light"
"241484741-0-42","Light","Light"
"96069573-0-5870","Charger Lord","Charger Lord"
"241484741-0-44","Light","Light"
"241484741-0-43","Light","Light"
"96069573-0-5872","Humpty","Humpty"
"96069573-0-5871","Desert Blossom","Desert Blossom"
"96069573-0-5874","Clanky-Cat","Clanky-Cat"
"96069573-0-5873","Guargoth","Guargoth"
"96069573-0-5847","Nightguar","Nightguar"
"96069573-0-5846","Blisters","Blisters"
"96069573-0-5849","Wiggles","Wiggles"
"96069573-0-5848","Gory-Guar","Gory-Guar"
"112701171-0-8411","Character, Personalities","Character, Personalities"
"112701171-0-8410","Memento, Memento","Memento, Memento"
"112701171-0-8412","Furnishing, Interior Decoration","Furnishing, Interior Decoration"
"112701171-0-8415","Crates, Crates","Crates, Crates"
"112701171-0-8417","Memento, Memento","Memento, Memento"
"112701171-0-8416","Memento, Memento","Memento, Memento"
"241484741-0-79","Light - Complete Motif","천옷 - 완전한 모티프"
"241484741-0-78","Light - Complete Motif","천옷 - 완전한 모티프"
"112701171-0-8420","Mounts, Indrik","Mounts, Indrik"
"241484741-0-75","Light - Complete Motif","천옷 - 완전한 모티프"
"241484741-0-74","Light - Complete Motif","천옷 - 완전한 모티프"
"241484741-0-77","Light - Complete Motif","천옷 - 완전한 모티프"
"241484741-0-76","Light - Complete Motif","천옷 - 완전한 모티프"
"241484741-0-71","Light - Complete Motif","천옷 - 완전한 모티프"
"241484741-0-73","Light - Complete Motif","천옷 - 완전한 모티프"
"241484741-0-72","Medium - Complete Motif","경갑 - 완전한 모티프"
"96069573-0-5854","Surefoot","Surefoot"
"96069573-0-5853","Doom Loon","Doom Loon"
"112701171-0-8429","Transmog, Bundle","Transmog, Bundle"
"96069573-0-5856","Skidley","Skidley"
"96069573-0-5855","Drift Dog","Drift Dog"
"96069573-0-5858","Ice Panther","Ice Panther"
"96069573-0-5857","Purity","Purity"
"96069573-0-5859","Sunny","Sunny"
"112701171-0-8422","Transmog, One-Handed","Transmog, One-Handed"
"112701171-0-8421","Pets, Pets","Pets, Pets"
"112701171-0-8424","Transmog, Two-Handed","Transmog, Two-Handed"
"112701171-0-8423","Transmog, Bundle","Transmog, Bundle"
"112701171-0-8426","Transmog, Bow","Transmog, Bow"
"61533042-0-8","iron^a","철"
"112701171-0-8425","Transmog, Shield","Transmog, Shield"
"61533042-0-9","steel^a","강철"
"112701171-0-8428","Transmog, One-Handed","Transmog, One-Handed"
"61533042-0-6","pewter^a","석류석"
"112701171-0-8427","Transmog, Staff","Transmog, Staff"
"61533042-0-7","iron^a","철"
"241484741-0-67","Light","천옷"
"112701171-0-8431","Transmog, Shield","Transmog, Shield"
"112701171-0-7100","Mounts, Dragon","Mounts, Dragon"
"112701171-0-8430","Transmog, Two-Handed","Transmog, Two-Handed"
"241484741-0-63","Light","천옷"
"241484741-0-66","Light","천옷"
"241484741-0-65","Light","천옷"
"96069573-0-5850","Snow-on-Scales","Snow-on-Scales"
"241484741-0-60","Light","천옷"
"96069573-0-5852","Haul Ass","Haul Ass"
"241484741-0-62","Light","천옷"
"96069573-0-5851","Pumice","Pumice"
"241484741-0-61","Light","천옷"
"41983653-0-234","IV","IV"
"41983653-0-235","V","V"
"41983653-0-232","II","II"
"41983653-0-233","III","III"
"41983653-0-231","I","I"
"112701171-0-7145","Wardrobe, Costume","의상, 코스튬"
"112701171-0-8477","Transmog, Outfit","Transmog, Outfit"
"112701171-0-7146","Character, Skin","Character, Skin"
"112701171-0-8476","Transmog, One-Handed","Transmog, One-Handed"
"112701171-0-7147","Character, Markings","Character, Markings"
"112701171-0-8479","Transmog, Shoulder","Transmog, Shoulder"
"112701171-0-7148","Character, Skin","Character, Skin"
"112701171-0-8478","Transmog, Head","Transmog, Head"
"41983653-0-238","VIII","VIII"
"112701171-0-7149","Transmog, One-Handed","Transmog, One-Handed"
"41983653-0-239","IX","IX"
"41983653-0-236","VI","VI"
"41983653-0-237","VII","VII"
"112701171-0-8480","Transmog, Chest","Transmog, Chest"
"241484741-0-17","Light","Light"
"241484741-0-16","Light","Light"
"112701171-0-7150","Transmog, Two-Handed","Transmog, Two-Handed"
"112701171-0-8482","Transmog, Waist","Transmog, Waist"
"241484741-0-19","Light","Light"
"112701171-0-7151","Transmog, Shield","Transmog, Shield"
"112701171-0-8481","Transmog, Arms","Transmog, Arms"
"241484741-0-18","Light","Light"
"112701171-0-7152","Transmog, Bow","Transmog, Bow"
"112701171-0-8484","Transmog, Feet","Transmog, Feet"
"241484741-0-13","Light","Light"
"112701171-0-7153","Transmog, Staff","Transmog, Staff"
"112701171-0-8483","Transmog, Legs","Transmog, Legs"
"241484741-0-12","Light","천옷"
"112701171-0-7154","Transmog, Outfit","Transmog, Outfit"
"241484741-0-15","Light","Light"
"112701171-0-7155","Transmog, One-Handed","Transmog, One-Handed"
"241484741-0-14","Light","Light"
"241484741-0-11","Light","천옷"
"241484741-0-10","Light","점화"
"41983653-0-245","XV","XV"
"214390738-8-11","orichalc-steel^a","오리할쿰 강철"
"41983653-0-246","XVI","XVI"
"214390738-8-10","steel^a","강철"
"41983653-0-243","XIII","XIII"
"41983653-0-244","XIV","XIV"
"41983653-0-241","XI","XI"
"214390738-8-15","ebon^a","에보니"
"41983653-0-242","XII","XII"
"214390738-8-14","dwarven-steel^a","드워븐 강철-강철"
"214390738-8-13","dwarven-steel^a","드워븐 강철-강철"
"41983653-0-240","X","X"
"214390738-8-12","orichalc-steel^a","오리할쿰 강철"
"112701171-0-7156","Transmog, Two-Handed","Transmog, Two-Handed"
"112701171-0-7157","Transmog, Shield","Transmog, Shield"
"112701171-0-7158","Transmog, Bow","Transmog, Bow"
"112701171-0-7159","Transmog, Staff","Transmog, Staff"
"112701171-0-8491","Furnishing, Furniture","Furnishing, Furniture"
"214390738-5-9","steel^a","강철"
"112701171-0-7160","Transmog, Outfit","Transmog, Outfit"
"214390738-5-8","iron^a","철"
"112701171-0-7161","Transmog, One-Handed","Transmog, One-Handed"
"214390738-5-7","iron^a","철"
"112701171-0-7162","Transmog, Two-Handed","Transmog, Two-Handed"
"112701171-0-8492","Furnishing, Furniture","Furnishing, Furniture"
"112701171-0-7163","Transmog, Shield","Transmog, Shield"
"112701171-0-7164","Transmog, Bow","Transmog, Bow"
"112701171-0-7165","Transmog, Staff","Transmog, Staff"
"112701171-0-7166","Transmog, Outfit","Transmog, Outfit"
"214390738-5-1","iron^a","철"
"214390738-5-5","homespun^a","수제 "
"214390738-5-4","halfhide^a","반가죽"
"214390738-5-3","iron^a","철"
"214390738-5-2","maple^a","단풍나무"
"214390738-8-22","hickory^a","히코리"
"214390738-8-21","beech^a","너도밤나무"
"214390738-8-20","beech^a","너도밤나무"
"214390738-8-26","iron^a","철"
"214390738-8-25","iron^a","철"
"214390738-8-24","yew^a","주목"
"214390738-8-23","hickory^a","히코리"
"112701171-0-7123","Character, Body Markings","Character, Body Markings"
"112701171-0-8455","Transmog, Staff","Transmog, Staff"
"112701171-0-7124","Character, Head Markings","Character, Head Markings"
