"Location","Source","Target"
"242841733-0-79304","Black Beeswax","검은 밀랍 (Black Beeswax)"
"242841733-0-79305","Boiled Carapace","삶은 껍질 (Boiled Carapace)"
"228378404-0-46152","An ingredient for crafting in the Ancient Elf style.","고대 엘프 양식을 만들기 위한 재료입니다."
"228378404-0-46151","An ingredient for crafting in the Daedric style.","데이드릭 양식을 만들기 위한 재료입니다."
"228378404-0-46150","An ingredient for crafting in the Primal style.","원시 양식을 만들기 위한 재료입니다."
"242841733-0-157533","Fryse Willow","Fryse Willow"
"228378404-0-134687","An ingredient for crafting in the Tsaesci style.","츠아에스치 양식을 만들기 위한 재료입니다."
"242841733-0-64689","Malachite","공작석 (Malachite)"
"242841733-0-130059","Refined Bonemold Resin","정제된 본몰드 수지 (Refined Bonemold Resin)"
"242841733-0-71538","Rogue's Soot","불한당의 검댕"
"242841733-0-33150","flint","수석 (flint)"
"228378404-0-82002","This item can only be found by deconstructing Grim Harlequin-style equipment.","이 아이템은 그림 할리퀸 양식 장비를 분해해야지만 얻을 수 있습니다."
"228378404-0-46149","An ingredient for crafting in the Barbaric style.","야만인 양식을 만들기 위한 재료입니다."
"242841733-0-140267","Sea Serpent Hide","바다 서펀트 가죽 (Sea Serpent Hide)"
"228378404-0-71582","An ingredient for crafting in the Trinimac style.","트리니막 양식을 만들기 위한 재료입니다."
"242841733-0-156571","Gilding Salts","도금된 소금 (Gilding Salts)"
"242841733-0-132620","Bloodroot Flux","피뿌리 다발 (Bloodroot Flux)"
"228378404-0-71740","An ingredient for crafting in the Ebonheart Pact style.","에본하트 조약 양식을 만들기 위한 재료입니다."
"242841733-0-79672","Defiled Whiskers","부정한 수염 (Defiled Whiskers)"
"228378404-0-71584","An ingredient for crafting in the Malacath style.","말라카스 양식을 만들기 위한 재료입니다."
"228378404-0-96388","An ingredient for crafting in the Skinchanger style.","가죽둔갑자 양식을 만들기 위한 재료입니다."
"228378404-0-134798","An ingredient for crafting in the Worm Cult style.","벌레 교단 양식을 제작하기 위한 재료입니다."
"228378404-0-71742","An ingredient for crafting in the Daggerfall Covenant style.","대거폴 동맹 양식을 만들기 위한 재료입니다."
"242841733-0-156606","Blood of Sahrotnax","사로트낙스의 피(Blood of Sahrotnax)"
"242841733-0-132617","Tempered Brass","유연한 황동 (Tempered Brass)"
"242841733-0-132618","Tenebrous Cord","어두운 색 줄 (Tenebrous Cord)"
"228378404-0-33194","An ingredient for crafting in the Wood Elf style.","우드 엘프 양식을 만들기 위한 재료입니다."
"242841733-0-132619","Minotaur Bezoar","미노타우르스 위석 (Minotaur Bezoar)"
"228378404-0-114283","This magic-imbued ice-mineral is used to craft items in the Stalhrim Frostcaster style.","이 마법이 부여된 얼음조각은 스탈림 프로스트캐스터 양식의 재료입니다."
"228378404-0-69555","An ingredient for crafting in the Ancient Orc style.","고대 오크 양식을 만들기 위한 재료입니다."
"242841733-0-71668","Crown Mimic Stone","크라운 미믹 스톤 (Crown Mimic Stone)"
"242841733-0-121518","Volcanic Viridian","화산의 비리디안 (Volcanic Viridian)"
"242841733-0-121519","Wrought Ferrofungus","정제한 철분버섯 (Wrought Ferrofungus)"
"242841733-0-134798","Desecrated Grave Soil","훼손당한 무덤 흙 (Desecrated Grave Soil)"
"242841733-0-96388","Wolfsbane Incense","바꽃 향 (Wolfsbane Incense)"
"228378404-0-57587","An ingredient for crafting in the Dwemer style.","드웨머 양식을 만들기 위한 재료입니다."
"242841733-0-57587","Dwemer Frame","드웨머 뼈대 (Dwemer Frame)"
"228378404-0-64713","An ingredient for crafting in the Mercenary style.","용병 양식을 만들기 위한 재료입니다."
"242841733-0-59922","Charcoal of Remorse","회한의 숯덩이 (Charcoal of Remorse)"
"242841733-0-121520","Lustrous Sphalerite","빛나는 섬아연광 (Lustrous Sphalerite)"
"242841733-0-145532","Crocodile Leather","악어 가죽 (Crocodile Leather)"
"242841733-0-145533","Hackwing Plumage","호크윙 깃털 (Hackwing Plumage)"
"242841733-0-82004","Night Pumice","암흑 부석 (Night Pumice)"
"242841733-0-130061","Polished Rivets","세련된 대갈못 (Polished Rivets)"
"242841733-0-82002","Grinstones","숫돌 (Grinstones)"
"242841733-0-130060","Polished Scarab Elytra","윤기나는 딱정벌레 (Polished Scarab Elytra)"
"228378404-0-138813","An ingredient for crafting in the Tsaesci style.","츠아에스치 양식을 만들기 위한 재료입니다."
"242841733-0-152235","Frost Embers","얼어붙은 불씨 (Frost Embers)"
"242841733-0-64713","Laurel","월계수 잎 (Laurel)"
"228378404-0-64685","An ingredient for crafting in the Yokudan style.","요쿠단 양식을 만들기 위한 재료입니다."
"242841733-0-64685","Ferrous Salts","철분 소금 (Ferrous Salts)"
"242841733-0-64687","Goldscale","황금비늘 (Goldscale)"
"242841733-0-147288","Red Diamond Seal","레드 다이아몬드 봉인 (Red Diamond Seal)"
"242841733-0-71766","Azure Plasm","담청색 혈장 (Azure Plasm)"
"228378404-0-64689","An ingredient for crafting in the Glass style.","글래스 양식을 만들기 위한 재료입니다."
"228378404-0-64687","An ingredient for crafting in the Akaviri style.","아카비리 양식을 만들기 위한 재료입니다."
"242841733-0-141740","Gryphon Plume","그리폰 깃털 (Gryphon Plume)"
"242841733-0-137961","Infected Flesh","감염된 살점 (Infected Flesh)"
"242841733-0-141820","Bloodscent Dew","피향수 이슬 (Bloodscent Dew)"
"242841733-0-141821","Argent Pelt","은색 모피 (Argent Pelt)"
"242841733-0-71582","Auric Tusk","금니 (Auric Tusk)"
"242841733-0-71584","Potash","포타슘 (Potash)"
"242841733-0-114283","Stalhrim Shard","스탈림 조각 (Stalhrim Shard)"
"242841733-0-156643","Carmine Shieldsilk","Carmine Shieldsilk"
"242841733-0-138813","TEMP","임시"
"242841733-0-46149","Bronze","구리 (Bronze)"
"242841733-0-158307","Consecrated Myrrh","Consecrated Myrrh"
"242841733-0-151621","Shimmering Sand","반짝이는 모래 (Shimmering Sand)"
"242841733-0-71736","Ancient Sandstone","고대 사암 (Ancient Sandstone)"
"242841733-0-151622","Dragonthread","드래곤 줄기 (Dragonthread)"
"242841733-0-71738","Eagle Feather","독수리 깃털 (Eagle Feather)"
"242841733-0-33194","Bone","뼈 (Bone)"
"242841733-0-82000","Amber Marble","호박 구슬 (Amber Marble)"
"242841733-0-151907","Goblin-Cloth Scrap","고블린-천 조각 (Goblin-Cloth Scrap)"
"242841733-0-151908","Auroran Dust","오로란 먼지 (Auroran Dust)"
"242841733-0-160592","Etched Corundum","Etched Corundum"
"242841733-0-137958","Dragon Bone","드래곤 뼈 (Dragon Bone)"
"242841733-0-137957","Warrior's Heart Ashes","전사의 심장 잿가루 (Warrior's Heart Ashes)"
"242841733-0-137955","Battlemage Style Item NAME ME","Battlemage Style Item NAME ME"
"242841733-0-137953","Culanda Lacquer","쿨란다 옻칠 (Culanda Lacquer)"
"242841733-0-134687","Snake Fang","뱀 이빨 (Snake Fang)"
"242841733-0-137951","Vitrified Malondo","유리질 말론도 (Vitrified Malondo)"
"228378404-0-33150","An ingredient for crafting in the Argonian style.","아르고니안 양식을 만들기 위한 재료입니다."
"228378404-0-71668","An ingredient for crafting in any learned style."," 알고 있는 모든 양식을 만들기 위한 재료입니다."
"242841733-0-69555","Cassiterite","주석석 (Cassiterite)"
"242841733-0-160509","Gloomspore Chitin","Gloomspore Chitin"
"242841733-0-71740","Dragon Scute","드래곤 인갑 (Dragon Scute)"
"242841733-0-160626","Etched Manganese","Etched Manganese"
"242841733-0-71742","Lion Fang","사자 송곳니 (Lion Fang)"
"242841733-0-76910","Tainted Blood","부패한 혈액 (Tainted Blood)"
"242841733-0-76914","Polished Shilling","우아한 실링 (Polished Shilling)"
"242841733-0-114984","Leviathan Scrimshaw","레비아탄 조각공예품 (Leviathan Scrimshaw)"
"242841733-0-114983","Distilled Slowsilver","증류한 저감광은 (Distilled Slowsilver)"
"228378404-0-33255","An ingredient for crafting in the Khajiit style.","카짓 양식을 만들기 위한 재료입니다."
"228378404-0-33256","An ingredient for crafting in the Nord style.","노드 양식을 만들기 위한 재료입니다."
"228378404-0-33257","An ingredient for crafting in the Orc style.","오크 양식을 만들기 위한 재료입니다."
"228378404-0-33258","An ingredient for crafting in the Redguard style.","레드가드 양식을 만들기 위한 재료입니다."
"242841733-0-156624","Aeonstone Shard","Aeonstone Shard"
"228378404-0-33251","An ingredient for crafting in the Breton style.","브레튼 양식을 만들기 위한 재료입니다."
"228378404-0-33252","An ingredient for crafting in the High Elf style.","하이 엘프 양식을 만들기 위한 재료입니다."
"242841733-0-156589","Oath Cord","맹세의 끈 (Oath Cord)"
"228378404-0-33253","An ingredient for crafting in the Dark Elf style.","다크 엘프 양식을 만들기 위한 재료입니다."
"228378404-0-33254","An ingredient for crafting in the Imperial style.","임페리얼 양식을 만들기 위한 재료입니다."
"242841733-0-33251","Molybdenum","몰리브덴 (Molybdenum)"
"242841733-0-33252","Adamantite","아다만타이트 (Adamantite)"
"228378404-0-71738","An ingredient for crafting in the Aldmeri Dominion style.","알드메리 자치령 양식을 만들기 위한 재료입니다."
"242841733-0-33255","Moonstone","월장석 (Moonstone)"
"242841733-0-33256","Corundum","강옥 (Corundum)"
"242841733-0-33253","Obsidian","흑요석 (Obsidian)"
"242841733-0-33254","Nickel","니켈 (Nickel)"
"242841733-0-33257","Manganese","망간 (Manganese)"
"242841733-0-33258","Starmetal","별철 (Starmetal)"
"242841733-0-81998","Star Sapphire","별 사파이어 (Star Sapphire)"
"242841733-0-46151","Daedra Heart","데이드라의 심장 (Daedra Heart)"
"242841733-0-81996","Pearl Sand","진주 모래 (Pearl Sand)"
"242841733-0-75373","Pristine Shroud","깨끗한 수의 (Pristine Shroud)"
"242841733-0-46150","Argentum","아르겐툼 (Argentum)"
"242841733-0-81994","Oxblood Fungus","선지 곰팡이 (Oxblood Fungus)"
"242841733-0-46152","Palladium","팔라듐 (Palladium)"
"242841733-0-75370","Fine Chalk","고운 백악 (Fine Chalk)"
"242841733-0-125476","Ash Canvas","재 화포 (Ash Canvas)"
"242841733-0-160609","Etched Adamantite","Etched Adamantite"
