"Location","Source","Target"
"198758357-0-33291","Strife","Strife"
"132143172-0-34727","Sacrifice your essence, healing an ally in front of you for <<1>> Health but draining your own Health over <<2>>.\n\nWhile your Health is being drained you gain Minor Mending, increasing your healing done by <<3>>.","자신의 정수를 희생해, 자신 또는 아군의 체력을 <<2>>에 걸쳐 <<1>>만큼 회복합니다.\n\n자신은 <<3>> 동안 Minor Mending 효과를 얻어, 주는 치유량이 증가합니다."
"132143172-0-33319","Imbue your weapons with soul-stealing power, causing your Light and Heavy Attacks to heal you for <<1>> Health for <<2>>. Fully charged Heavy Attacks restore twice the value.","무기에 영혼을 착취하는 힘을 부여해, 약공격 및 강공격이 자신의 체력을 <<1>>만큼 <<2>> 동안 회복시킵니다. 최대 충전된 강공격은 두배의 리소스를 회복합니다."
"132143172-0-33316","Siphon the vigor from your enemies' blood, dealing <<1>> to all nearby enemies.\n\nIf an enemy is hit, you gain Major Brutality and Sorcery, increasing your Weapon and Spell Damage by <<2>> for <<3>>.","주변의 모든 적의 활력을 흡수해 <<1>>를 입힙니다.\n\n적에게 피해를 입히면 자신은 Major Brutality and Sorcery 효과를 얻어, <<3>> 동안 무기 피해량과 마법 피해량이 <<2>>만큼 증가합니다."
"198758357-0-36560","Catalyst","Catalyst"
"132143172-0-36901","Siphon the vigor from your enemies' blood, dealing <<1>> to all nearby enemies.\n\nIf an enemy is hit, you reduce their Weapon and Spell Damage by <<2>> for <<3>> and you gain Major Brutality and Sorcery, increasing your Weapon and Spell Damage by <<4>> for <<5>>.","주변의 모든 적의 활력을 흡수해 <<1>>를 입힙니다.\n\n적에게 피해를 입히면 대상의 무기 피해를 <<3>>동안 <<2>> 감소시키고, 자신은 <<4>> 효과를 얻어, <<6>> 동안 무기 피해량이 <<5>>만큼 증가합니다."
"198758357-0-45155","Soul Siphoner","Soul Siphoner"
"132143172-0-36943","Sap an enemy's agility and wrack them with pain, dealing <<1>> over <<2>> and reducing their movement speed by <<3>> for <<4>>.\n\nWhile this effect persists the enemy is afflicted with <<5>>, causing you and your allies to restore <<6>> Magicka every <<7>> when damaging them.","대상의 민첩성을 약화시켜 <<2>>에 걸쳐 총 <<1>>를 입히고, <<4>>동안 <<3>>만큼  감속시킵니다.\n\n이 효과가 지속되는 동안 적에게 <<5>> 효과를 가해 당신과 동료가 피해를 가하면  <<7>> 마다 <<6>> 매지카를 회복합니다. "
"132143172-0-34721","Sacrifice your essence, healing an ally in front of you for <<1>> Health but draining your own Health over <<2>>.","자신의 정수를 희생해, 자신 또는 아군의 체력을 <<2>>에 걸쳐 <<1>>만큼 회복합니다."
"132143172-0-36587","Casting a Siphoning ability generates <<1>> Ultimate. This effect can occur once every <<2>>.","Siphoning 어빌리티를 시전하면 궁극기 게이지를 <<1>>만큼 획득합니다. 이 효과는 <<2>>에 한 번만 발동합니다."
"132143172-0-25091","Ravage nearby enemies' souls with a night rune, dealing <<1>> and stunning them for <<2>>. \n\nAn ally can target a ravaged enemy and activate the |cffffffSoul Leech|r synergy, dealing <<3>> to them and healing for the damage caused.","주위의 모든 적들의 영혼을 밤의 룬으로 파괴해 <<1>>를 입히고, <<2>> 동안 기절시킵니다.\n\n기절시킨 적에게 아군이  |cffffffSoul Leech|r 연계 효과를 발동시킬 수 있습니다. 발동하면 대상에게 <<3>>을 주고 피해량 만큼 회복합니다."
"198758357-0-45150","Magicka Flood","Magicka Flood"
"198758357-0-36603","Soul Siphoner","Soul Siphoner"
"132143172-0-45145","Casting a Siphoning ability generates <<1>> Ultimate. This effect can occur once every <<2>>.","Siphoning 어빌리티를 시전하면 궁극기 게이지를 <<1>>만큼 획득합니다. 이 효과는 <<2>>에 한 번만 발동합니다."
"132143172-0-34838","Steal an enemy's life force, dealing <<1>> and healing you or |cffffff2|r other nearby allies for <<2>>% of the damage inflicted every <<3>> for <<4>>.","대상의 생명력을 흡수하여 <<1>>를 입히고, 자신과 주위의 아군 |cffffff2|r명은 입힌 피해의 <<2>>%에 해당하는 체력을 <<4>>에 걸쳐 <<3>>마다 회복합니다."
"132143172-0-45150","Increases your Max Magicka by <<1>> while a Siphoning ability is slotted.","Siphoning 어빌리티가 슬롯에 있으면 최대 매지카가 <<1>>만큼 증가합니다."
