"Location","Source","Target"
"108533454-0-26633","Seal","Seal"
"108533454-0-14647","Opening…","여는 중…"
"108533454-0-14646","Opening…","여는 중…"
"70307621-0-3406","Examine","Examine"
"70307621-0-3405","Examine","Examine"
"108533454-0-14650","Entering…","들어가는 중…"
"70307621-0-3407","Examine","Examine"
"108533454-0-14652","Activating …","작동시키는 중..."
"108533454-0-14654","Activating …","작동시키는 중..."
"70307621-0-3404","Examine","Examine"
"263004526-0-21353","Examining the Body…","시체 조사 중…"
"263004526-0-21352","Examining the Body…","시체 조사 중…"
"108533454-0-26629","Unlocking…","Unlocking…"
"108533454-0-14634","Unlocking…","잠금해제 중…"
"108533454-0-14636","Unlocking…","잠금해제 중…"
"108533454-0-14638","Destroying …","파괴하는 중..."
"108533454-0-14637","Destroying …","파괴하는 중..."
"108533454-0-14639","Destroying …","파괴하는 중..."
"108533454-0-12004","Spreading Salve…","Spreading Salve…"
"108533454-0-12005","Spreading Salve…","Spreading Salve…"
"108533454-0-14666","Disarming…","무장해제 중..."
"108533454-0-14669","Disarming…","무장해제 중..."
"108533454-0-14668","Disarming…","무장해제 중..."
"108533454-0-12009","Opening…","여는 중…"
"108533454-0-12010","Examining","조사하는 중"
"108533454-0-14676","Taking…","가지는 중…"
"108533454-0-12014","Climbing …","올라가는 중…"
"7949764-0-9302","Talk to <<1>>","<<1>>와(과) 대화하기"
"108533454-0-14655","Activating …","작동시키는 중..."
"7949764-0-9301","Talk to Alainne","Alainne와 대화하기"
"7949764-0-9300","Talk to Raolin","Raolin와 대화하기"
"108533454-0-14661","Entering…","들어가는 중…"
"108533454-0-14660","Knocking…","문 두드리는 중..."
"108533454-0-12000","Examining…","조사중…"
"70307621-0-3413","Examine","Examine"
"108533454-0-12001","Spreading Salve…","Spreading Salve…"
"108533454-0-14662","Activating …","작동시키는 중..."
"70307621-0-3412","Examine","Examine"
"108533454-0-12003","Spreading Salve…","Spreading Salve…"
"108533454-0-26634","Seal","Seal"
"108533454-0-26677","Search","수색하기"
"108533454-0-14689","Taking …","가져가는 중…"
"12912341-0-43518","Talk","대화하기"
"108533454-0-14694","Collecting Skyshard…","스카이샤드 수집중…"
"108533454-0-14693","Collecting Skyshard…","스카이샤드 수집중…"
"108533454-0-14696","Collecting Skyshard…","스카이샤드 수집중…"
"108533454-0-14695","Collecting Skyshard…","스카이샤드 수집중…"
"108533454-0-14698","Collecting Skyshard…","스카이샤드 수집중…"
"108533454-0-12036","Taking…","가지는 중…"
"108533454-0-14697","Collecting Skyshard…","스카이샤드 수집중…"
"108533454-0-26662","Searching…","Searching…"
"108533454-0-14677","Examining…","조사중…"
"108533454-0-12020","Taking…","가지는 중…"
"108533454-0-14683","Examining…","조사중…"
"108533454-0-12021","Taking…","가지는 중…"
"108533454-0-12024","Taking…","가지는 중…"
"108533454-0-26659","Destroying…","파괴하는 중..."
"108533454-0-12048","Examining…","조사중…"
"108533454-0-26691","Examining …","Examining …"
"108533454-0-26681","Collect","수집하기"
"108533454-0-26687","Examine","Examine"
"108533454-0-14699","Collecting Skyshard…","스카이샤드 수집중…"
"263004526-0-33343","Examining…","조사중…"
"108533454-0-26680","Collect","수집하기"
"108533454-0-12047","Burning…","불태우는 중..."
"108533454-0-26678","Search","수색하기"
"108533454-0-26679","Search","수색하기"
"108533454-0-12073","Opening trunk…","큰 상자 (trunk) 여는 중…"
"108533454-0-12074","Opening…","여는 중…"
"108533454-0-12076","Destroying…","파괴하는 중..."
"108533454-0-12077","Destroying…","파괴하는 중..."
"108533454-0-12078","Destroying…","파괴하는 중..."
"108533454-0-12071","Opening trunk…","큰 상자 (trunk) 여는 중…"
"7949764-0-46599","Find <<1>> at the Alliance Base","Find <<1>> at the Alliance Base"
"7949764-0-46597","Talk to <<1>>","<<1>>와(과) 대화"
"7949764-0-46594","Sarcophogus","Sarcophogus"
"108533454-0-12062","Placing…","놓는 중…"
"108533454-0-12068","Opening trunk…","큰 상자 (trunk) 여는 중…"
"108533454-0-12069","Opening trunk…","큰 상자 (trunk) 여는 중…"
"7949764-0-46591","Talk to <<1>>","<<1>>와(과) 대화"
"7949764-0-46590","Retrieve <<A:1>>","Retrieve <<A:1>>"
"108533454-0-4397","Interacting with the Box...","상자와 상호작용 중..."
"108533454-0-12061","Placing…","놓는 중…"
"12912341-0-18578","Talk","대화하기"
"7949764-0-58578","Kill Arillas","아릴라스 죽이기"
"108533454-0-12096","Placing…","놓는 중…"
"108533454-0-12097","Searching…","수색 중…"
"108533454-0-12099","Unlocking…","잠금해제 중…"
"7949764-0-58572","Burn Mephala's Barrier","메팔라의 장벽 불태우기"
"108533454-0-12094","Searching…","수색 중…"
"12912341-0-18582","Talk","대화하기"
"108533454-0-12085","Activating…","활성화 중…"
"108533454-0-12086","Activating…","활성화 중…"
"108533454-0-12087","Taking…","가지는 중…"
"108533454-0-12080","Searching…","수색 중…"
"108533454-0-12081","Lighting brazier…","화로에 불을 지피는 중..."
"108533454-0-12082","Lighting brazier…","화로에 불을 지피는 중..."
"108533454-0-12083","Lighting brazier…","화로에 불을 지피는 중..."
"7949764-0-46566","Recover the Coded Book","Recover the Coded Book"
"108533454-0-24095","Travel","이동하기"
"7949764-0-46563","Place the Vases","꽃병 놓기"
"7949764-0-46562","PlaceShort Vase Right","PlaceShort Vase Right"
"7949764-0-46561","PlaceShort Vase Left","PlaceShort Vase Left"
"7949764-0-22593","You Left the Game","당신은 게임을 떠났다."
"7949764-0-22594","Retrieve the Stolen Regalia","Retrieve the Stolen Regalia"
"7949764-0-46567","Rescue the Chief Archivist","Rescue the Chief Archivist"
"7949764-0-58555","Observe Lorne's Spell","론의 주문을 지켜보기"
"7949764-0-34589","Talk to Merric","Merric과 대화"
"7949764-0-58553","Talk to Faidur","파이두어와 대화하기"
"7949764-0-58554","Talk to Lorne","론과 대화"
"7949764-0-58552","Search the Cavern","Search the Cavern"
"7949764-0-34580","Talk to Theo","Theo 와 대화"
"74865733-0-21165","Search","수색하기"
"7949764-0-58559","Halimorion","할리모리온"
"74865733-0-21163","Take","가지기"
"8158238-0-3293","Collecting…","Collecting…"
"7949764-0-34585","Find Helene","Helene 찾기"
"7949764-0-58557","Calvus","칼버스"
"74865733-0-21161","Take","가지기"
"7949764-0-58558","Watch Calvus Memory","칼버스의 기억 지켜보기"
"7949764-0-34587","Give the Items to <<1>>","<<1>>에게 물건을 주기"
"74865733-0-21162","Take","가지기"
"7949764-0-46553","Talk to Captain Caudex","Talk to Captain Caudex"
"7949764-0-46552","Short Moon Vase 2","Short Moon Vase 2"
"7949764-0-46551","Tall Vase","Tall Vase"
"7949764-0-46550","Short Moon Vase 1","Short Moon Vase 1"
"7949764-0-46557","Talk to Captain Caudex","Talk to Captain Caudex"
"7949764-0-58566","despawn faidur","despawn faidur"
"7949764-0-34577","Get Key from a Crew Member","선원에게 키 얻기"
"7949764-0-58562","Watch Farril's Memory","Watch Farril's Memory"
"7949764-0-58560","Watch Halimorion's Memory","할리모리온의 기억 보기"
"7949764-0-58561","Farril","Farril"
"7949764-0-34570","Find Missing Townsfolk","사라진 주민 찾기"
"7949764-0-58568","Search the Bodies","시체 수색하기"
"7949764-0-46589","Search for <<A:1>>","Search for <<A:1>>"
"7949764-0-58533","Reach the Keep's Courtyard","Reach the Keep's Courtyard"
"7949764-0-58534","Search for Missing People","Search for Missing People"
"7949764-0-58531","Talk to Valsirenn","발시렌과 대화하기"
"12912341-0-31503","Examine","조사하기"
"7949764-0-58539","Encroaching Wildlife","위협적인 야생 동물"
"7949764-0-58538","Encroaching Wildlife","위협적인 야생 동물"
"7949764-0-58535","Search for Missing People","Search for Missing People"
"7949764-0-46577","Find the Spell Ciphers","Find the Spell Ciphers"
"7949764-0-46576","Find the Spell Ciphers","Find the Spell Ciphers"
"7949764-0-46575","Find the Spell Ciphers","Find the Spell Ciphers"
"7949764-0-46574","Find the Spell Ciphers","Find the Spell Ciphers"
"12912341-0-18543","Talk","대화하기"
"7949764-0-46572","Look for Zubesha","Look for Zubesha"
"7949764-0-46571","Take ""The Sublime Brazier"" to the Drake of Blades","Take \"\"The Sublime Brazier\"\" to the Drake of Blades"
"7949764-0-34590","Ignite the Snake Brazier","뱀 화로에 불을 붙이기"
"7949764-0-46579","Look for the Remaining Hunters","Look for the Remaining Hunters"
"7949764-0-46578","Find the Spell Ciphers","Find the Spell Ciphers"
"263004526-0-45392","Talking…","이야기 하는 중…"
"263004526-0-82309","Talk","대화하기"
"7949764-0-58545","Search Campsite","야영지 수색하기"
"7949764-0-58542","Exit the Sinkhole","싱크홀 빠져 나오기"
"7949764-0-58540","Encroaching Wildlife","위협적인 야생 동물"
"7949764-0-58541","Encroaching Wildlife","위협적인 야생 동물"
"74865733-0-21198","Examine","조사하기"
"7949764-0-34595","Talk to <<1>>","<<1>>와(과) 대화"
"7949764-0-34597","Snake Fire","뱀의 불"
"74865733-0-21195","Search","수색하기"
"7949764-0-20013","Hagravens Love Fresh Eyes","Hagravens는 신선한 눈알을 좋아합니다."
"7949764-0-22676","Find Part of the Plans","Find Part of the Plans"
"7949764-0-22675","Find Part of the Plans","Find Part of the Plans"
"7949764-0-46641","Anoint Casks of Oil with <<A:1>>","Anoint Casks of Oil with <<A:1>>"
"7949764-0-20015","Talk to <<1>>","<<1>>와(과) 대화하기"
"7949764-0-22678","Wait for Razum-dar to Open the Door","라줌-다르가 문을 열 때까지 기다리기"
"7949764-0-46640","Anoint Casks of Oil with <<A:1>>","Anoint Casks of Oil with <<A:1>>"
"7949764-0-22677","Talk to Andewen","안데웬과 대화하기"
"7949764-0-19023","Defeat Fildgor Orcthane","오크종사 필드고어 처치하기"
"7949764-0-22679","Talk to Razum-dar","라줌-다르와 대화하기"
"7949764-0-46648","Talk to King Bazrag","Bazrag 왕과 대화하기"
"7949764-0-46647","Participate in the Funeral","Participate in the Funeral"
"7949764-0-46646","Go to the Castle Overlook","Go to the Castle Overlook"
"7949764-0-46645","Get Kurog's Favorite Ale","Get Kurog's Favorite Ale"
"7949764-0-20011","Corpses Are Missing Eyes","시체에 눈알이 없습니다."
"7949764-0-22674","Find Part of the Plans","계획서 일부 찾기"
"7949764-0-46644","Go to the King's Cornerclub","국왕의 주점으로 이동하기"
"7949764-0-20012","Hagravens Must Be Nearby","Hagravens Must Be Nearby"
"7949764-0-58632","Find Miriya's Marines","Find Miriya's Marines"
"7949764-0-32002","Wave Event 1","Wave Event 1"
"7949764-0-34665","Retrieve <<1>>","<<1>>를 회수하기"
"7949764-0-58633","Assemble the Report","Assemble the Report"
"7949764-0-32001","Kill the Silvenar","실베나를 죽이기"
"7949764-0-58631","Use the Staff to Exit the Mindscape","지팡이를 사용해 정신 세계에서 나오기"
"7949764-0-10697","Scout Aleswell Lumbermill","알레스웰 제재소(Aleswell Lumbermill) 정찰하기"
"74865733-0-21248","Examine","조사하기"
"74865733-0-21249","Take","가지기"
"74865733-0-21246","Examine","조사하기"
"74865733-0-21247","Examine","조사하기"
"7949764-0-10690","Talk to Alana Relin","Alana Relin와 대화하기"
"7949764-0-32009","Kill <<1>>","<<1>>을(를) 죽이기"
"7949764-0-10691","Talk to Commander Parmion","Commander Parmion와 대화하기"
"74865733-0-21245","Examine","조사하기"
"7949764-0-58638","Assemble the Report","Assemble the Report"
"74865733-0-21242","Eat","먹기"
"7949764-0-58639","Assemble the Report","Assemble the Report"
"7949764-0-32007","Leave the Manor of Revelry","환락의 저택을 떠나기"
"74865733-0-21243","Eat","먹기"
"108533454-0-4443","Examining…","조사중…"
"74865733-0-21240","Take","가지기"
"7949764-0-19028","Witness the Great Moot","Witness the Great Moot"
"7949764-0-34662","Talk to <<1>>","<<1>>와(과) 대화하기"
"7949764-0-10695","Scout Ash Lumbermill","잿더미 제재소(Ash Lumbermill) 정찰하기"
"108533454-0-4444","Searching…","수색 중…"
"74865733-0-21241","Drink","음료"
"7949764-0-58634","Find the Key","Find the Key"
"7949764-0-32004","Find Vanus","바누스를 찾기"
"7949764-0-34663","Go to <<1>>","<<1>>로 가기"
"7949764-0-32003","Wave Event 2","Wave Event 2"
"7949764-0-19027","Witness the Great Moot","Witness the Great Moot"
"7949764-0-19035","Kill Shaman Moramat and Recover Orders","주술사 모라마트를 처치하고 명령서를 되찾기"
"7949764-0-46631","Gather Your Allies","Gather Your Allies"
"7949764-0-20025","Continue to the Hunter's Camp","Continue to the Hunter's Camp"
"7949764-0-46630","Gather Your Allies","Gather Your Allies"
"7949764-0-19033","Witness Fildgor's Execution","Fildgor의 처형에 입회한다."
"7949764-0-22688","Search For the Contract","계약서 찾기"
"7949764-0-19034","Kill Spymaster Ramorgol and Recover Orders","첩보 대장 라모어갈을 처치하고 명령서를 되찾기"
"7949764-0-19031","Talk to Jorunn the Skald-King","스칼드 왕 요룬과 대화하기"
"7949764-0-46639","Anoint Casks of Oil with <<A:1>>","Anoint Casks of Oil with <<A:1>>"
"7949764-0-46638","Anoint Casks of Oil with <<A:1>>","Anoint Casks of Oil with <<A:1>>"
"7949764-0-46637","Anoint Casks of Oil with <<A:1>>","Anoint Casks of Oil with <<A:1>>"
"7949764-0-46636","Anoint Artifacts with <<A:1>>","Anoint Artifacts with <<A:1>>"
"7949764-0-46635","Bring the Key to the Drake of Blades","Bring the Key to the Drake of Blades"
"7949764-0-20021","Talk to a Matron","귀부인과 대화하기"
"7949764-0-46634","Talk to the Drake of Blades","Talk to the Drake of Blades"
"7949764-0-46633","Talk to General Nedras","네드라스 장군과 대화하기"
"7949764-0-58644","Grog Persuade","그로그를 설득하기"
"7949764-0-34655","Defeat <<1>>'s Ambush","<<1>>의 매복 무찌르기"
"7949764-0-58641","Assemble the Report","Assemble the Report"
"12912341-0-79463","Talk","대화하기"
"7949764-0-34658","Find <<1>>","<<1>>를 찾기"
"7949764-0-58640","Assemble the Report","Assemble the Report"
"7949764-0-58649","Talk to Earl Leythen","가신 레이선과 대화하기"
"8158238-0-3266","Climb","Climb"
"7949764-0-58647","Find the Key to the Pedestal","받침대 열쇠 찾기"
"7949764-0-58648","Get Through the Opened Gate","Get Through the Opened Gate"
"74865733-0-21252","Use","사용하기"
"7949764-0-58645","Grog Persuade Fail","그로그 설득 실패"
"7949764-0-34653","Use <<1>> on the <<2>>","<<2>>에 <<1>>을 사용하기"
"74865733-0-21250","Examine","조사하기"
"7949764-0-19038","Find Oda Wolf-Sister","오다 울프-시스터 찾기"
"7949764-0-19046","Find Jakild","자킬드 찾기"
"7949764-0-22697","Find <<1>>"," <<1>> 찾기"
"7949764-0-46663","Gather <<1>>","Gather <<1>>"
"219936053-9-24187","Rich Platinum Seam","풍부한 백금 광맥층"
"7949764-0-46662","Gather <<1>>","Gather <<1>>"
"219936053-9-24186","Rich Platinum Seam","풍부한 백금 광맥층"
"7949764-0-46660","Gather <<1>>","Gather <<1>>"
"7949764-0-19040","Search for Clues to <<1>>'s location","<<1>>의 위치에 대한 단서를 찾기"
"7949764-0-19041","Set Gurlak Free","Set Gurlak Free"
"7949764-0-20030","Investigate Skyshroud Barrow","하늘장막 고분을 조사하기"
"7949764-0-46669","Find Regilus in the Groundskeeper's Storehouse","Find Regilus in the Groundskeeper's Storehouse"
"7949764-0-20031","Investigate Orkey's Hollow","올케이의 구멍을 조사하기"
