"Location","Source","Target"
"108566804-0-1709","You've stopped <<1>> from appeasing the Commodore.","제독을 달래는 것을 << 1 >>을 멈추었습니다."
"10860933-0-468","The Lady","숙녀 (The Lady)"
"10860933-0-469","The Lover","연인 (The Lover)"
"10860933-0-466","Kragenmoor Wayshrine","크라겐무어 성소"
"10860933-0-467","Ashen Road Wayshrine","잿빛 도로 성소"
"108566804-0-564","You helped prepare the Ebonheart Pact to go to war.","전쟁을 위해 에본하트 조약의 입안을 도왔습니다."
"108566804-0-563","You stopped the Worm Cult's corruption of Ouze.","연니를 더럽히는 벌레 교단을 막아냈습니다."
"10860933-0-465","Sathram Plantation Wayshrine","사스램 재배지 성소"
"10860933-0-462","Fort Virak Wayshrine","비락 요새 성소"
"10860933-0-463","Iliath Temple Wayshrine","일리아스 사원 성소"
"129979412-0-582","Resolve the conflict between the Drublog and Wood Elves.","드루블로그와 우드 엘프들 사이에 일어난 갈등을 해결하세요."
"10860933-0-460","Sandblown Mine","샌드블로운 광산 (Sandblown Mine)"
"129979412-0-581","Help the spinners correct the story of the Bosmer.","방적공들이 보스머의 이야기를 바로잡을 수 있도록 도와주세요."
"10860933-0-461","Yldzuun","이드준 (Yldzuun)"
"129979412-0-580","Help Kireth and Raynor explore the Dwemer ruins.","키레스와 레이노어를 도와 드웨머 유적을 탐험하세요."
"129979412-0-586","Free the Silvenar from captivity.","붙잡힌 실베나를 풀어 주세요."
"129979412-0-585","Investigate Bad Man's Hallows.","나쁜 남자의 성지를 조사하세요."
"129979412-0-584","Help the stranded performers escape the Ra Gada.","좌초당한 공연자들이 라 가다에게서 빠져나갈 수 있도록 도와주세요."
"129979412-0-583","Solve the mystery of Wittestadr.","위더스테드의 수수께끼를 푸세요."
"108566804-0-560","You protected the celebration and saved King Jorunn.","당신은 행사를 지키고 요룬 왕을 구했습니다."
"129979412-0-589","Help restore peace to the brewery.","양조장이 평화를 되찾을 수 있도록 도와주세요."
"129979412-0-588","Rescue the surviving soldiers from the undead invasion.","언데드 침공에서 살아남은 병사들을 구출하세요."
"108566804-0-562","You rescued <<1>>, the Green Lady's sister.","녹색 여군주의 동생 <<1>>을 구출했습니다."
"129979412-0-587","Save the Sphere of Storms from destruction.","폭풍의 구체가 파괴당하지 못하게 지켜내세요."
"108566804-0-561","You drove the Stormfist invaders out of Fort Morvunskar.","폭풍주먹 침략자를 모분스카 요새에서 몰아냈다."
