"Location","Source","Target"
"242841733-0-75065","Sword of the Night Mother","Sword of the Night Mother"
"242841733-0-128130","Blooddrinker Sword","Blooddrinker: 검"
"242841733-0-79423","Sword of the Pariah","Sword of the Pariah"
"242841733-0-51092","Sword of Hist Bark","Sword of Hist Bark"
"242841733-0-151394","Perfected Nahviintaas's Sword","Perfected Nahviintaas's Sword"
"242841733-0-117475","Sword of the Shield Breaker","Sword of the Shield Breaker"
"242841733-0-80419","Sword Of The Knightmare","Sword Of The Knightmare"
"242841733-0-46501","Sword of Death's Wind","Sword of Death's Wind"
"242841733-0-150065","False God's Sword","False God's Sword"
"242841733-0-109857","Sword of the Noble Duelist","Sword of the Noble Duelist"
"242841733-0-87058","Sword of the Footman","Sword of the Footman"
"242841733-0-90695","Sword of the Onslaught","Sword of the Onslaught"
"242841733-0-142442","Dead-Water's Guile Sword","Dead-Water's Guile Sword"
"242841733-0-141111","Jailer's Sword","Jailer's Sword"
"242841733-0-93725","Sword of Cyrodiil's Ward","Cyrodiil's Ward: 검"
"242841733-0-122817","War Maiden's Sword","War Maiden's Sword"
"242841733-0-146804","Frozen Watcher's Sword","Frozen Watcher's Sword"
"242841733-0-99026","Swamp Raider's Sword","Swamp Raider's Sword"
"242841733-0-162053","Roaring Opportunist's Sword","Roaring Opportunist's Sword"
"242841733-0-56770","Sword of Kagrenac's Hope","Sword of Kagrenac's Hope"
"242841733-0-149082","Undertaker's Sword","Undertaker's Sword"
"242841733-0-130442","Innate Axiom Sword","Innate Axiom Sword"
"242841733-0-110848","Sword of the Worm Cult","Sword of the Worm Cult"
"242841733-0-131766","Sword of Glory","Sword of Glory"
"242841733-0-104176","Sword of the Netch's Touch","Sword of the Netch's Touch"
"242841733-0-137073","Relequen's Sword","Relequen's Sword"
"242841733-0-88373","Sword of Cyrodiil's Crest","Sword of Cyrodiil's Crest"
"242841733-0-75042","Sword of the Shadow Dancer","Sword of the Shadow Dancer"
"242841733-0-128150","Blooddrinker Sword","Blooddrinker Sword"
"242841733-0-54140","Sword of Shalidor's Curse","Sword of Shalidor's Curse"
"242841733-0-133500","The Asylum's Sword","The Asylum's Sword"
"242841733-0-151373","Perfected Nahviintaas's Sword","Perfected Nahviintaas's Sword"
"242841733-0-117495","Sword of the Shield Breaker","Sword of the Shield Breaker"
"242841733-0-130477","Innate Axiom Sword","Innate Axiom Sword"
"242841733-0-101905","Prisoner's Sword","죄수의 검 (Prisoner's Sword)"
"242841733-0-90674","Sword of the Onslaught","Sword of the Onslaught"
"242841733-0-150044","False God's Sword","False God's Sword"
"242841733-0-87038","Sword of the Footman","Sword of the Footman"
"242841733-0-107219","Hulking Draugr's Sword","Hulking Draugr's Sword"
"242841733-0-109878","Sword of the Noble Duelist","Sword of the Noble Duelist"
"242841733-0-142422","Dead-Water's Guile Sword","Dead-Water's Guile Sword"
"242841733-0-122838","War Maiden's Sword","War Maiden's Sword"
"242841733-0-162032","Roaring Opportunist's Sword","Roaring Opportunist's Sword"
"242841733-0-99006","Swamp Raider's Sword","Swamp Raider's Sword"
"242841733-0-79411","Sword of the Pariah","Sword of the Pariah"
"242841733-0-155741","Daring Corsair's Sword","Daring Corsair's Sword"
"242841733-0-87018","Sword of the Footman","Sword of the Footman"
"242841733-0-149062","Undertaker's Sword","Undertaker's Sword"
"242841733-0-131792","Sword of Succession","계승자의 검 (Sword of Succession)"
"242841733-0-88353","Sword of Cyrodiil's Crest","Cyrodiil's Crest: 검"
"242841733-0-110869","Sword of the Worm Cult","Sword of the Worm Cult"
"242841733-0-91990","Sword of the Swift","Sword of the Swift"
"242841733-0-89687","Sword of the Sergeant","Sword of the Sergeant"
"242841733-0-34531","Stygian Forgefire's Brutal Blade","Stygian Forgefire's Brutal Blade"
"242841733-0-104197","Sword of the Netch's Touch","Sword of the Netch's Touch"
"242841733-0-163359","Spell Parasite's Sword","Spell Parasite's Sword"
"242841733-0-108553","Barkskin Sword","Barkskin Sword"
"242841733-0-143763","Might of the Lost Legion Sword","Might of the Lost Legion Sword"
"242841733-0-128170","Blooddrinker Sword","Blooddrinker Sword"
"242841733-0-75021","Sword of the Shadow Dancer","Sword of the Shadow Dancer"
"242841733-0-51057","Sword of Hist Bark","Sword of Hist Bark"
"242841733-0-101926","Prisoner's Sword","죄수의 검 (Prisoner's Sword)"
"242841733-0-90653","Sword of the Onslaught","Sword of the Onslaught"
"242841733-0-158817","Unchained Aggressor's Sword","Unchained Aggressor's Sword"
"242841733-0-142482","Dead-Water's Guile Sword","Dead-Water's Guile Sword"
"242841733-0-141151","Jailer's Sword","Jailer's Sword"
"242841733-0-109899","Sword of the Noble Duelist","Sword of the Noble Duelist"
"242841733-0-56735","Sword of the Eyes of Mara","Sword of the Eyes of Mara"
"242841733-0-97284","Sword of a Mother's Sorrow","Sword of a Mother's Sorrow"
"242841733-0-51045","Sword of Hist Bark","Sword of Hist Bark"
"242841733-0-110890","Sword of the Worm Cult","Sword of the Worm Cult"
"242841733-0-76368","Pelinal's Sword","Pelinal's Sword"
"242841733-0-122859","War Maiden's Sword","War Maiden's Sword"
"242841733-0-153139","Z'en's Sword","Z'en's Sword"
"242841733-0-100611","Spriggan's Sword","Spriggan's Sword"
