"Location","Source","Target"
"242841733-0-63999","Traveler's Boots","여행자의 장화"
"242841733-0-63995","Traveler's Boots","여행자의 장화"
"242841733-0-63996","Traveler's Boots","여행자의 장화"
"242841733-0-63997","Traveler's Boots","여행자의 장화"
"242841733-0-63998","Traveler's Boots","여행자의 장화"
"228378404-0-64014","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64013","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64012","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64011","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64010","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"228378404-0-64019","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64018","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64017","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64016","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64015","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64025","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64024","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64023","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64022","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64021","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64020","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64029","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64028","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64027","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64026","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"242841733-0-64028","Plain Sandals","수수한 샌들"
"242841733-0-64029","Plain Sandals","수수한 샌들"
"242841733-0-64035","Cuffed Boots","접힌 장화"
"228378404-0-64036","Turn-cuffed boots made for heavy labor or travel.","중노동 혹은 여행을 위해 만들어진 접힌 장화"
"228378404-0-64035","Turn-cuffed boots made for heavy labor or travel.","중노동 혹은 여행을 위해 만들어진 접힌 장화"
"242841733-0-64036","Cuffed Boots","접힌 장화"
"228378404-0-64034","Turn-cuffed boots made for heavy labor or travel.","중노동 혹은 여행을 위해 만들어진 접힌 장화"
"228378404-0-64033","Turn-cuffed boots made for heavy labor or travel.","중노동 혹은 여행을 위해 만들어진 접힌 장화"
"242841733-0-64031","Plain Sandals","수수한 샌들"
"228378404-0-64032","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"228378404-0-64031","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"242841733-0-64032","Plain Sandals","수수한 샌들"
"242841733-0-64033","Cuffed Boots","접힌 장화"
"228378404-0-64030","Generally considered more comfortable than boots.","장화보다 편안하다고들 합니다."
"242841733-0-64034","Cuffed Boots","접힌 장화"
"228378404-0-63989","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"242841733-0-64030","Plain Sandals","수수한 샌들"
"242841733-0-63989","Traveler's Boots","여행자의 장화"
"242841733-0-63991","Traveler's Boots","여행자의 장화"
"228378404-0-63991","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"242841733-0-63992","Traveler's Boots","여행자의 장화"
"228378404-0-63992","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"242841733-0-63993","Traveler's Boots","여행자의 장화"
"228378404-0-63990","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"242841733-0-63994","Traveler's Boots","여행자의 장화"
"242841733-0-63990","Traveler's Boots","여행자의 장화"
"228378404-0-63999","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"228378404-0-63997","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"228378404-0-63998","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"228378404-0-63995","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"228378404-0-63996","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"228378404-0-63993","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"228378404-0-63994","Well-made and lightly worn. Great for style, hard riding, or hard walking.","좋은 품질에 약간 낡았습니다. 멋진 스타일, 오랜 승마 혹은 도보에 적합합니다."
"242841733-0-64006","Traveler's Boots","여행자의 장화"
"242841733-0-64007","Traveler's Boots","여행자의 장화"
"242841733-0-64008","Traveler's Boots","여행자의 장화"
"242841733-0-64009","Traveler's Boots","여행자의 장화"
"242841733-0-64013","Plain Sandals","수수한 샌들"
"242841733-0-64014","Plain Sandals","수수한 샌들"
"242841733-0-64015","Plain Sandals","수수한 샌들"
"242841733-0-64016","Plain Sandals","수수한 샌들"
"242841733-0-64010","Traveler's Boots","여행자의 장화"
"242841733-0-64011","Plain Sandals","수수한 샌들"
"242841733-0-64012","Plain Sandals","수수한 샌들"
"242841733-0-64017","Plain Sandals","수수한 샌들"
"242841733-0-64018","Plain Sandals","수수한 샌들"
"242841733-0-64019","Plain Sandals","수수한 샌들"
"242841733-0-64024","Plain Sandals","수수한 샌들"
"242841733-0-64025","Plain Sandals","수수한 샌들"
