"Location","Source","Target"
"228378404-0-74462","Platinum-chased slide whistle used to mock the overcautious by playing a sad, descending string of notes in a minor key.","Platinum-chased slide whistle used to mock the overcautious by playing a sad, descending string of notes in a minor key."
"228378404-0-74461","Vintage antique, a compass from one of the fifty-six ships of the second, or Tavan wave of Ra Gada settlers.","Vintage antique, a compass from one of the fifty-six ships of the second, or Tavan wave of Ra Gada settlers."
"228378404-0-74464","Silver teardrop-shaped pouch flask for a Redguard priest, embossed with ""Tears of Zeht,"" though rarely used to contain water.","Silver teardrop-shaped pouch flask for a Redguard priest, embossed with \"\"Tears of Zeht,\"\" though rarely used to contain water."
"228378404-0-74463","Elaborately-embroidered cloth-of-gold book bag, made to carry a noble's copy of the Book of Circles.","Elaborately-embroidered cloth-of-gold book bag, made to carry a noble's copy of the Book of Circles."
"228378404-0-74460","Collar for one of Prince Hubalajad's notorious pack of hunting jackals, which turned on and devoured their own trainer.","Collar for one of Prince Hubalajad's notorious pack of hunting jackals, which turned on and devoured their own trainer."
"228378404-0-74469","Alabaster statuette of a sacred ibis, hinged at the hips, said to lean forward to give a favorable answer to a question.","Alabaster statuette of a sacred ibis, hinged at the hips, said to lean forward to give a favorable answer to a question."
"228378404-0-74466","The Magnifico Z'za's folding hammergammon board of precious wood inlays, with ivory pieces and jade multiplier die.","The Magnifico Z'za's folding hammergammon board of precious wood inlays, with ivory pieces and jade multiplier die."
"228378404-0-74465","Orichalc statuette of Diagna, God of the Sideways Blade, holding a severed head, an ancient work clearly Yokudan in origin.","Orichalc statuette of Diagna, God of the Sideways Blade, holding a severed head, an ancient work clearly Yokudan in origin."
"228378404-0-74468","Antique First-Era noble's novelty device, a clockwork dragon frog that spits a small puff of flame.","Antique First-Era noble's novelty device, a clockwork dragon frog that spits a small puff of flame."
"228378404-0-74467","Gold plate commemorating Prince Hubalajad's accidental burning of the Abah's Landing shipyard.","Gold plate commemorating Prince Hubalajad's accidental burning of the Abah's Landing shipyard."
"228378404-0-62473","These official papers detail a claim to the Shornhelm throne by a surviving yet distant relative of King Ranser.","These official papers detail a claim to the Shornhelm throne by a surviving yet distant relative of King Ranser."
"228378404-0-61141","A folded linen flag bearing the golden crest of the Aldmeri Dominion. This was likely taken from an alliance command vessel.","A folded linen flag bearing the golden crest of the Aldmeri Dominion. This was likely taken from an alliance command vessel."
"228378404-0-61140","This is an archaic flag, carried by servants of the Na-Totambu when they first arrived on ships from old Yokuda.","This is an archaic flag, carried by servants of the Na-Totambu when they first arrived on ships from old Yokuda."
"228378404-0-62474","A case containing quills, inks, and parchment. Popularized by Morrowind natives, it is perfect for literate travelers on the go.","A case containing quills, inks, and parchment. Popularized by Morrowind natives, it is perfect for literate travelers on the go."
"228378404-0-61143","Carefully-folded royal banner with silversilk embroidered fringe, from Aeradan Camoran's coronation.","Carefully-folded royal banner with silversilk embroidered fringe, from Aeradan Camoran's coronation."
"228378404-0-62471","These blank heraldic papers are signed by the Daggerfall Court. They would be worth a fortune to a forger.","These blank heraldic papers are signed by the Daggerfall Court. They would be worth a fortune to a forger."
"228378404-0-62472","Every Breton's desk in Shornhelm has a list of inspirational quotes meaningful to the followers of the Light.","Every Breton's desk in Shornhelm has a list of inspirational quotes meaningful to the followers of the Light."
"228378404-0-61142","After King Eamond's death, these valuable banners were taken down and replaced with black mourning banners.","After King Eamond's death, these valuable banners were taken down and replaced with black mourning banners."
"228378404-0-62470","These official papers detail a distant claim to the Daggerfall throne. A clever fence could easily ransom these documents.","These official papers detail a distant claim to the Daggerfall throne. A clever fence could easily ransom these documents."
"228378404-0-61149","A heavy woolen flag. A giant serpent with the head of an Orc is skillfully embroidered onto the cloth.","A heavy woolen flag. A giant serpent with the head of an Orc is skillfully embroidered onto the cloth."
"228378404-0-61148","A neatly folded banner bearing the symbol of the Lion Guard and signed by a Lion Guard officer.","A neatly folded banner bearing the symbol of the Lion Guard and signed by a Lion Guard officer."
"228378404-0-61145","A banner emblazoned with the Dragonstar Caravan emblem. It would be quite useful to a smuggler.","A banner emblazoned with the Dragonstar Caravan emblem. It would be quite useful to a smuggler."
"228378404-0-62477","A meticulously detailed map of the stars. The Warrior, Mage, and Thief are the most prominent constellations.","A meticulously detailed map of the stars. The Warrior, Mage, and Thief are the most prominent constellations."
"228378404-0-61144","Bright silk banner displaying the Altmeri eagle, prepared for Ayrenn's return to Summerset by way of Firsthold.","Bright silk banner displaying the Altmeri eagle, prepared for Ayrenn's return to Summerset by way of Firsthold."
"228378404-0-62478","Transportation charges with a summary of cargo and weight for a single delivery. It could be valuable to smugglers.","Transportation charges with a summary of cargo and weight for a single delivery. It could be valuable to smugglers."
"228378404-0-61147","A silk banner bearing the symbol of the Aldmeri Dominion. The gold embroidery indicates its owner's prominence.","A silk banner bearing the symbol of the Aldmeri Dominion. The gold embroidery indicates its owner's prominence."
"228378404-0-62475","Official papers that detail a claim to the Skyrim throne by Clan Ironhand. Is someone trying to promote Thane Unnvald?","Official papers that detail a claim to the Skyrim throne by Clan Ironhand. Is someone trying to promote Thane Unnvald?"
