"Location","Source","Target"
"228378404-0-808","Ten of these items can be refined to make iron ingots.","이 아이템 10개를 가공해 철 주괴를 얻을 수 있습니다."
"242841733-0-5820","high iron ore","상급 철 광석 (High Iron Ore)"
"242841733-0-808","iron ore","철 광석 (Iron Ore)"
"242841733-0-71198","rubedite ore","루비다이트 광석 (Rubedite Ore)"
"242841733-0-23103","orichalcum ore","오리할콘 광석 (Orichalcum Ore)"
"242841733-0-23135","voidstone ore","공허석 광석 (Voidstone Ore)"
"242841733-0-23134","Quicksilver ore","수은 광석 (Quicksilver Ore)"
"242841733-0-23133","Galatite ore","갈라타이트 광석 (Galatite Ore)"
"228378404-0-71198","Ten of these items can be refined to make rubedite ingots.","이 아이템 10개를 가공해 루비다이트 주괴를 얻을 수 있습니다."
"242841733-0-4482","Calcinium ore","칼시니움 광석 (Calcinium Ore)"
"242841733-0-23105","ebony ore","에보니 광석 (Ebony Ore)"
"242841733-0-23104","dwarven ore","드워븐 광석 (Dwarven Ore)"
"228378404-0-4482","Ten of these items can be refined to make calcinium ingots.","이 아이템 10개를 가공해 칼시니움 주괴를 얻을 수 있습니다."
"228378404-0-5820","Ten of these items can be refined to make steel ingots.","이 아이템 10개를 가공해 강철 주괴를 얻을 수 있습니다."
"228378404-0-23104","Ten of these items can be refined to make Dwarven ingots.","이 아이템 10개를 가공해 드워븐 주괴를 얻을 수 있습니다."
"228378404-0-23105","Ten of these items can be refined to make ebony ingots.","이 아이템 10개를 가공해 에보니 주괴를 얻을 수 있습니다."
"228378404-0-23135","Ten of these items can be refined to make voidstone ingots.","이 아이템 10개를 가공해 공허석 주괴를 얻을 수 있습니다."
"228378404-0-23103","Ten of these items can be refined to make orichalcum ingots.","이 아이템 10개를 가공해 오리할콘 주괴를 얻을 수 있습니다."
"228378404-0-23133","Ten of these items can be refined to make galatite ingots.","이 아이템 10개를 가공해 갈라타이트 주괴를 얻을 수 있습니다."
"228378404-0-23134","Ten of these items can be refined to make quicksilver ingots.","이 아이템 10개를 가공해 수은 주괴를 얻을 수 있습니다."
