"Location","Source","Target"
"242841733-0-133561","Typical Barb","트로피칼 바드 (Typical Barb)"
"242841733-0-42868","longfin","롱핀 (Longfin)"
"242841733-0-42867","dhufish","듀피쉬 (Dhufish)"
"242841733-0-133562","Clockerfish","시계물고기 (Clockerfish)"
"242841733-0-42866","river betty","민물 베티 (River Betty)"
"242841733-0-42865","salmon","연어 (Salmon)"
"242841733-0-42864","silverside perch","은색줄무늬 농어 (Silverside Perch)"
"228378404-0-42864","A lake fish. Use to filet for provisioning.","호수 생선입니다. 뼈를 발라내서 요리에 사용합니다."
"242841733-0-42863","spadetail","스페이드테일 (Spadetail)"
"228378404-0-42865","A common fish found in river waters. Use to filet for provisioning","강에서 흔히 발견되는 물고기입니다. 뼈를 발라내서 요리에 사용합니다."
"242841733-0-42862","trodh","트로드 (Trodh)"
"242841733-0-42861","slaughterfish","도살물고기 (Slaughterfish)"
"228378404-0-42862","A common fish found in foul waters. Use to filet for provisioning","오수에서 흔히 발견되는 물고기입니다. 뼈를 발라내서 요리에 사용합니다."
"228378404-0-42863","A lake fish. Use to filet for provisioning.","호수 생선입니다. 뼈를 발라내서 요리에 사용합니다."
"228378404-0-42868","A common fish found in saltwater. Use to filet for provisioning.","바닷물에서 발견되는 흔한 물고기입니다. 뼈를 발라내서 요리에 사용합니다."
"228378404-0-133561","An oily water fish. Use to filet for provisioning.","오직 기름기가 있는 물에서만 발견되는 물고기입니다. 뼈를 발라내서 요리에 사용할 수 있습니다."
"228378404-0-133562","A fabricant fish. Use to harvest its curious meats for provisioning.","패브리칸트 물고기입니다. 이 물고기로부터 발라낸 이상한 살들은 요리에 사용할 수 있습니다."
"228378404-0-42866","A common fish found in river waters. Use to filet for provisioning","강에서 흔히 발견되는 물고기입니다. 뼈를 발라내서 요리에 사용합니다."
"228378404-0-42867","A common fish found in saltwater. Use to filet for provisioning.","바닷물에서 발견되는 흔한 물고기입니다. 뼈를 발라내서 요리에 사용합니다."
"228378404-0-42861","A common fish found in foul waters. Use to filet for provisioning","오수에서 흔히 발견되는 물고기입니다. 뼈를 발라내서 요리에 사용합니다."
