"Location","Source","Target"
"242841733-0-28078","Bandit Note","도적의 편지"
"228378404-0-147520","This fragment of an ancient mural depicts the kingdom of Rimmen, known for its diverse trade.","This fragment of an ancient mural depicts the kingdom of Rimmen, known for its diverse trade."
"228378404-0-147521","This fragment of an ancient mural depicts the kingdom of Khenarthia, known for its sugar plantations and fishing.","This fragment of an ancient mural depicts the kingdom of Khenarthia, known for its sugar plantations and fishing."
"228378404-0-147522","This fragment of an ancient mural depicts the kingdom of Dune, known for its wise scholars.","This fragment of an ancient mural depicts the kingdom of Dune, known for its wise scholars."
"228378404-0-145581","One of four Legendary Dawnwood Berries. Feeding all 4 to a Nascent Indrik will force it to evolve into a Dawnwood Indrik, thus removing the Nascent Indrik.","One of four Legendary Dawnwood Berries. Feeding all 4 to a Nascent Indrik will force it to evolve into a Dawnwood Indrik, thus removing the Nascent Indrik."
"228378404-0-145580","One of four Legendary Dawnwood Berries. Feeding all 4 to a Nascent Indrik will force it to evolve into a Dawnwood Indrik, thus removing the Nascent Indrik.","One of four Legendary Dawnwood Berries. Feeding all 4 to a Nascent Indrik will force it to evolve into a Dawnwood Indrik, thus removing the Nascent Indrik."
"228378404-0-147523","This fragment of an ancient mural depicts the kingdom of Verkarth, known for its fierce warriors.","This fragment of an ancient mural depicts the kingdom of Verkarth, known for its fierce warriors."
"228378404-0-147524","This fragment of an ancient mural depicts the kingdom of Meirvale, known for its brewers and distilleries.","This fragment of an ancient mural depicts the kingdom of Meirvale, known for its brewers and distilleries."
"228378404-0-147525","This fragment of an ancient mural depicts the kingdom of Pellitine, known for its priests and devoutness.","This fragment of an ancient mural depicts the kingdom of Pellitine, known for its priests and devoutness."
"228378404-0-147526","This fragment of an ancient mural depicts the kingdom of Alabaster, known for its poets and dramatists.","This fragment of an ancient mural depicts the kingdom of Alabaster, known for its poets and dramatists."
"228378404-0-147527","This fragment of an ancient mural depicts the kingdom of Senchal, known for its sailors and ports.","This fragment of an ancient mural depicts the kingdom of Senchal, known for its sailors and ports."
"242841733-0-120891","Sparkly Hat Dazzler","빛나는 모자 반짝이"
"228378404-0-147528","This fragment of an ancient mural depicts the kingdom of Orcrest, known for its wily rogues and thieves.","This fragment of an ancient mural depicts the kingdom of Orcrest, known for its wily rogues and thieves."
"228378404-0-147529","This fragment of an ancient mural depicts the kingdom of Corinthe, known for its lumber and carpentry.","This fragment of an ancient mural depicts the kingdom of Corinthe, known for its lumber and carpentry."
"242841733-0-55448","Undaunted Key","Undaunted Key"
"242841733-0-55447","Silver Undaunted Key","Silver Undaunted Key"
"242841733-0-55446","Bronze Undaunted Key","Bronze Undaunted Key"
"228378404-0-147530","This fragment of an ancient mural depicts the kingdom of Helkarn, known for its shepherded folk.","This fragment of an ancient mural depicts the kingdom of Helkarn, known for its shepherded folk."
"228378404-0-147531","This fragment of an ancient mural depicts the kingdom of Bruk'ra, known for its river-trade.","This fragment of an ancient mural depicts the kingdom of Bruk'ra, known for its river-trade."
"228378404-0-147532","This fragment of an ancient mural depicts the kingdom of Tenmar, known for its jungle and tree-dwellers.","This fragment of an ancient mural depicts the kingdom of Tenmar, known for its jungle and tree-dwellers."
"228378404-0-147533","This fragment of an ancient mural depicts the kingdom of Torval, known for its reverence to the Mane.","This fragment of an ancient mural depicts the kingdom of Torval, known for its reverence to the Mane."
