"Location","Source","Target"
"249673710-0-21","A mystery collection of Baandari Pedlar items!","반다리와 관련된 수수께끼 아이템이 들어있습니다!\n\n|c22ADDC프리 오더 보너스 아이템입니다.|r"
"124362421-0-8","Scalecaller Crate","비늘소환자 상자"
"124362421-0-9","Psijic Vault Crate","시직 금고 상자"
"249673710-0-20","By popular demand, items newly requested and others brought back from the past.","신규 및 과거에 인기가 많았던 아이템이 들어있습니다."
"124362421-0-3","Crown Crate","크라운 상자"
"124362421-0-4","Dwarven Crate","드워븐 상자"
"124362421-0-5","Reaper's Harvest Crate","사신의 수확 상자"
"124362421-0-6","Flame Atronach Crate","화염 아트로나크 상자"
"124362421-0-29","Preview Crate: Frost Atronach","Preview Crate: Frost Atronach"
"124362421-0-27","Preview Crate: New Moon","사전체험 상자: 초승달"
"124362421-0-28","New Moon Crate","초승달 상자"
"249673710-0-29","A select collection of Frost Atronach-themed items!\n\n|cFFFFFFDeals 3 cards, with a guaranteed high-value item.|r","A select collection of Frost Atronach-themed items!\n\n|cFFFFFFDeals 3 cards, with a guaranteed high-value item.|r"
"124362421-0-26","Preview Crate: Baandari Pedlar","사전체험 상자: 반다리 행상인"
"249673710-0-27","A select collection of New Moon-themed items!\n\n|cFFFFFFDeals 3 cards, with a guaranteed high-value item.|r","엄선된 초승달 테마 아이템이 들어있습니다!\n\n|cFFFFFF3장의 카드에서 고등급 아이템을 확정적으로 지급합니다.|r"
"124362421-0-24","Dragonscale Crate","용비늘 상자"
"249673710-0-28","A mystery collection of New Moon items!","초승달과 관련된 수수께끼 아이템이 들어있습니다!"
"124362421-0-21","Baandari Pedlar Crate","반다리 행상인 상자"
"249673710-0-26","A select collection of Baandari Pedlar-themed items!\n\n|cFFFFFFDeals 3 cards, with a guaranteed high-value item.|r","엄선된 반다리 행상인 아이템이 들어있습니다!\n\n|cFFFFFF3장의 카드에서 고등급 아이템을 확정적으로 지급합니다.|r"
"124362421-0-20","Crown Classics Volume 2","크라운 클래식 볼륨 2"
"249673710-0-24","A mystery collection of Dragonscale related items!","용비늘과 관련된 수수께끼 아이템이 들어있습니다!"
"249673710-0-10","A mystery collection of Hollowjack-related items!","할로우잭과 관련된 수수께끼 아이템이 들어있습니다!"
"249673710-0-11","A mystery collection of premium items!","수수께끼 프리미엄 아이템이 들어있습니다!"
"249673710-0-30","A mystery collection of Frost Atronach related items!","A mystery collection of Frost Atronach related items!"
"249673710-0-3","A mystery collection of items!","수수께끼 아이템이 들어있습니다!"
"249673710-0-4","A mystery collection of Dwarven-related items!","드워븐과 관련된 수수께끼 아이템이 들어있습니다!"
"249673710-0-5","A mystery collection of Grim Reaper-related items!","사신과 관련된 수수께끼 아이템이 들어있습니다!"
"249673710-0-6","A mystery collection of Flame Atronach-related items!","화염 아트로나크와 관련된 수수께끼 아이템이 들어있습니다!"
"249673710-0-1","A mystery collection of Storm Atronach-related items!","폭풍 아트로나크와 관련된 수수께끼 아이템이 들어있습니다!"
"124362421-0-38","Preview Crate: Nightfall","Preview Crate: Nightfall"
"249673710-0-2","A mystery collection of Wild Hunt-related items!","야생의 사냥과 관련된 수수께끼 아이템이 들어있습니다!"
"124362421-0-39","Nightfall Crate","Nightfall Crate"
"124362421-0-36","Preview Crate: Gloomspore","상자 미리보기: 암흑 포자"
"124362421-0-14","The Steed's Bounty Crate","야생마의 보상 상자"
"124362421-0-37","Gloomspore Crate","암흑 포자의 상자"
"124362421-0-1","Storm Atronach Crate","폭풍 아트로나크 상자"
"124362421-0-12","Xanmeer Crate","잔미어 상자"
"249673710-0-38","A select collection of Nightfall-themed items!\n\n|cFFFFFFDeals 3 cards, with a guaranteed high-value item.|r","A select collection of Nightfall-themed items!\n\n|cFFFFFFDeals 3 cards, with a guaranteed high-value item.|r"
"124362421-0-2","Wild Hunt Crate","야생의 사냥 상자"
"249673710-0-39","A mystery collection of Nightfall related items!\n\n|cFFFFFFDeals 4 cards with a chance at a 5th bonus card.|r","A mystery collection of Nightfall related items!\n\n|cFFFFFFDeals 4 cards with a chance at a 5th bonus card.|r"
"124362421-0-10","Hollowjack Crate","할로우잭 상자"
"249673710-0-14","A mystery collection of mounts. Some new, and others brought back from the past.\n\n|cFFFFFFDeals 3 cards, one of which is guaranteed to be a mount.|r","수수께끼 탈것이 들어있습니다. 과거 혹은 최신의 탈것입니다.\n\n|cFFFFFF카드 3장중에 1장은 확정적으로 탈것입니다.|r"
"249673710-0-36","A select collection of Gloomspore-themed items!\n\n|cFFFFFFDeals 3 cards, with a guaranteed high-value item.|r","A select collection of Gloomspore-themed items!\n\n|cFFFFFFDeals 3 cards, with a guaranteed high-value item.|r"
"249673710-0-8","A mystery collection of Scalecaller-related items!","비늘소환자와 관련된 수수께끼 아이템이 들어있습니다!"
"124362421-0-11","Ouroboros Crown Crate","우로보로스 크라운 상자"
"249673710-0-37","A mystery collection of Gloomspore related items!","암흑 포자와 관련된 수수께끼의 아이템이 들어있습니다!"
"249673710-0-9","A mystery collection of Psijic Order-related items!","시직 결사와 관련된 수수께끼 아이템이 들어있습니다!"
"124362421-0-30","Frost Atronach Crate","Frost Atronach Crate"
"249673710-0-12","A mystery collection of Murkmire related items!","머크마이어와 관련된 수수께끼 아이템이 들어있습니다!"
