"Location","Source","Target"
"242841733-0-54368","stinkfish","stinkfish"
"242841733-0-161198","Morthal Longfin","Morthal Longfin"
"242841733-0-161199","Chillwind Pike","Chillwind Pike"
"242841733-0-161196","Frigid Char","Frigid Char"
"242841733-0-161197","Solitude Loach","Solitude Loach"
"242841733-0-161194","Skyrim Gurry Shark","Skyrim Gurry Shark"
"242841733-0-161195","Ghost Salmon","Ghost Salmon"
"228378404-0-145586","A rare fish found only in saltwater in Murkmire.","머크마이어의 바닷물에서만 발견되는 희귀 물고기입니다."
"242841733-0-161192","Vandellia","Vandellia"
"242841733-0-161193","Hypogean Tetra","Hypogean Tetra"
"228378404-0-145585","A rare fish found only in saltwater in Murkmire.","머크마이어의 바닷물에서만 발견되는 희귀 물고기입니다."
"228378404-0-145584","A rare fish found only in the foul waters of Murkmire.","머크마이어의 오수에서만 발견되는 희귀 물고기입니다."
"242841733-0-45411","pupfish","pupfish"
"242841733-0-45410","lenok","열목어 (lenok)"
"228378404-0-145583","A rare fish found only in the foul waters of Murkmire.","머크마이어의 오수에서만 발견되는 희귀 물고기입니다."
"242841733-0-45413","harbour gar","harbour gar"
"228378404-0-145582","A rare fish found only in the foul waters of Murkmire.","머크마이어의 오수에서만 발견되는 희귀 물고기입니다."
"242841733-0-45412","blue slimefish","blue slimefish"
"242841733-0-45414","dreughfish","드레흐피쉬 (dreughfish)"
"242841733-0-45406","banded killifish","banded killifish"
"242841733-0-45408","blackspotted pike","아무르 파이크 (blackspotted pike)"
"242841733-0-45407","driftfish","driftfish"
"242841733-0-45409","muskie","강늉치고기 (muskie)"
"228378404-0-145589","A rare fish found only in the river waters of Murkmire","머크마이어의 흐르는 물에서만 발견되는 희귀 물고기입니다."
"228378404-0-145588","A rare fish found only in the river waters of Murkmire","머크마이어의 흐르는 물에서만 발견되는 희귀 물고기입니다."
"228378404-0-145587","A rare fish found only in saltwater in Murkmire.","머크마이어의 흐르는 물에서만 발견되는 희귀 물고기입니다."
"242841733-0-79678","Palatine Sabertooth","Palatine Sabertooth"
"242841733-0-139015","Weaving Octopus","그물 문어"
"242841733-0-139014","Abyssal Sea Pig","심해의 바다 돼지 (Abyssal Sea Pig)"
"242841733-0-79679","Hammer Bombil","해머 봄빌 (Hammer Bombil)"
"242841733-0-139013","Pearlescent Crayfish","Pearlescent Crayfish"
"242841733-0-45400","yellow bass","yellow bass"
"228378404-0-145593","A rare fish found only in the lake waters of Murkmire.","A rare fish found only in the lake waters of Murkmire."
"242841733-0-45402","zebra oto","zebra oto"
"242841733-0-45401","barfish","barfish"
"228378404-0-145592","A rare fish found only in the lake waters of Murkmire.","A rare fish found only in the lake waters of Murkmire."
"228378404-0-145591","A rare fish found only in the lake waters of Murkmire.","A rare fish found only in the lake waters of Murkmire."
"242841733-0-45403","jarl salmon","jarl salmon"
"228378404-0-145590","A rare fish found only in the river waters of Murkmire","머크마이어의 흐르는 물에서만 발견되는 희귀 물고기입니다."
"242841733-0-45431","sweetfish","은어 (Sweetfish)"
"242841733-0-45430","flying fish","날치 (Flying Fish)"
"242841733-0-45433","stream catfish","개울 메기 (Stream Catfish)"
"242841733-0-45432","turbot","찰광어 (turbot)"
"228378404-0-138828","A rare fish found only in the lake waters of Summerset.","서머셋의 호수에서만 발견되는 희귀 물고기입니다."
"242841733-0-45435","hardyhead","hardyhead"
"242841733-0-45434","boga","보가 (boga)"
"228378404-0-138829","A rare fish found only in the lake waters of Summerset.","서머셋의 호수에서만 발견되는 희귀 물고기입니다."
"242841733-0-45437","thorny catfish","thorny catfish"
"242841733-0-45436","ricefish","ricefish"
"242841733-0-45428","mrigal","mrigal"
"242841733-0-45427","lyretail","lyretail"
"242841733-0-45429","stonefish","stonefish"
"242841733-0-45420","steelhead","steelhead"
"242841733-0-45422","catfish","catfish"
"242841733-0-45421","ice fish","ice fish"
"242841733-0-45424","tiger perch","다트니오데스 풀케르 (tiger perch)"
"242841733-0-45423","warmouth","warmouth"
"242841733-0-45426","walleye","월아이 (walleye)"
"242841733-0-45425","hog sucker","호그 서커 (hog sucker)"
"242841733-0-45417","pirate perch","pirate perch"
"242841733-0-45416","glassfish","유리물고기 (glassfish)"
"242841733-0-45419","cutthroat trout","cutthroat trout"
"242841733-0-45418","deshaan chub","deshaan chub"
"242841733-0-147937","Moon-Sugar Shrimp","Moon-Sugar Shrimp"
"242841733-0-147936","Greater Senchefin","Greater Senchefin"
"242841733-0-147939","Freshwater Blenny","Freshwater Blenny"
"242841733-0-147938","Hircine's Pupfish","Hircine's Pupfish"
"228378404-0-42897","A rare fish found only in the river waters of The Rift.","리프트의 강에서만 발견되는 희귀 물고기입니다."
"228378404-0-42898","A rare fish found only in the foul waters of Glenumbra.","A rare fish found only in the foul waters of Glenumbra."
"228378404-0-42895","A rare fish found only in the lake waters of The Rift.","A rare fish found only in the lake waters of The Rift."
"228378404-0-42896","A rare fish found only in the river waters of The Rift.","리프트의 강에서만 발견되는 희귀 물고기입니다."
"228378404-0-42899","A rare fish found only in the lake waters of Glenumbra.","A rare fish found only in the lake waters of Glenumbra."
"242841733-0-147944","Desert Sucker","Desert Sucker"
"228378404-0-42890","A rare fish found only in the foul waters of Eastmarch.","A rare fish found only in the foul waters of Eastmarch."
"242841733-0-147943","Speckled Dace","Speckled Dace"
"242841733-0-147946","Cudgeon","Cudgeon"
"242841733-0-147945","Grayling","Grayling"
"228378404-0-42893","A rare fish found only in saltwater in Eastmarch.","A rare fish found only in saltwater in Eastmarch."
"242841733-0-147940","Rimmen Bichir","Rimmen Bichir"
"228378404-0-42894","A rare fish found only in the foul waters of The Rift.","A rare fish found only in the foul waters of The Rift."
"242841733-0-147942","Galaxias","Galaxias"
"228378404-0-42891","A rare fish found only in the lake waters of Eastmarch.","A rare fish found only in the lake waters of Eastmarch."
"242841733-0-147941","Reedfish","Reedfish"
"228378404-0-42892","A rare fish found only in the river waters of Eastmarch.","이스트마치의 강에서만 발견되는 희귀 물고기입니다."
"228378404-0-147940","A rare fish found only in the river waters of Northern Elsweyr.","A rare fish found only in the river waters of Northern Elsweyr."
"228378404-0-133575","A fabricant fish found only in the oily waters of the Clockwork City.","클락워크 시티의 기름진 물에서만 찾을 수 있는 팩토튬 물고기입니다."
"228378404-0-42886","A rare fish found only in the foul waters of Shadowfen.","쉐도우팬의 오수에서만 발견되는 희귀 물고기입니다."
"228378404-0-42887","A rare fish found only in the lake waters of Shadowfen.","A rare fish found only in the lake waters of Shadowfen."
"228378404-0-42884","A rare fish found only in the river waters of Deshaan.","데샨의 강에서만 발견되는 희귀 물고기입니다."
"228378404-0-42885","A rare fish found only in saltwater in Deshaan.","A rare fish found only in saltwater in Deshaan."
"228378404-0-133570","A rare fish found only in the oily waters of the Clockwork City. Presumed extinct.","클락워크 시티의 기름진 물에서만 발견되는 희귀한 물고기입니다. 멸종되었다고 알려져있습니다."
"228378404-0-133571","A fabricant fish found only in the oily waters of the Clockwork City.","클락워크 시티의 기름진 물에서만 찾을 수 있는 팩토튬 물고기입니다."
"228378404-0-133572","A rare fish found only in the oily waters of the Clockwork City. Presumed extinct.","클락워크 시티의 기름진 물에서만 발견되는 희귀한 물고기입니다. 멸종되었다고 알려져있습니다."
"228378404-0-133573","A rare fish found only in the oily waters of the Clockwork City. Presumed extinct.","클락워크 시티의 기름진 물에서만 발견되는 희귀한 물고기입니다. 멸종되었다고 알려져있습니다."
"228378404-0-42888","A rare fish found only in the river waters of Shadowfen.","쉐도우팬의 강에서만 발견되는 희귀 물고기입니다."
"228378404-0-42889","A rare fish found only in the foul waters of Shadowfen.","쉐도우팬의 오수에서만 발견되는 희귀 물고기입니다."
"228378404-0-133574","A fabricant fish found only in the oily waters of the Clockwork City.","클락워크 시티의 기름진 물에서만 찾을 수 있는 팩토튬 물고기입니다."
"228378404-0-147941","A rare fish found only in the river waters of Northern Elsweyr.","A rare fish found only in the river waters of Northern Elsweyr."
