"Location","Source","Target"
"242841733-0-139420","Pulverized Slaughterstone","학살석 가루 (Pulverized Slaughterstone)"
"242841733-0-135160","Pulverized Zinc","아연 가루 (Pulverized Zinc)"
"228378404-0-139419","Ten of these items can be refined into Dibellium, which is used to make Jewelry with the Harmony Trait.","이 아이템 10개를 가공해 Harmony특성을 가진 장신구를 만드는데 사용되는디벨리움을 얻을 수 있습니다."
"228378404-0-135159","Ten of these items can be refined into Antimony, which is used to make Jewelry with the Healthy Trait.","이 아이템 10개를 가공해 Healthy 특성을 가진 장신구를 만드는데 사용되는 안티몬을 얻을 수 있습니다."
"228378404-0-139418","Ten of these items can be refined into Gilding Wax, which is used to make Jewelry with the Swift Trait.","이 아이템 10개를 가공해 Swift 특성을 가진 장신구를 만드는데 사용되는 금박 밀랍을 얻을 수 있습니다."
"228378404-0-139417","Ten of these items can be refined into Aurbic Amber, which is used to make Jewelry with the Infused Trait.","이 아이템 10개를 가공해 Infused특성을 가진 장신구를 만드는데 사용되는 오르빅 호박석을 얻을 수 있습니다."
"242841733-0-139419","Pulverized Dibellium","디벨리움 가루 (Pulverized Dibellium)"
"242841733-0-139418","Pulverized Gilding Wax","금박 밀랍 가루 (Pulverized Gilding Wax)"
"228378404-0-139416","Ten of these items can be refined into Titanium, which is used to make Jewelry with the Protective Trait.","이 아이템 10개를 가공해 Protective 특성을 가진 장신구를 만드는데 사용되는 티타늄을 얻을 수 있습니다."
"242841733-0-135159","Pulverized Antimony","안티몬 가루 (Pulverized Antimony)"
"242841733-0-139417","Pulverized Aurbic Amber","오르빅 호박석 가루 (Pulverized Aurbic Amber)"
"242841733-0-139416","Pulverized Titanium","티타늄 가루 (Pulverized Titanium)"
"242841733-0-139415","Pulverized Dawn-Prism","여명의 프리즘 가루 (Pulverized Dawn-Prism)"
"242841733-0-135158","Pulverized Cobalt","코발트 가루 (Pulverized Cobalt)"
"228378404-0-139420","Ten of these items can be refined into a Slaughterstone, which is used to make Jewelry with the Bloodthirsty Trait.","이 아이템 10개를 가공해 Bloodthirsty 특성을 가진 장신구를 만드는데 사용되는 학살석을 얻을 수 있습니다."
"228378404-0-139415","Ten of these items can be refined into a Dawn-Prism, which is used to make Jewelry with the Triune Trait.","이 아이템 10개를 가공해 Triune 특성을 가진 장신구를 만드는데 사용되는 여명의 프리즘을 얻을 수 있습니다."
"228378404-0-135158","Ten of these items can be refined into Cobalt, which is used to make Jewelry with the Arcane Trait.","이 아이템 10개를 가공해 Arcane 특성을 가진 장신구를 만드는데 사용되는 코발트를 얻을 수 있습니다."
"228378404-0-135160","Ten of these items can be refined into Zinc, which is used to make Jewelry with the Robust Trait.","이 아이템 10개를 가공해 Robust 특성을 가진 장신구를 만드는데 사용되는 티타늄을 얻을 수 있습니다."
