"Location","Source","Target"
"172030117-6-1072","Pellingare Ghoul Slayer","Pellingare Ghoul Slayer"
"172030117-6-1071","Spindleclutch II Assassin","스핀들클러치 II 암살자"
"12529189-0-1317","Ruby Potency","루비 포텐시"
"12529189-0-2648","Beach Battler","해변 전투자"
"12529189-0-1316","Orsinium Patron","오시니움 후원자"
"12529189-0-2647","Western Skyrim Master Explorer","서부 스카이림 달인 탐험가"
"12529189-0-1315","Windfall Profits","불로 소득"
"12529189-0-2646","Western Skyrim Pathfinder","서부 스카이림 길잡이"
"12529189-0-1314","Sudden Spoils","갑작스런 전리품"
"12529189-0-2645","Western Skyrim Cave Delver","서부 스카이림 동굴 탐험가"
"12529189-0-1319","Glass Style Master","글래스 양식의 달인"
"12529189-0-1318","Akaviri Style Master","아카비리 양식의 달인"
"12529189-0-2649","Hunting the Hunters","사냥꾼을 사냥하다"
"12529189-0-2640","Dragonhome Explorer","Dragonhome Explorer"
"12529189-0-1313","Tel Var Master","텔 바 마스터"
"12529189-0-2644","The Scraps Explorer","The Scraps Explorer"
"172030117-1-586","Winter's Reach Dolmen","겨울의 도래 고인돌"
"12529189-0-1312","Tel Var Baron","텔 바 부자"
"12529189-0-2643","Shadowgreen Explorer","섀도우그린 탐험가"
"172030117-1-587","Covenant Anchor Shatterer","대거폴 동맹 닻 파괴자"
"12529189-0-1311","Tel Var Collector","텔 바 스톤 수집가"
"12529189-0-2642","Midnight Barrow Explorer","Midnight Barrow Explorer"
"12529189-0-2641","Frozen Coast Explorer","얼어붙은 해변 탐험가"
"172030117-6-840","Old Shornhelm Ruins","Old Shornhelm Ruins"
"172030117-6-1064","Defeat Uluzzur","울루주어를 처치하기"
"172030117-6-844","Flawless Tail Feather","Flawless Tail Feather"
"172030117-6-845","Telvanni Acquisition Camp","Telvanni Acquisition Camp"
"172030117-6-842","Multifaceted Eye","Multifaceted Eye"
"172030117-6-843","Glowing Remnant","Glowing Remnant"
"172030117-6-849","Wayfarer's Wharf","Wayfarer's Wharf"
"12529189-0-1306","Out of the Frying Pan","프라이팬으로부터 빠져나와서"
"12529189-0-2637","Pellitine Dragon Hunter","Pellitine Dragon Hunter"
"172030117-5-1690","Defeat the Earthgore Amalgam","Defeat the Earthgore Amalgam"
"12529189-0-1305","Maelstrom Arena Conqueror","마엘스톰 투기장 정복자"
"12529189-0-2636","Pellitine Dragon Stalker","Pellitine Dragon Stalker"
"12529189-0-1304","Maelstrom Arena Champion","마엘스톰 투기장 챔피언"
"12529189-0-2635","Leaves on the Wind","Leaves on the Wind"
"12529189-0-1303","Lord Warden's Retaliation","교도소장의 보복"
"12529189-0-2634","A New Beginning","A New Beginning"
"172030117-5-1691","Defeat the Earthgore Amalgam","Defeat the Earthgore Amalgam"
"12529189-0-2639","Chillwind Depths Explorer","노대바람의 심연 탐험가"
"12529189-0-1307","Imperial City Dungeon Locksmith","임페리얼 시티 던전 자물쇠공"
"12529189-0-2638","Soul Magic Skill Master","영혼 마법 스킬 달인"
"12529189-0-1302","Zthenganaz Explorer","즈텐가나즈 탐험가"
"12529189-0-2633","Helping the Helpless","Helping the Helpless"
"12529189-0-1301","Watcher's Hold Explorer","감시자 요새 탐험가"
"12529189-0-1300","Thukhozod's Sanctum Explorer","쓰쿠조드의 성역 탐험가"
"12529189-0-2631","Pellitine Dragon Killer","Pellitine Dragon Killer"
"12529189-0-2630","Dragonguard Style Master","Dragonguard Style Master"
"172030117-9-2248","Volghass","볼그하스"
"172030117-6-1056","Defeat Uluzzur","울루주어를 처치하기"
"172030117-6-1051","Defeat Viro Redhands","바이로 레드핸즈를 처치하기"
"172030117-6-833","Travelers' Rest","여행자의 숙소(Travelers' Rest)"
"172030117-6-834","Hlanii's Hovel","할라니의 오두막(Hlanii's Hovel)"
"172030117-6-832","Faltonia's Mine","팔토니아의 광산(Faltonia's Mine)"
"172030117-6-838","Malformed Kagouti Tusk","Malformed Kagouti Tusk"
"172030117-6-835","Dawnmead Ruin Camp","여명초원 유적 야영지(Dawnmead Ruin Camp)"
"12529189-0-1339","Hooking Wrothgar's Biggest Catch","로스가의 대어 낚시"
"12529189-0-1338","Wrothgar Delve Monthly","로스가 탐사지 월간"
"12529189-0-2669","An Instrumental Triumph","기악곡 개가"
"172030117-6-839","Fisherman's Rest","어부의 쉼터(Fisherman's Rest)"
"12529189-0-1337","Wrothgar Delve Weekly","로스가 탐사지 주간"
"12529189-0-1336","A Delve a Day","1일 1탐사지"
"12529189-0-1331","Wrothgar Cliff Jumper","로스가 절벽 다이버"
"12529189-0-1330","Maelstrom Arena: Perfect Run","마엘스톰 투기장: 완벽한 주행"
"12529189-0-2660","Harrowstorm Scout","해로우스톰 정찰가"
"12529189-0-1335","Monster Hunter of the Month","이달의 몬스터 사냥꾼"
"12529189-0-1334","Lucky Seven","럭키 세븐"
"12529189-0-1333","One at a Time","한 번에 하나"
"172030117-6-1059","Defeat Viro Redhands","바이로 레드핸즈를 처치하기"
"172030117-14-2461","At the mouth of a cave, in an ignoble abode.","At the mouth of a cave, in an ignoble abode."
"172030117-6-1045","Entoloma","청왜대버섯"
"172030117-14-2463","Tenmar Fragment","Tenmar Fragment"
"172030117-13-1726","Strident Springs Demesne","삐걱대는 온천 사유지"
"172030117-6-1041","Research the Sharpened Weapon Trait.","무기 특성 Sharpened를 연구하세요."
"12529189-0-1328","Wrothgar Grand Adventurer","로스가 굉장한 모험가"
"12529189-0-1327","Orc King's Conqueror","오크 왕의 정복자"
"12529189-0-2658","A Hero's Song","A Hero's Song"
"12529189-0-1326","Orc King's Marshal","오크 왕의 총사령관"
"12529189-0-1325","Orc King's Councilor","오크 왕의 의원"
"12529189-0-2656","Draconic Minion Slayer","Draconic Minion Slayer"
"12529189-0-1320","Wrothgar Skyshard Hunter","로스가 스카이샤드 사냥꾼"
"12529189-0-2651","Shades of Gray","Shades of Gray"
"12529189-0-2650","Champion's Champion","투사 중에 투사"
"12529189-0-1324","Wrothgar Master Relic Hunter","로스가 달인 유물 사냥꾼"
"12529189-0-2655","Western Skyrim Master Angler","서부 스카이림 달인 낚시꾼"
"12529189-0-1323","Wrothgar Master Explorer","로스가 달인 탐험가"
"12529189-0-2654","Defender of Western Skyrim","서부 스카이림의 방어자"
"12529189-0-1322","Wrothgar Master Seeker","로스가 달인 탐구자"
"12529189-0-2653","Dwarven Disassembler","Dwarven Disassembler"
"12529189-0-1321","Wrothgar Master Delver","로스가 달인 동굴 탐험가"
"12529189-0-2652","No Food For You","No Food For You"
"172030117-13-1798","Learn the Ebony Style for Swords","에보니 양식의 검 제작법 배우기"
"172030117-13-1797","Learn the Ra Gada Style for Swords","라 가다 양식의 검 제작법 배우기"
"12529189-0-2680","Ceramic Panic","Ceramic Panic"
"172030117-6-2361","Learn the Elder Argonian Style for Gloves","Learn the Elder Argonian Style for Gloves"
"172030117-6-1030","Learn the High Elf Racial Style.","하이 엘프 종족 양식을 배우세요."
"172030117-6-2360","Learn the Dead-Water Style for Gloves","죽은-물 양식의 장갑 제작법 배우기"
"172030117-13-1796","Learn the Silken Ring Style for Swords","실켄 링 양식의 검 제작법 배우기"
"172030117-13-1795","Learn the Mazzatun Style for Swords","마짜툰 양식의 검 제작법 배우기"
"12529189-0-1359","Hew's Bane Master Explorer","휴의 파멸 달인 탐험가"
"12529189-0-1358","Hew's Bane Pathfinder","휴의 파멸 길잡이"
"12529189-0-2689","Harrowstorm Disruptor","Harrowstorm Disruptor"
"12529189-0-1353","Cutting the Keel","용골 절단"
"12529189-0-2684","Unchecked Empowerment","Unchecked Empowerment"
"12529189-0-1352","Deepest Shallows","매우 깊은 여울"
"12529189-0-2683","Mender Wrender","Mender Wrender"
"12529189-0-1351","Hew's Bane Master Angler","휴의 파멸 달인 낚시꾼"
"12529189-0-2682","Last-Second Sundering","Last-Second Sundering"
"12529189-0-1350","The Lady in the Cistern","구덩이 안의 숙녀"
"12529189-0-2681","Shattered Shields","Shattered Shields"
"12529189-0-1357","Hew's Bane Cave Delver","휴의 파멸 동굴 탐험가"
"12529189-0-2688","Harrowstorm Chaser","해로우스톰 추격자"
"12529189-0-1356","Shark's Teeth Grotto Explorer","상어의 이빨 암굴 탐험가"
