"Location","Source","Target"
"242841733-0-57659","Gnawed Bone","부식된 뼈 (Gnawed Bone)"
"228378404-0-30325","The ink on this page is too faded to make out the words.","이 페이지의 잉크는 너무 번져서 알아볼 수 없습니다."
"242841733-0-54388","Supple Root","유연한 뿌리 (Supple Root)"
"242841733-0-54386","Dwarven Gear","드워븐 기어 (Dwarven Gear)"
"228378404-0-30329","These linens are soiled with sweat and blood.","이 리넨은 피와 땀으로 얼룩졌습니다."
"228378404-0-30328","This shovel is broken off at the haft.","이 삽은 부러져서 반토막 났습니다."
"242841733-0-54387","Membrane","피막 (Membrane)"
"242841733-0-54384","Ectoplasm","심령체 (Ectoplasm)"
"228378404-0-30327","This wine bottle is empty.","이 와인병은 텅 비었습니다."
"242841733-0-54385","Elemental Essence","원소의 정수 (Elemental Essence)"
"228378404-0-30326","This iron wedding band has virtually no value. Its crudely wrought surfaces have been worn smooth by the press of fingers.","이 철 결혼 반지는 사실상 값어치가 없습니다. 반지의 거친 표면은 손때가 타서 마모되었습니다."
"242841733-0-54382","Carapace","껍데기 (Carapace)"
"242841733-0-54383","Daedra Husk","데이드라 겉껍질 (Daedra Husk)"
"242841733-0-64209","Vampire Dust","뱀파이어 가루 (Vampire Dust)"
"242841733-0-54381","Foul Hide","더러운 가죽 (Foul Hide)"
"242841733-0-42878","Used Bait","사용된 미끼 (Used Bait)"
"242841733-0-127105","Clockwork Oscillator","시계태엽 발진기 (Clockwork Oscillator)"
"242841733-0-64210","Vampire Fang","뱀파이어 송곳니 (Vampire Fang)"
"242841733-0-57620","Charcoal","숯덩이 (Charcoal)"
"242841733-0-163427","Ruined Chaurus Egg","Ruined Chaurus Egg"
"242841733-0-30325","Torn Page","찢겨진 페이지 (Torn Page)"
"242841733-0-30326","Tarnished Wedding Band","변색된 결혼반지 (Tarnished Wedding Band)"
"242841733-0-30327","Empty Wine Bottle","빈 와인병 (Empty Wine Bottle)"
"242841733-0-30328","Broken Shovel","부서진 삽 (Broken Shovel)"
"242841733-0-30329","Soiled Linens","때묻은 리넨 (Soiled Linens)"
"228378404-0-30332","This bound notebook is filled with scrawls in an undecipherable hand.","이 연습장은 해독할 수 없는 낙서들로 채워져있습니다."
"228378404-0-30331","This bound collection of famous Breton sonnets has a partial copy of ""The Lusty Argonian Maid"" folded between two pages.","유명한 브레튼 시집 페이지 사이로 \"\"음란한 아르고니안 메이드\"\" 복사본이 끼워져있습니다."
"228378404-0-30330","The writing on this note is obscured with blood.","노트의 내용이 피로 덮혀있습니다."
"242841733-0-64467","Ash","재 (Ash)"
"228378404-0-42878","There is no longer enough of this soggy bait to use for fishing.","이 질척거리는 미끼는 더 이상 낚시에 쓸 수 없습니다."
"242841733-0-30330","Crumpled Letter","구겨진 편지 (Crumpled Letter)"
"242841733-0-166961","Stony Sliver","Stony Sliver"
"242841733-0-30331","Book of Poetry","시집 (Book of Poetry)"
"242841733-0-30332","Book of Notes","연습장 (Book of Notes)"
