"Location","Source","Target"
"132143172-0-31378","After blocking an attack, your next Health, Magicka, or Stamina ability costs <<1>> less.","막은 후에 공격할 때, 사용하는 어빌리티의 매지카혹은 스태미나 소모량이 <<1>>만큼 감소합니다."
"132143172-0-24842","Surprise your foes by placing |cffffff3|r volatile Daedric mines at a target location, which arm instantly and last for <<1>>.\n\nWhen a mine is triggered it explodes, dealing <<2>> and immobilizing the enemy for <<3>>.","즉시 활성화돼서 <<1>> 동안 지속되는 |cffffff3|r개의 불안정한 데이드릭 지뢰를 주변에 설치하여 적들을 기습합니다.\n\n지뢰가 폭발하면 <<2>>를 주고 <<3>> 동안 적을 이동 불가 상태로 만듭니다."
"132143172-0-45181","When you cast a Dark Magic ability you grant Minor Prophecy to you and your group, increasing your Spell Critical by <<1>> for <<2>>.","Dark Magic 어빌리티를 시전하면 당신과 그룹에게 Minor Prophecy 효과를 가합니다. <<2>> 동안 마법 치명타가 <<1>> 증가합니다."
"198758357-0-24574","Defensive Rune","Defensive Rune"
"198758357-0-46324","Crystal Fragments","Crystal Fragments"
"198758357-0-24578","Rune Cage","Rune Cage"
"198758357-0-24371","Rune Prison","Rune Prison"
"132143172-0-24595","Bargain with darkness to restore <<1>> Health and <<2>> Stamina instantly, and an additional <<3>> Stamina over <<4>>.","어둠과 협상해 <<1>> 체력과 <<2>> 스태미나를 즉시 회복합니다. 추가로 <<4>>에 걸쳐 <<3>> 스태미나를 회복합니다."
"198758357-0-45165","Persistence","Persistence"
"132143172-0-27706","Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.\n\nEnemies within the globe are stunned, while enemy players will be silenced rather than stunned.","마법을 억제하는 구체를 생성하고, 적의 모든 효과를 즉시 무효화합니다. 구체의 범위 안에 있는 적들을 <<1>> 동안 기절시킵니다. 대상이 플레이어일 경우 기절시키는 대신 침묵시킵니다."
"198758357-0-46331","Crystal Blast","Crystal Blast"
"132143172-0-24834","Surprise your foes by placing |cffffff5|r volatile Daedric mines around you, which take |cffffff3|r seconds to arm and last for <<1>>.\n\nWhen a mine is triggered it explodes, dealing <<2>> and immobilizing the enemy for <<3>>.","|cffffff3|r초 후 활성화돼서 <<1>> 동안 지속되는 |cffffff5|r개의 불안정한 데이드릭 지뢰를 주변에 설치하여 적들을 기습합니다.\n\n지뢰가 폭발하면 <<2>>를 주고 <<3>> 동안 적을 이동 불가 상태로 만듭니다."
"198758357-0-24842","Daedric Tomb","Daedric Tomb"
"132143172-0-46324","Conjure dark crystals to bombard an enemy, dealing <<1>>.\n\nCasting any other Magicka ability has a |cffffff35|r% chance of causing your next Crystal Fragments to be instant, deal <<2>> more damage, and cost <<3>> less Magicka.","다크 크리스탈을 생성해 적에게 던져, <<1>>를 입힙니다.\n\n다른 매지카 어빌리티를 시전하면 |cffffff35|r% 확률로 다음 Crystal Fragments 어빌리티를 즉시 시전할 수 있게 됩니다. 시전 시, <<2>>만큼 추가 피해를 주고 매지카를 <<3>>만큼 적게 소모합니다."
"132143172-0-28311","Call forth Daedric shards from the earth to immobilize enemies in front of you for <<1>>.\n\nGain Major Vitality, increasing your healing received by <<2>> for <<3>> plus |cFFFFFF1|r extra second per enemy in the area, up to a maximum of |cffffff6|r enemies.","대지에서 데이드릭 조각을 불러내어 전방의 적들을 <<1>> 동안 이동 불가 상태로 만듭니다.\n\n효과가 끝나면 <<3>> 동안 Major Vitality 를 얻어 <<2>>만큼 받는 치유량이 증가합니다. 범위에 있는 적 하나 당 |cFFFFFF1|r 초만큼 늘어나며 최대 |cffffff6|r개체까지 적용됩니다."
"132143172-0-28348","Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.\n\nEnemies within the globe are stunned, while enemy players will be silenced rather than stunned.\n\nThe globe also heals you and your allies for <<2>> Health every <<3>>.","마법을 억제하는 구체를 생성하고, 적의 모든 효과를 즉시 무효화합니다. 구체의 범위 안에 있는 적들을 <<1>> 동안 기절시킵니다. 대상이 플레이어일 경우 기절시키는 대신 침묵시킵니다.\n\n구체가 <<3>>마다 당신과 아군들의 체력을 <<2>>만큼 회복시킵니다."
"132143172-0-24584","Bargain with darkness to restore <<1>> Health and <<2>> Magicka instantly, and an additional <<3>> Magicka over <<4>>.","어둠과 협상해 <<1>> 체력과 <<2>> 스태미나를 즉시 회복합니다. 추가로 <<4>>에 걸쳐 <<3>> 매지카를 회복합니다."
"198758357-0-24834","Daedric Minefield","Daedric Minefield"
"198758357-0-27706","Negate Magic","Negate Magic"
"132143172-0-28308","Call forth Daedric shards from the earth to immobilize enemies in front of you for <<1>>.\n\nThe shards deal <<2>> when the effect ends.","대지에서 데이드릭 조각을 불러내어 전방의 적들을 <<1>> 동안 이동 불가 상태로 만듭니다.\n\n효과가 끝나면 조각이 <<2>>를 줍니다."
