"Location","Source","Target"
"242841733-0-27112","Siege Repair Kit","공성 수리 도구"
"228378404-0-27962","Repairs 5,000 points of damage to a door.","성문이 입은 피해를 5,000만큼 복구합니다."
"228378404-0-27138","Repairs 5,000 points of damage to a keep wall.","요새 성벽이 입은 피해를 5,000만큼 복구합니다."
"228378404-0-142133","Repairs 8,000 points of damage to a bridge or milegate.","다리 혹은 교차로입구를 8000포인트 수리합니다."
"242841733-0-142133","Bridge and Milegate Repair Kit","다리와  교차로입구 수리 도구"
"242841733-0-43056","Practice Siege Repair Kit","연습용 공성 수리 도구"
"242841733-0-27138","Keep Wall Masonry Repair Kit","성벽 석조 수리도구"
"242841733-0-27962","Keep Door Woodwork Repair Kit","성문 목조부 수리 도구"
"228378404-0-43056","A practice repair kit that can be used only on the siege range.","공성 무기에 연습용 수리 도구를 사용하기"
"228378404-0-27112","Repairs a Siege weapon for 20000 HP.","공성무기의 체력을 20000만큼 회복시킵니다."
