"Location","Source","Target"
"242841733-0-42869","worms, Saltwater Bait","벌레, 바다 낚시 미끼"
"242841733-0-42877","simple bait","단순한 미끼 (simple bait)"
"242841733-0-42876","minnow, Lake Bait","피라미, 호수 낚시 미끼"
"242841733-0-42875","chub, Saltwater Bait","처브, 바다 낚시 미끼"
"228378404-0-42875","Found in foul water, best used for fishing in saltwater.","웅덩이에서 찾을 수 있습니다. 바다 낚시에 사용하기 좋습니다."
"242841733-0-42874","shad, River Bait","청어, 강 낚시 미끼"
"242841733-0-42873","fish roe, Foul Bait","생선 알, 웅덩이 낚시 미끼"
"228378404-0-42876","Found in saltwater, best used for fishing in lake water","바다에서 찾을수 있습니다. 호수 낚시에 사용하기 좋습니다."
"228378404-0-42873","Found in running water, best used for fishing in foul water.","흐르는 물에서 발견됩니다. 웅덩이 낚시에 사용하기 좋습니다."
"242841733-0-42872","insect parts, River Bait","곤충 조각, 강 낚시 미끼"
"242841733-0-42871","crawlers, Foul Bait","지네, 웅덩이 낚시 미끼"
"228378404-0-42874","Found in lake waters, best used for fishing in rivers.","호수에서 찾을 수 있습니다. 강 낚시에 사용하기 좋습니다."
"242841733-0-42870","guts, Lake Bait","내장, 호수 낚시 미끼"
"228378404-0-42869","Bait best used for fishing in Saltwater","바다 낚시에 사용하기 좋습니다."
"228378404-0-42877","General fishing Bait","일반적인 낚시 미끼"
"228378404-0-42871","Bait best used for fishing in Foul water","웅덩이 낚시에 사용하기 좋습니다."
"228378404-0-42872","Bait best used for fishing in River water","강 낚시에 사용하기 좋습니다."
"228378404-0-42870","Bait best used for fishing in Lake water","호수 낚시에 사용하기 좋습니다."
