"Location","Source","Target"
"242841733-0-75364","Night-Oil","어둠기름 (Night-Oil)"
"228378404-0-75364","An ingredient for crafting Champion poisons, black as night.","밤처럼 검은 챔피언 독을 만들기 위한 재료입니다."
"242841733-0-75363","Tarblack","타르블랙 (Tarblack)"
"228378404-0-75363","An ingredient for crafting Champion poisons.","챔피언 독을 만들기 위한 재료입니다."
"242841733-0-75362","Pitch-Bile","역청 담즙 (Pitch-Bile)"
"228378404-0-75365","An ingredient for crafting Champion poisons, black as Sithis' heart.","시디스의 심장처럼 검은 챔피언 독을 만들기 위한 재료입니다."
"242841733-0-75361","Terebinthine","테레빈유 (Terebinthine)"
"228378404-0-75360","An Ingredient for crafting level 30 poisons","레벨 30 독을 만들기 위한 재료입니다."
"242841733-0-75357","Grease","그리스유 (Grease)"
"228378404-0-75362","An Ingredient for crafting level 50 poisons","레벨 50 독을 만들기 위한 재료입니다."
"242841733-0-75365","Alkahest","만물 용해액 (Alkahest)"
"228378404-0-75361","An Ingredient for crafting level 40 poisons","레벨 40 독을 만들기 위한 재료입니다."
"242841733-0-75360","Gall","쓸개즙 (Gall)"
"228378404-0-75357","An Ingredient for crafting level 3 poisons","레벨 3 독을 만들기 위한 재료입니다."
"228378404-0-75359","An Ingredient for crafting level 20 poisons","레벨 20 독을 만들기 위한 재료입니다."
"228378404-0-75358","An Ingredient for crafting level 10 poisons","레벨 10 독을 만들기 위한 재료입니다."
"242841733-0-75359","Slime","점액 (Slime)"
"242841733-0-75358","Ichor","고름 (Ichor)"
