"Location","Source","Target"
"132143172-0-45293","Reduces the cost of all your abilities by |cffffff3|r%.\n\nWhen you deal direct damage, you heal yourself for <<1>> and restore <<2>> Magicka and Stamina.  This effect can occur once every |cffffff5|r seconds.","모든 기술의 소모량이  |cffffff3|r% 감소합니다.\n\n직접 피해를 입혔을 때, 체력을 <<1>> 회복하고 매지카와 스태미나를 <<2>> 회복합니다. 이 효과는  |cffffff5|r 초에 한 번 발동됩니다."
"198758357-0-50903","Tough","Tough"
"198758357-0-45279","Imperial Mettle","Imperial Mettle"
"198758357-0-36153","Imperial Mettle","Imperial Mettle"
"198758357-0-50907","Tough","Tough"
"198758357-0-50906","Tough","Tough"
"132143172-0-45280","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
"198758357-0-36155","Red Diamond","Red Diamond"
"132143172-0-45291","Reduces the cost of all your abilities by |cffffff2|r%.\n\nWhen you deal direct damage, you heal yourself for <<1>> and restore <<2>> Magicka and Stamina.  This effect can occur once every |cffffff5|r seconds.","모든 기술의 소모량이  |cffffff2|r% 감소합니다.\n\n직접 피해를 입혔을 때, 체력을 <<1>> 회복하고 매지카와 스태미나를 <<2>> 회복합니다. 이 효과는  |cffffff5|r 초에 한 번 발동됩니다."
"132143172-0-36312","Increases your experience gain with the One Hand and Shield skill line by |cffffff15|r%.\n\nIncreases your gold gained by <<1>>","한손무기 및 방패 스킬 라인의 경험치 획득량이 |cffffff15|r% 증가합니다.\n\n골드 획득량이<<1>> 증가합니다."
"132143172-0-36155","Reduces the cost of all your abilities by |cffffff1|r%.\n\nWhen you deal direct damage, you heal yourself for <<1>> and restore <<2>> Magicka and Stamina.  This effect can occur once every |cffffff5|r seconds.","모든 기술의 소모량이  |cffffff1|r% 감소합니다.\n\n직접 피해를 입혔을 때, 체력을 <<1>> 회복하고 매지카와 스태미나를 <<2>> 회복합니다. 이 효과는  |cffffff5|r 초에 한 번 발동됩니다."
"132143172-0-36153","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
"132143172-0-45279","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
"132143172-0-50903","Increases your Max Health by <<1>>.","최대 체력이 <<1>> 만큼 증가합니다."
"198758357-0-36312","Diplomat","Diplomat"
"198758357-0-45293","Red Diamond","Red Diamond"
"198758357-0-45280","Imperial Mettle","Imperial Mettle"
"198758357-0-45291","Red Diamond","Red Diamond"
"132143172-0-50907","Increases your Max Health by <<1>>.","최대 체력이 <<1>> 만큼 증가합니다."
"132143172-0-50906","Increases your Max Health by <<1>>.","최대 체력이 <<1>> 만큼 증가합니다."
