"Location","Source","Target"
"198758357-0-108098","Lapidary Research","Lapidary Research"
"132143172-0-108098","Reduces research times by 25%, and limits research time to 30 days.","연구 시간을 25% 감소시키며, 최대 연구 시간을 30일로 고정시킵니다."
"198758357-0-103640","Lapidary Research","Lapidary Research"
"132143172-0-103640","Reduces research times by 5%.","연구 시간을 5% 감소시킵니다."
"132143172-0-103641","Reduces research times by 10%.","연구 시간을 10% 감소시킵니다."
"198758357-0-103642","Lapidary Research","Lapidary Research"
"132143172-0-103642","Reduces research times by 20%.","연구 시간을 20% 감소시킵니다."
"132143172-0-103643","Improves the chances of extracting Jewelry Crafting ingredients and allows the refining of more powerful Platings from raw materials.","장신구 제작 재료를 추출할 수 있는 기회를 개선하고 더 강력한 첨가물을 정제할 수 있게 됩니다."
"198758357-0-103641","Lapidary Research","Lapidary Research"
"198758357-0-103637","Keen Eye: Jewelry","Keen Eye: Jewelry"
"132143172-0-103637","Jewelry Seams in the world will be easier to see when you are <<1>> or closer.","<<1>>내의 장신구 광석을 좀더 쉽게 발견할 수 있게 됩니다."
"198758357-0-103636","Engraver","Engraver"
"132143172-0-103638","Jewelry Seams in the world will be easier to see when you are <<1>> or closer.","<<1>>내의 장신구 광석을 좀더 쉽게 발견할 수 있게 됩니다."
"198758357-0-103639","Keen Eye: Jewelry","Keen Eye: Jewelry"
"132143172-0-103639","Jewelry Seams in the world will be easier to see when you are <<1>> or closer.","<<1>>내의 장신구 광석을 좀더 쉽게 발견할 수 있게 됩니다."
"198758357-0-103638","Keen Eye: Jewelry","Keen Eye: Jewelry"
"198758357-0-103633","Engraver","Engraver"
"132143172-0-103633","Allows the use of Copper Ounces.","구리(Copper) Ounces를 다룰 수 있게 됩니다."
"198758357-0-103632","Engraver","Engraver"
"132143172-0-103634","Allows the use of Silver Ounces.","은(Silver) Ounces를 다룰 수 있게 됩니다."
"198758357-0-103635","Engraver","Engraver"
"132143172-0-103635","Allows the use of Electrum Ounces.","일렉트럼(Electrum) Ounces를 다룰 수 있게 됩니다."
"198758357-0-103634","Engraver","Engraver"
"132143172-0-103636","Allows the use of Platinum Ounces.","플래티넘(Platinum) Ounces를 다룰 수 있게 됩니다."
"132143172-0-103632","Allows the use of Pewter Ounces.","땜남(Pewter) Ounces를 다룰 수 있게 됩니다."
"198758357-0-103648","Platings Expertise","Platings Expertise"
"132143172-0-103648","More than doubles the chances of improving items with platings.","plating으로 아이템을 강화시킬 확률을 두배 이상 강화시킵니다."
"198758357-0-103647","Platings Expertise","Platings Expertise"
"198758357-0-103644","Jewelry Extraction","Jewelry Extraction"
"132143172-0-103644","Greatly improves the chances of extracting Jewelry Crafting ingredients and allows the refining of more powerful Platings from raw materials.","장신구 제작 재료를 추출할 수 있는 기회를 크게 개선하고 더 강력한 첨가물을 정제할 수 있게 됩니다."
"198758357-0-103643","Jewelry Extraction","Jewelry Extraction"
"132143172-0-103645","Maximizes the chances of extracting Jewelry Crafting ingredients and allows the refining of more powerful Platings from raw materials.","장신구 제작 재료를 추출할 수 있는 기회를 극대화 하고 더 강력한 첨가물을 정제할 수 있게 됩니다."
"198758357-0-103646","Platings Expertise","Platings Expertise"
"132143172-0-103646","Increases the chances of improving items with platings."," plating으로 아이템을 강화시킬 확률을 증가시킵니다."
"198758357-0-103645","Jewelry Extraction","Jewelry Extraction"
"132143172-0-103647","Increases the chances of improving items with platings.","plating으로 아이템을 강화시킬 확률을 강화시킵니다."
