"Location","Source","Target"
"242841733-0-156602","Crafting Motif 78: Moongrave Fane Shoulders","Crafting Motif 78: Moongrave Fane Shoulders"
"228378404-0-51345","Use to learn the Primal crafting style. Requires Rank 6 of any of the Metalworking, Tailoring, or Woodworking passives. Also teaches the equivalent Primal Outfit Styles.","사용하여 원시 제작 양식을 배웁니다. 대장기술, 재봉, 목공 패시브 스킬 중 하나가 6랭크 이상이어야 합니다. 또한 그에 상응하는 원시 아웃핏 양식도 배울 수 있습니다."
"228378404-0-82090","Use to learn how to make Order of the Hour Boots. Also teaches the equivalent Order Hour Outfit Styles.","사용하여 시간의 기사단 신발 제작법을 배웁니다. 또한 그에 상응하는 시간의 기사단 아웃핏 양식도 배울 수 있습니다."
"242841733-0-156603","Crafting Motif 78: Moongrave Fane Staves","Crafting Motif 78: Moongrave Fane Staves"
"242841733-0-156600","Crafting Motif 78: Moongrave Fane Maces","Crafting Motif 78: Moongrave Fane Maces"
"242841733-0-156601","Crafting Motif 78: Moongrave Fane Shields","Crafting Motif 78: Moongrave Fane Shields"
"228378404-0-82082","Use to learn how to make Minotaur Shields. Also teaches the equivalent Minotaur Outfit Styles.","사용하여 미노타우르스 방패 제작법을 배웁니다. 또한 그에 상응하는 미노타우르스 아웃핏 양식도 배울 수 있습니다."
"228378404-0-82083","Use to learn how to make Minotaur Shoulders. Also teaches the equivalent Minotaur Outfit Styles.","사용하여 미노타우르스 어깨보호구 제작법을 배웁니다. 또한 그에 상응하는 미노타우르스 아웃핏 양식도 배울 수 있습니다."
"228378404-0-82080","Use to learn how to make Minotaur Legs. Also teaches the equivalent Minotaur Outfit Styles.","사용하여 미노타우르스 다리보호구 제작법을 배웁니다. 또한 그에 상응하는 미노타우르스 아웃핏 양식도 배울 수 있습니다."
"228378404-0-82081","Use to learn how to make Minotaur Maces. Also teaches the equivalent Minotaur Outfit Styles.","사용하여 미노타우르스 둔기 제작법을 배웁니다. 또한 그에 상응하는 미노타우르스 아웃핏 양식도 배울 수 있습니다."
"228378404-0-82086","Use to learn the Minotaur crafting style.  Also teaches the equivalent Minotaur Outfit Styles.","사용하여 미노타우르스 제작 양식을 배웁니다. 또한 그에 상응하는 미노타우르스 아웃핏 양식도 배울 수 있습니다."
"228378404-0-82087","Use to learn the Order of the Hour crafting style. Also teaches the equivalent Order Hour Outfit Styles.","사용하여 시간의 기사단 제작 양식을 배웁니다. 또한 그에 상응하는 시간의 기사단 아웃핏 양식도 배울 수 있습니다."
"228378404-0-82084","Use to learn how to make Minotaur Staves. Also teaches the equivalent Minotaur Outfit Styles.","사용하여 미노타우르스 지팡이 제작법을 배웁니다. 또한 그에 상응하는 미노타우르스 아웃핏 양식도 배울 수 있습니다."
"228378404-0-82085","Use to learn how to make Minotaur Swords. Also teaches the equivalent Minotaur Outfit Styles.","사용하여 미노타우르스 검 제작법을 배웁니다. 또한 그에 상응하는 미노타우르스 아웃핏 양식도 배울 수 있습니다."
"228378404-0-160501","Use to learn how to make Blackreach Vanguard Helmets. Also teaches the equivalent Blackreach Vanguard Outfit Styles.","Use to learn how to make Blackreach Vanguard Helmets. Also teaches the equivalent Blackreach Vanguard Outfit Styles."
"228378404-0-160500","Use to learn how to make Blackreach Vanguard Gloves. Also teaches the equivalent Blackreach Vanguard Outfit Styles.","Use to learn how to make Blackreach Vanguard Gloves. Also teaches the equivalent Blackreach Vanguard Outfit Styles."
"228378404-0-82088","Use to learn how to make Order of the Hour Axes. Also teaches the equivalent Order Hour Outfit Styles.","사용하여 시간의 기사단 도끼 제작법을 배웁니다. 또한 그에 상응하는 시간의 기사단 아웃핏 양식도 배울 수 있습니다."
"228378404-0-160503","Use to learn how to make Blackreach Vanguard Maces. Also teaches the equivalent Blackreach Vanguard Outfit Styles.","Use to learn how to make Blackreach Vanguard Maces. Also teaches the equivalent Blackreach Vanguard Outfit Styles."
"228378404-0-82089","Use to learn how to make Order of the Hour Belts. Also teaches the equivalent Order Hour Outfit Styles.","사용하여 시간의 기사단 허리띠 제작법을 배웁니다. 또한 그에 상응하는 시간의 기사단 아웃핏 양식도 배울 수 있습니다."
"228378404-0-160502","Use to learn how to make Blackreach Vanguard Legs. Also teaches the equivalent Blackreach Vanguard Outfit Styles.","Use to learn how to make Blackreach Vanguard Legs. Also teaches the equivalent Blackreach Vanguard Outfit Styles."
"228378404-0-160505","Use to learn how to make Blackreach Vanguard Shoulders. Also teaches the equivalent Blackreach Vanguard Outfit Styles.","Use to learn how to make Blackreach Vanguard Shoulders. Also teaches the equivalent Blackreach Vanguard Outfit Styles."
"228378404-0-160504","Use to learn how to make Blackreach Vanguard Shields. Also teaches the equivalent Blackreach Vanguard Outfit Styles.","Use to learn how to make Blackreach Vanguard Shields. Also teaches the equivalent Blackreach Vanguard Outfit Styles."
"228378404-0-160507","Use to learn how to make Blackreach Vanguard Swords. Also teaches the equivalent Blackreach Vanguard Outfit Styles.","Use to learn how to make Blackreach Vanguard Swords. Also teaches the equivalent Blackreach Vanguard Outfit Styles."
