"Location","Source","Target"
"242841733-0-30159","wormwood","쓴쑥 (Wormwood)"
"228378404-0-150731","The smoldering blood of dragons, of interest to alchemists.","아직 열이 남는 드래곤의 피. 연금술사에게는 도움이 되는 물건이다."
"228378404-0-30163","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30162","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30161","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30160","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30166","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30165","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30164","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"242841733-0-150731","Dragon's Blood","드래곤의 혈액 (Dragon's Blood)"
"228378404-0-139019","An ingredient for alchemy.","연금술을 위한 재료입니다."
"242841733-0-30160","bugloss","버그로스 (Bugloss)"
"242841733-0-30161","corn flower","수레국화 (Corn Flower)"
"242841733-0-139020","Clam Gall","조개 즙 (Clam Gall)"
"242841733-0-30162","dragonthorn","드래곤가시풀 (Dragonthorn)"
"242841733-0-30163","mountain flower","산꽃 (Mountain Flower)"
"242841733-0-30164","columbine","매발톱꽃 (Columbine)"
"242841733-0-30165","nirnroot","넌루트 (Nirnroot)"
"242841733-0-30166","water hyacinth","부레옥잠 (Water Hyacinth)"
"242841733-0-30148","blue entoloma","청왜대버섯 (Blue Entoloma)"
"242841733-0-30149","stinkhorn","말뚝버섯 (Stinkhorn)"
"228378404-0-30159","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30158","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30157","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-150669","An ingredient for crafting potions.","An ingredient for crafting potions."
"228378404-0-30152","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-150789","The caustic bile of dragons, of interest to alchemists.","부식성 드래곤의 담즙. 연금술사에게는 도움이 되는 물건이다."
"228378404-0-30151","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"242841733-0-150670","Vile Coagulant","Vile Coagulant"
"242841733-0-150671","Dragon Rheum","드래곤 눈물 (Dragon Rheum)"
"228378404-0-30156","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"242841733-0-150672","Crimson Nirnroot","Crimson Nirnroot"
"228378404-0-30155","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"242841733-0-139019","Powdered Mother of Pearl","자개 가루 (Powdered Mother of Pearl)"
"228378404-0-30154","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30153","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"242841733-0-150789","Dragon's Bile","드래곤의 담즙 (Dragon's Bile)"
"242841733-0-150669","Chaurus Egg","Chaurus Egg"
"242841733-0-30151","emetic russula","구토무당버섯 (Emetic Russula)"
"242841733-0-30152","violet coprinus","보라먹물버섯 (Violet Coprinus)"
"242841733-0-30153","namira's rot","나미라의 부패 (Namira's Rot)"
"242841733-0-30154","white cap","흰모자버섯 (White Cap)"
"242841733-0-30155","luminous russula","야광무당버섯 (Luminous Russula)"
"242841733-0-30156","imp stool","임프똥버섯 (Imp Stool)"
"242841733-0-30157","blessed thistle","노란꽃 엉겅퀴 (Blessed Thistle)"
"242841733-0-30158","lady's smock","꽃황새냉이 (Lady's Smock)"
"228378404-0-150672","An ingredient for crafting potions.","An ingredient for crafting potions."
"242841733-0-77587","Fleshfly Larva||Fleshfly Larvae","쉬파리 애벌레 (Fleshfly Larva)"
"228378404-0-30149","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"228378404-0-30148","An ingredient for crafting potions.","물약을 만들기 위한 재료입니다."
"242841733-0-77589","Scrib Jelly","스크립 젤리 (Scrib Jelly)"
"228378404-0-150670","An ingredient for crafting potions.","An ingredient for crafting potions."
"242841733-0-77583","Beetle Scuttle","딱정벌레 바구니 (Beetle Scuttle)"
"242841733-0-77584","Spider Egg","거미 알 (Spider Egg)"
"242841733-0-77585","Butterfly Wing","나비 날개 (Butterfly Wing)"
"242841733-0-77581","Torchbug Thorax","횃불벌레 흉부 (Torchbug Thorax)"
"228378404-0-77587","An ingredient for alchemy.","연금술을 위한 재료입니다."
"228378404-0-77585","An ingredient for alchemy.","연금술을 위한 재료입니다."
"228378404-0-77583","An ingredient for alchemy.","연금술을 위한 재료입니다."
"228378404-0-77584","An ingredient for alchemy.","연금술을 위한 재료입니다."
"228378404-0-77581","An ingredient for alchemy.","연금술을 위한 재료입니다."
"242841733-0-77590","Nightshade","가지꽃 (Nightshade)"
"242841733-0-77591","Mudcrab Chitin","진흙게 껍데기 (Mudcrab Chitin)"
"228378404-0-77589","An ingredient for alchemy.","연금술을 위한 재료입니다."
"228378404-0-77590","An ingredient for alchemy.","연금술을 위한 재료입니다."
"228378404-0-77591","An ingredient for alchemy.","연금술을 위한 재료입니다."
"228378404-0-139020","An ingredient for alchemy.","연금술을 위한 재료입니다."
