"Location","Source","Target"
"121487972-0-10948","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4562","Travel to Kragenmoor","크라겐무어로 가기"
"121487972-0-10943","Talk to <<1>> in the Alliance Base","Alliance Base에서 <<1>>과 대화하기"
"121487972-0-3232","Return to Grand Warlord Zimmeron"," Grand Warlord Zimmeron 에게 돌아가기"
"121487972-0-4560","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-5891","Talk To <<1>>","<<1>>과 대화하기"
"121487972-0-10946","Talk to <<1>> in the Alliance Base","Alliance Base에서 <<1>>과 대화하기"
"121487972-0-4561","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-3234","Return to Grand Warlord Zimmeron"," Grand Warlord Zimmeron 에게 돌아가기"
"121487972-0-8923","Talk to High Ordinator Danys","고위 신성집행관 데니스와 대화하기"
"121487972-0-3233","Return to Grand Warlord Zimmeron"," Grand Warlord Zimmeron 에게 돌아가기"
"121487972-0-4567","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-3236","Return to Grand Warlord Zimmeron"," Grand Warlord Zimmeron 에게 돌아가기"
"121487972-0-4564","Talk to <<1>>","<<1>>와(과) 대화하기"
"256430276-0-32144","Watch Julien Recite His Poem","줄리앙이 시를 암송하는 것 지켜보기"
"121487972-0-3235","Return to Grand Warlord Zimmeron"," Grand Warlord Zimmeron 에게 돌아가기"
"121487972-0-5896","Talk to Thane Oda at Fort Amol","아몰 요새에 있는 오다 종사와 대화하기"
"121487972-0-8927","Talk to <<1>>","<<1>>과 대화하기"
"121487972-0-3237","Return to Grand Warlord Zimmeron"," Grand Warlord Zimmeron 에게 돌아가기"
"121487972-0-5899","Talk to Darj","다지와 대화하기"
"121487972-0-8918","Talk to Queen Arzhela","아젤라 여왕과 대화하기"
"256430276-0-20163","Talk to Ohmonir","오모니어와 대화하기"
"121487972-0-4573","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4572","Talk to <<1>>","<<1>>와(과) 대화하기"
"256430276-0-24508","Talk to Captain Eilram","아일람 대장과 대화하기"
"121487972-0-4577","Talk to Ruvali","Ruvali와 대화하기"
"256430276-0-16902","Exit Reliquary","유적지를 나오기"
"121487972-0-4575","Talk to <<1>>","<<1>>와(과) 대화하기"
"256430276-0-32133","Talk to <<1>>","<<1>>과 대화하기"
"121487972-0-7607","Return to <<1>> at the Prowler","부랑자 호에 있는 <<1>>에게 돌아가기"
"121487972-0-8938","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-8937","Talk to <<1>>","<<1>>와(과) 대화하기"
"256430276-0-32137","Help Julien Find a Poem","줄리앙이 시를 찾도록 도와주기"
"256430276-0-11208","Help Harassed Crosswych Citizens","괴롭힘 당하고 있는 크로스위치의 주민을 돕기"
"256430276-0-20158","Talk to Ohmonir","오모니어와 대화하기"
"121487972-0-10925","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-10928","Talk to King Bazrag","Bazrag 왕과 대화하기"
"121487972-0-10927","Talk to the Drake of Blades","검의 드레이크와 대화하기"
"121487972-0-5872","Talk to Enthis","엔트와 대화하기"
"121487972-0-10921","Return to Valga Atrius","Valga Atrius에게로 돌아가기"
"121487972-0-4545","Talk to Vara-Zeen","Vara-Zeen와(과) 대화하기"
"121487972-0-5873","Talk to Turil","튜릴과 대화하기"
"256430276-0-32122","Talk to Julien","줄리앙과 대화하기"
"121487972-0-4539","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-10930","Talk to <<1>> in the Alliance Base","Alliance Base에서 <<1>>과 대화하기"
"121487972-0-10937","Bring the records to <<1>> in the Alliance Base","기록을 동맹의 기지에 있는 <<1>>에게 가져다 주기"
"256430276-0-25813","Decide the Fate of the Family","가족의 운명을 결정하기"
"121487972-0-10933","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4552","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-5880","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-10935","Deliver the Items to <<1>> in Orsinium","Orsinium에 있는 <<1>>에게 아이템을 전달하기"
"121487972-0-10934","Talk to the Drake of Blades","검의 드레이크와 대화하기"
"121487972-0-5886","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4553","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-5885","Talk to Unnvald","Unnvald와 대화하기"
"121487972-0-4559","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4557","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4558","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-5889","Find <<1>>","<<1>> 찾기"
"121487972-0-8907","Talk to <<1>>","<<1>>와(과) 대화하기"
"256430276-0-33438","Talk to Commander Renli at Obsidian Gorge","Obsidian Gorge에서 Renli 사령관과 이야기하십시오."
"256430276-0-25823","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-10941","Take <<1>> to <<2>>","<<1>>을 <<2>>에 가져다 주기"
"121487972-0-4523","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4520","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-5851","Talk to <<1>>","<<1>>과 대화하기"
"121487972-0-4521","Return Norgred's Pants","Norgred's Pants와(과) 대화하기"
"121487972-0-5857","Talk to <<1>> in Stormhold","스톰홀드의 <<1>>와(과) 대화하기"
"256430276-0-16930","Confront Rala","Rala를 추궁하기"
"121487972-0-4527","Talk to Mavos Siloreth","마보스 실로레쓰와 대화하기"
"256430276-0-35214","Return to Glirion the Redbeard","붉은 수염 그릴리온에게 돌아가기"
"121487972-0-5856","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4517","Talk to Councilor Ralden","Councilor Ralden와(과) 대화하기"
"256430276-0-35208","Return to Glirion the Redbeard","붉은 수염 그릴리온에게 돌아가기"
"256430276-0-24561","Talk to Abnur Tharn","아브너 탄과 대화하기"
"121487972-0-10995","Retrieve the Sacred Words","Sacred Words를 되찾기"
"256430276-0-46750","Talk to Vanus Galerion in the Mages Guild","메이지 길드에 있는 바누스 갈레리온과 대화하기"
"121487972-0-10996","Talk to Forge-Wife Kharza","대장간 부인 카르자와 대화하기"
"256430276-0-24569","Talk to Varen Aquilarios","바렌 아퀼라리오스와 대화하기"
"256430276-0-24568","Return to the Harborage","은신처로 돌아가기"
"121487972-0-4530","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4533","Talk to Bala","발라와 대화하기"
"256430276-0-35201","Return to Glirion the Redbeard","붉은 수염 그릴리온에게 돌아가기"
"121487972-0-5865","Talk to Prince Irnskar","이룬스카 왕자와 대화하기"
"256430276-0-32176","Talk to <<1>>","<<1>>과 대화하기"
"121487972-0-4531","Talk to Mavos","마보스와 대화하기"
"256430276-0-32177","Choose a Route to the Second Level","두 번째 층으로 가기 위한 경로를 선택하기"
"121487972-0-3202","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4532","Talk to Bala","발라와 대화하기"
"121487972-0-4537","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-4536","Talk to Leel-Vata"," Leel-Vata와(과) 대화하기"
"121487972-0-5859","Talk to <<1>>","<<1>>과 대화하기"
"121487972-0-4529","Talk to Bala","발라와 대화하기"
"256430276-0-28911","Decide who to bind with the <<1>>","<<1>>로 누구를 속박할지 결정하기"
"121487972-0-10969","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-5831","Talk to Thane in Throne Room","Throne 룸에서 Thane과 대화하기"
"121487972-0-4505","Talk to <<1>> at His Mine","그의 광산에서 <<1>>과 대화하기"
"121487972-0-4502","Talk to Svanhildr","Svanhildr와(과) 대화하기"
"121487972-0-5828","Talk to Khanni","칸니와 대화하기"
"121487972-0-5826","Talk to Thane Harvald","하발드 종사와 대화하기"
"121487972-0-5827","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-10973","Plant the Alliance Banner","연합의 깃발을 올리기"
"256430276-0-25876","Speak with Bakkhara","Bakkhara과 대화하기"
"121487972-0-10972","Talk to <<1>>","<<1>>와(과) 대화하기"
"256430276-0-19184","Talk to Hendil","헨딜과 대화하기"
"121487972-0-10975","Talk to <<1>>","<<1>>와(과) 대화하기"
"256430276-0-24547","Travel to the Harborage","은신처로 향하기"
"121487972-0-10970","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-10977","Plant the Alliance Banner","연합의 깃발을 올리기"
"121487972-0-10979","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-10978","Plant the Alliance Banner","연합의 깃발을 올리기"
"121487972-0-5843","Talk to <<1>>","<<1>>와(과) 대화하기"
"121487972-0-5846","Talk to <<1>>","<<1>>와(과) 대화하기"
