"Location","Source","Target"
"242841733-0-119819","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-119818","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-119696","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-119695","Sealed Clothier Writ","봉인된 재봉사 의뢰서"
"242841733-0-119694","Sealed Clothier Writ","봉인된 재봉사 의뢰서"
"242841733-0-119699","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-119698","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-119693","Sealed Provisioning Writ","봉인된 요리사 의뢰서"
"228378404-0-145545","A direct request for a simple furnishing, from the Orsinium Home for Displaced Children. Once accepted, this contract cannot be traded or sold. Completing 12 New Life Charity Writs will award you the Crystalfrost Skin.","오시리움 고아원을 위한 간단한 가구 제작 의뢰입니다. 한번 수락하면, 이 의뢰서는 거래되지 않습니다. 12개의 새 생명 기부 제작 의뢰서를 완료하면 Crystalfrost 스킨 보상을 받을 수 있습니다."
"228378404-0-119564","An exclusive, secret contract for a powerful glyph.","강력한 글리프를 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-119563","An exclusive, secret contract for a weapon of rare quality.","희귀한 품질의 무기를 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-121531","An exclusive, secret contract for a shield of rare quality.","희귀한 품질의 방패를 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-121530","An exclusive, secret contract for a wooden weapon of rare quality.","희귀한 품질의 목재 무기를 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-153482","A direct request for a festive food, from Alyxe the Hag. Once accepted, this contract cannot be traded or sold. Completing 13 Witches Festival Writs awards you the Witch's Infernal Hat; completing 28 grants you the title of ""Witch.""","마녀 앨릭스로부터 축제 음식 제작을 직접 요청 받았습니다. 일단 얻게 되면, 이 계약은 거래될 수 없습니다. 마녀 축제 의뢰를 13회 완료하면 마녀의 지긋지긋한 모자를 받을 수 있고, 28회 완료하면 \"\"마녀\"\"의 칭호를 얻을 수 있습니다."
"228378404-0-121533","An exclusive, secret contract for leather armor of rare quality.","희귀한 품질의 가죽 갑옷을 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-119682","An exclusive, secret contract for a shield of rare quality.","희귀한 품질의 방패를 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-121532","An exclusive, secret contract for clothing of rare quality.","희귀한 품질의 재봉 제품을 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-119681","An exclusive, secret contract for a wooden weapon of rare quality.","희귀한 품질의 목재 무기를 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-119680","An exclusive, secret contract for heavy armor of rare quality.","희귀한 품질의 중갑을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-119705","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-119704","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-119703","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-121529","Sealed Blacksmithing Writ","봉인된 대장기술 의뢰서"
"242841733-0-119702","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-121527","Sealed Blacksmithing Writ","봉인된 대장기술 의뢰서"
"242841733-0-121528","Sealed Enchanting Writ","봉인된 마법부여 의뢰서"
"228378404-0-153739","An exclusive, secret contract for jewelry of rare quality.","희귀한 품질의 장신구 제작을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-156731","Deep Winter Charity Writ","Deep Winter Charity Writ"
"228378404-0-119819","An exclusive, secret contract for a specific concoction.","독특한 혼합물을 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-119818","An exclusive, secret contract for a specific concoction.","독특한 혼합물을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-119701","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-156735","Deep Winter Charity Writ","Deep Winter Charity Writ"
"242841733-0-119700","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"242841733-0-156732","Deep Winter Charity Writ","Deep Winter Charity Writ"
"242841733-0-119820","Sealed Alchemy Writ","봉인된 연금술사 의뢰서"
"228378404-0-153737","An exclusive, secret contract for jewelry of rare quality.","희귀한 품질의 장신구 제작을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-156733","Deep Winter Charity Writ","Deep Winter Charity Writ"
"228378404-0-153738","An exclusive, secret contract for jewelry of rare quality.","희귀한 품질의 장신구 제작을 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-121528","An exclusive, secret contract for a powerful glyph.","강력한 글리프를 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-121527","An exclusive, secret contract for a weapon of rare quality.","희귀한 품질의 무기를 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-121529","An exclusive, secret contract for heavy armor of rare quality.","희귀한 품질의 중갑을 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-119699","An exclusive, secret contract for a specific concoction.","독특한 혼합물을 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-138798","An exclusive, secret contract for jewelry of rare quality.","희귀한 품질의 장신구 제작을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-153738","Sealed Jewelry Crafter Writ","봉인된 장신구 제작 의뢰서"
"228378404-0-119698","An exclusive, secret contract for a specific concoction.","독특한 혼합물을 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-138799","An exclusive, secret contract for jewelry of rare quality.","희귀한 품질의 장신구 제작을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-153737","Sealed Jewelry Crafter Writ","봉인된 장신구 제작 의뢰서"
"228378404-0-119696","An exclusive, secret contract for a specific concoction.","독특한 혼합물을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-153739","Sealed Jewelry Crafter Writ","봉인된 장신구 제작 의뢰서"
"228378404-0-119695","An exclusive, secret contract for leather armor of rare quality.","희귀한 품질의 가죽 갑옷을 위한 독점적이고 비밀스런 계약입니다."
"228378404-0-119694","An exclusive, secret contract for clothing of rare quality.","희귀한 품질의 재봉 제품을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-145569","New Life Charity Writ","새 생명 기부 제작 의뢰서"
"242841733-0-121532","Sealed Clothier Writ","봉인된 재봉사 의뢰서"
"228378404-0-119693","An exclusive, secret contract for victuals of rare quality.","희귀한 품질의 음식을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-121533","Sealed Clothier Writ","봉인된 재봉사 의뢰서"
"242841733-0-121530","Sealed Woodworking Writ","봉인된 목세공 의뢰서"
"242841733-0-121531","Sealed Woodworking Writ","봉인된 목세공 의뢰서"
"228378404-0-156736","A direct request for provisions, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade.","A direct request for provisions, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade."
"228378404-0-156735","A direct request for a simple furnishing, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade.","A direct request for a simple furnishing, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade."
"228378404-0-156732","A direct request for a single furnishing, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade.","A direct request for a single furnishing, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade."
"228378404-0-156733","A direct request for a dozen simple furnishings, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade.","A direct request for a dozen simple furnishings, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade."
"228378404-0-156731","A direct request for a dozen simple furnishings, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade.","A direct request for a dozen simple furnishings, for communities in the coldest reaches of Tamriel. Once accepted, this contract cannot be traded or sold. Each Deep Winter Charity Writ completed will provide a Skaal Explorer Style Page, for use or trade."
"242841733-0-153510","Witches Festival Writ","마녀 축제 의뢰서"
"228378404-0-119705","An exclusive, secret contract for a specific concoction.","독특한 혼합물을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-138799","Sealed Jewelry Crafter Writ","봉인된 장신구 제작 의뢰서"
"228378404-0-153748","A direct request for a festive food, from Alyxe the Hag. Once accepted, this contract cannot be traded or sold. Completing 13 Witches Festival Writs will award you the Witch's Infernal Hat.","마녀 앨릭스로부터 축제 음식 제작을 직접 요청 받았습니다. 일단 얻게 되면, 이 계약은 거래될 수 없습니다. 마녀 축제 의뢰를 13회 완료하면 마녀의 지긋지긋한 모자를 받을 수 있습니다."
"228378404-0-119704","An exclusive, secret contract for a specific concoction.","독특한 혼합물을 위한 독점적이고 비밀스런 계약입니다."
"242841733-0-138798","Sealed Jewelry Crafter Writ","봉인된 장신구 제작 의뢰서"
"228378404-0-153749","A direct request for a festive food, from Alyxe the Hag. Once accepted, this contract cannot be traded or sold. Completing 13 Witches Festival Writs will award you the Witch's Infernal Hat.","마녀 앨릭스로부터 축제 음식 제작을 직접 요청 받았습니다. 일단 얻게 되면, 이 계약은 거래될 수 없습니다. 마녀 축제 의뢰를 13회 완료하면 마녀의 지긋지긋한 모자를 받을 수 있습니다."
"242841733-0-145570","New Life Charity Writ","새 생명 기부 제작 의뢰서"
