"Location","Source","Target"
"228378404-0-33219","Ten of these items can be refined to make silverweave.","이 아이템 10개를 가공해 은섬유를 얻을 수 있습니다."
"228378404-0-23097","Ten of these items can be refined to make fell hide.","이 아이템 10개를 가공해 공그른 가죽을 얻을 수 있습니다."
"228378404-0-23130","Ten of these items can be refined to make spidersilk.","이 아이템 10개를 가공해 거미비단을 얻을 수 있습니다."
"228378404-0-23095","Ten of these items can be refined to make leather.","이 아이템 10개를 가공해 가공 가죽을 얻을 수 있습니다."
"242841733-0-23143","iron hide scraps^p","철 가죽 조각 (iron hide scraps)"
"242841733-0-23142","topgrain hide scraps^p","정밀가공 가죽 조각 (topgrain hide scraps)"
"228378404-0-33217","Ten of these items can be refined to make kresh fiber.","이 아이템 10개를 가공해 크레시 섬유를 얻을 수 있습니다."
"228378404-0-33218","Ten of these items can be refined to make ironthread.","이 아이템 10개를 가공하여 철실을 얻을 수 있습니다."
"242841733-0-4478","shadowhide scraps^p","그림자가죽 조각 (shadowhide scraps)"
"228378404-0-4448","Ten of these items can be refined to make hide.","이 아이템 10개를 가공해 가죽을 얻을 수 있습니다."
"242841733-0-23129","raw cotton^ns","생 목화 (raw cotton)"
"242841733-0-800","superb hide scraps^p","최상급 가죽 조각 (superb hide scraps)"
"228378404-0-793","Ten of these items can be refined to make rawhide.","이 아이템 10개를 가공해 생가죽을 얻을 수 있습니다."
"228378404-0-71239","Ten of these items can be refined to make rubedo leather.","이 아이템 10개를 가공해 루베도 가죽을 얻을 수 있습니다."
"228378404-0-4464","Ten of these items can be refined to make flax.","이 아이템 10개를 가공해 아마를 얻을 수 있습니다."
"242841733-0-793","rawhide scraps^p","생가죽 조각 (rawhide scraps)"
"228378404-0-23129","Ten of these items can be refined to make cotton.","이 아이템 10개를 가공해 목화를 얻을 수 있습니다."
"228378404-0-812","Ten of these items can be refined to make jute.","이 아이템 10개를 가공해 황마를 얻을 수 있습니다."
"228378404-0-23142","Ten of these items can be refined to make topgrain hide.","이 아이템 10개를 가공해 정밀가공 가죽을 얻을 수 있습니다."
"228378404-0-23143","Ten of these items can be refined to make iron hide.","이 아이템 10개를 가공해 철 가죽을 얻을 수 있습니다."
"242841733-0-71239","rubedo hide scraps^p","루베도 가죽 조각 (rubedo hide scraps)"
"228378404-0-6020","Ten of these items can be refined to make thick leather.","이 아이템 10개를 가공해 두꺼운 가죽을 얻을 수 있습니다."
"242841733-0-23095","leather scraps^p","가공 가죽 조각 (leather scraps)"
"242841733-0-33219","raw silverweed^ns","생 은잎줄기 (raw silverweed)"
"242841733-0-4448","hide scraps^p","가죽 조각 (hide scraps)"
"242841733-0-33217","raw Kreshweed^ns","생 크래시 잎줄기 (raw Kreshweed)"
"242841733-0-33218","raw ironweed^ns","생 철잎줄기 (raw ironweed)"
"242841733-0-23131","raw ebonthread^ns","생 에보니 실 (raw ebonthread)"
"242841733-0-23097","fell hide scraps^p","공그른 가죽 조각 (fell hide scraps)"
"242841733-0-23130","raw spidersilk^ns","생 거미 비단 (raw spidersilk)"
"242841733-0-4464","raw flax^ns","생 아마 (raw flax)"
"228378404-0-71200","Ten of these items can be refined to make ancestor silk.","이 아이템 10개를 가공해 선조 비단을 얻을 수 있습니다."
"242841733-0-812","raw jute^ns","생 황마 (raw jute)"
"228378404-0-33220","Ten of these items can be refined to make void cloth.","이 아이템 10개를 가공해 공허 천을 얻을 수 있습니다."
"242841733-0-6020","thick leather scraps^p","두꺼운 가죽 조각 (thick leather scraps)"
"228378404-0-4478","Ten of these items can be refined to make shadowhide.","이 아이템 10개를 가공해 그림자가죽을 얻을 수 있습니다."
"242841733-0-71200","raw ancestor silk^ns","가공되지 않은 선조 비단 (raw ancestor silk)"
"228378404-0-800","Ten of these items can be refined to make superb hide.","이 아이템 10개를 가공해 최상급 가죽을 얻을 수 있습니다."
"242841733-0-33220","raw void bloom^ns","생 공허의 꽃 (raw void bloom)"
"228378404-0-23131","Ten of these items can be refined to make ebonthread.","이 아이템 10개를 가공해 흑단실을 얻을 수 있습니다."
