"Location","Source","Target"
"132143172-0-104059","Freeze the passage of time at the target location, gradually reducing the Movement Speed of enemies in the area during the channel before finally stunning them in place for <<1>> when the channel completes.\n\nEnemies that are stunned gain <<2>> Heal Absorption for <<3>>, negating the next  <<2>> points of healing done.","대상 지역의 시간의 흐름을 멈춥니다.시전 시간동안에는 범위 내 적들의 이동 속도를 감소시키고 시전이 끝나면 <<1>> 동안 적들을 기절시킵니다.\n\n기절한 적들은 <<3>> 동안 <<2>> 만큼의 회복이 무효화됩니다."
"132143172-0-103564","Step backwards in time, resetting your Health, Magicka, Stamina, and position to what they were |cffffff4|r seconds ago.\n\nWhile slotted you gain Minor Protection, reducing your damage taken by <<1>>.","과거의 시간으로 돌아가, 당신의 헬스, 매지카, 스태미나 및 위치를  |cffffff4|r초 전으로 되돌립니다.\n\n이 기술이 슬롯에 있는 동안 Minor Protection을 얻어, 받는 피해량이 <<1>> 감소합니다."
"132143172-0-103488","Freeze the passage of time at the target location, gradually reducing the Movement Speed of enemies in the area during the channel before finally stunning them in place for <<1>> when the channel completes.","대상 지역의 시간의 흐름을 멈춥니다.시전 시간동안에는 범위 내 적들의 이동 속도를 감소시키고 시전이 끝나면 <<1>> 동안 적들을 기절시킵니다."
"198758357-0-104079","Time Freeze","Time Freeze"
"198758357-0-103543","Mend Wounds","Mend Wounds"
"132143172-0-103483","Infuse your weapon with power, causing your next Light Attack used within <<1>> to deal an additional <<2>>.\n\nIf the power is not consumed in time, you restore <<3>> Stamina.","당신의 무기를 강화하여, 다음 <<1>> 이내의 약공격에 <<2>> 추가 피해를 줍니다.\n\n시간 내에 효과가 발동되지 않았을 경우, <<3>> 스테미나를 회복 합니다."
"132143172-0-103710","Bend time and space around you to gain Major Expedition for <<1>> and Minor Force for <<2>>, increasing your Movement Speed by <<3>> and Critical Damage by <<4>>.\n\nActivating this ability removes all snares and immobilizations from you and grants immunity to them for <<5>>.","당신 주변의 시공간을 구부려 <<1>> 동안 Major Expedition 과 <<2>>동안 Minor Force를 얻습니다. 이동속도가 <<3>> 증가하고 치명타 피해량이 <<4>> 증가합니다.\n\n이 어빌리티를 발동시키면 모든 이동 방해 효과가 제거되고 <<5>> 동안 면역 효과를 얻습니다"
"132143172-0-103557","Step backwards in time, resetting your Health, Magicka, Stamina, and position to what they were |cffffff4|r seconds ago.\n\nYou can cast this ability while you are crowd controlled and it automatically grants you crowd control immunity.","과거의 시간으로 돌아가, 당신의 헬스, 매지카, 스태미나 및 위치를  |cffffff4|r초 전으로 되돌립니다.\n\n당신은 이 기술을 군중 제어의 영향을 받는 중에도 사용할 수 있으며, 사용시 군중제어 면역을 얻습니다."
"132143172-0-103755","Invoke the Rites of Moawita, replacing your Light and Heavy Attacks with healing abilities that can be used on allies.\n\nYour Light Attacks heal for <<1>>.\n\nYour Heavy Attacks heal for <<2>> every <<3>>, and restore <<4>> Magicka to you for successfully healing.\n\nYou heal yourself for <<5>> of the amount of healing done to the ally.","Moawita의 의식을 발동시켜, 당신의 약공격과 강공격이 아군을 회복시키는 기술로 변경됩니다.\n\n약공격은 <<1>>을 치유합니다.\n\n강공격은 시전중에 <<3>> 에 걸쳐  <<2>> 을 치유하고, 치유 성공시 당신은 <<4>>의 매지카를 회복합니다.\n\n아군을 치유한 수치의 <<5>> 만큼 자신을 치유합니다."
"198758357-0-103811","Clairvoyance","Clairvoyance"
"132143172-0-103878","When you cast a Psijic Order ability while you are in combat, you generate a spell charge. When you reach |cffffff5|r spell charges, you launch a spell orb at the closest enemy to you dealing <<1>> or <<2>>, whichever is higher.\n\nThe spell charges must be generated within <<3>> of each other or all charges will be lost.","전투중에 시직 오더 기술을 사용하면, 마법 충전을 얻습니다. |cffffff5|개의 마법 충전이 모일경우 가장 가까운 적에게 마법 오브를 투사하여 <<1>> 혹은 <<2>> 중에 더 높은 피해를 줍니다.\n\n<<3>> 내에 마법 충전을 얻지 못할 경우 모든 충전이 사라집니다."
"198758357-0-103819","Spell Orb","Spell Orb"
"198758357-0-103972","Deliberation","Deliberation"
"132143172-0-103478","Step backwards in time, resetting your Health, Magicka, Stamina, and position to what they were |cffffff4|r seconds ago.","과거의 시간으로 돌아가, 당신의 헬스, 매지카, 스태미나 및 위치를  |cffffff4|r초 전으로 되돌립니다."
"198758357-0-103652","Deep Thoughts","Deep Thoughts"
"198758357-0-103492","Meditate","Meditate"
"198758357-0-103571","Elemental Weapon","Elemental Weapon"
"132143172-0-103793","The insight you have gained from the Psijic Order grants you vision of the spiritual world. You can now interact with rifts all throughout Tamriel.","시직 오더에게 받은 시야를 통해 영혼 세계를 볼 수 있게 되었습니다. 이제 당신은 탐리엘 전역의 균열(rifts)과 상호작용 할 수 있습니다."
"132143172-0-103747","Invoke the Rites of Moawita, replacing your Light and Heavy Attacks with healing abilities that only can be used on allies.\n\nYour Light Attacks heal for <<1>>.\n\nYour Heavy Attacks heal for <<2>> every <<3>>, and restore <<4>> Magicka to you for successfully healing.\n\nAfter you heal an ally you grant them <<5>>, increasing their Physical and Spell Resistance by <<6>> for <<7>>.","Moawita의 의식을 발동시켜, 당신의 약공격과 강공격이 아군을 회복시키는 기술로 변경됩니다.\n\n약공격은 <<1>>을 치유합니다.\n\n강공격은 시전중에 <<3>> 에 걸쳐  <<2>> 을 치유하고, 치유 성공시 당신은 <<4>>의 매지카를 회복합니다.\n\n아군 치유 시 대상에게 <<5>>를 부여하여, 물리 및 마법 저항력을 <<7>>동안 <<6>> 증가시킵니다."
"132143172-0-103706","Bend time and space around you to gain Major Expedition for <<1>> and Minor Force for <<2>>, increasing your Movement Speed by <<3>> and Critical Damage by <<4>>.","당신 주변의 시공간을 구부려 <<1>> 동안 Major Expedition 과 <<2>>동안 Minor Force를 얻습니다. 이동속도가 <<3>> 증가하고 치명타 피해량이 <<4>> 증가합니다."
"132143172-0-103623","Infuse your weapon with power, causing your next Light Attack used within <<1>> to deal an additional <<2>> and heal you for <<3>> of the damage done.\n\nIf the power is not consumed in time, you store <<4>> Stamina.","당신의 무기를 강화하여, 다음 <<1>> 이내의 약공격에 <<2>> 추가 피해를 더하고 입힌 피해량의 <<3>>을 회복합니다.\n\n시간 내에 효과가 발동되지 않았을 경우, <<4>> 스테미나를 회복합니다."
"132143172-0-103503","Bend time and space around you to gain Major Expedition for <<1>> and Minor Force for <<2>>, increasing your Movement Speed by <<3>> and Critical Damage by <<4>>.","당신 주변의 시공간을 구부려 <<1>> 동안 Major Expedition 과 <<2>>동안 Minor Force를 얻습니다. 이동속도가 <<3>> 증가하고 치명타 피해량이 <<4>> 증가합니다."
"198758357-0-103888","Concentrated Barrier","Concentrated Barrier"
"198758357-0-103964","Concentrated Barrier","Concentrated Barrier"
"198758357-0-103809","Clairvoyance","Clairvoyance"
"198758357-0-104059","Borrowed Time","Borrowed Time"
"198758357-0-103488","Time Stop","Time Stop"
"132143172-0-103543","Invoke the Rites of Moawita, replacing your Light and Heavy Attacks with healing abilities that can only be used on allies.\n\nYour Light Attacks heal for <<1>>.\n\nYour Heavy Attacks heal for <<2>> every <<3>>, and restore <<4>> Magicka to you for successfully healing.","Moawita의 의식을 발동시켜, 당신의 약공격과 강공격이 아군을 회복시키는 기술로 변경됩니다.\n\n약공격은 <<1>>을 치유합니다.\n\n강공격은 시전중에 <<3>> 에 걸쳐  <<2>> 을 치유하고, 치유 성공시 당신은 <<4>>의 매지카를 회복합니다."
"198758357-0-103564","Temporal Guard","Temporal Guard"
"132143172-0-103665","Focus your body and mind into a meditative state, healing for <<1>> Health and restoring <<2>> Magicka and Stamina every <<3>>.\n\nMaintaining the channel increases the Health restored by <<4>> every tick, up to a maximum of |cffffff50|r%.\n\nYou will remain in a meditative state until you toggle this ability off or are interrupted.","육체와 정신을 집중해 명상에 들어갑니다. 매 <<3>> 마다 <<1>>의 체력과 <<2>>의 매지카와 스태미나를 회복합니다.\n\n명상을 유지하는동안 체력 회복이 매번 <<4>>씩 증가하며 최대 |cffffff50|r% 까지 증가합니다.\n\n명상 상태는 시전을 방해받거나 이 기술을 다시 사용할 때까지 유지됩니다."
"132143172-0-104079","Freeze the passage of time at the target location, gradually reducing the Movement Speed of enemies in the area over <<1>> before finally stunning them in place for <<2>> when the duration completes.","대상 지역의 시간의 흐름을 멈춥니다. 범위 내 적들의 이동 속도를 <<1>>동안  감소시키고 효과가 끝나면 <<2>> 동안 적들을 기절시킵니다."
"198758357-0-103483","Imbue Weapon","Imbue Weapon"
"198758357-0-103878","Spell Orb","Spell Orb"
"198758357-0-103710","Race Against Time","Race Against Time"
"198758357-0-103478","Undo","Undo"
"132143172-0-103811","Reduces the cost of your Psijic Order abilities by <<1>>.","시직 오더 기술의 자원 소모를 <<1>> 만큼 감소시킵니다."
"198758357-0-103557","Precognition","Precognition"
"198758357-0-103755","Symbiosis","Symbiosis"
"132143172-0-103819","When you cast a Psijic Order ability while you are in combat, you generate a spell charge. When you reach |cffffff5|r spell charges, you launch a spell orb at the closest enemy to you dealing <<1>> or <<2>>, whichever is higher.\n\nThe spell charges must be generated within <<3>> of each other or all charges will be lost.","전투중에 시직 오더 기술을 사용하면, 마법 충전을 얻습니다. |cffffff5|개의 마법 충전이 모일경우 가장 가까운 적에게 마법 오브를 투사하여 <<1>> 혹은 <<2>> 중에 더 높은 피해를 줍니다.\n\n<<3>> 내에 마법 충전을 얻지 못할 경우 모든 충전이 사라집니다."
"132143172-0-103492","Focus your body and mind into a meditative state, healing for <<1>> Health and restoring <<2>> Magicka and Stamina every <<3>>.\n\nYou will remain in a meditative state until you toggle this ability off or are interrupted.","육체와 정신을 집중해 명상에 들어갑니다. 매 <<3>> 마다 <<1>>의 체력과 <<2>>의 매지카와 스태미나를 회복합니다.\n\n명상 상태는 시전을 방해받거나 이 기술을 다시 사용할 때까지 유지됩니다."
"132143172-0-103652","Focus your body and mind into a meditative state, healing for <<1>> Health and restoring <<2>> Magicka and Stamina every <<3>>.\n\nYou will remain in a meditative state until you toggle this ability off or are interrupted.","육체와 정신을 집중해 명상에 들어갑니다. 매 <<3>> 마다 <<1>>의 체력과 <<2>>의 매지카와 스태미나를 회복합니다.\n\n명상 상태는 시전을 방해받거나 이 기술을 다시 사용할 때까지 유지됩니다."
"198758357-0-103793","See the Unseen","See the Unseen"
"132143172-0-103972","While you are casting or channeling a Psijic Order ability you gain Major Protection, reducing your damage taken by <<1>>.","시직 오더 기술을 시전하거나 시전중일 때, Major Protection을 얻어 받는 피해량이 <<1>> 감소합니다."
"132143172-0-103571","Infuse your weapon with power, causing your next Light Attack used within <<1>> to deal an additional <<2>> and apply the Burning, Concussion, or Chill elemental status effect.\n\nIf the power is not consumed in time, you restore <<3>> Magicka.","당신의 무기를 강화하여, 다음 <<1>> 이내의 약공격에 <<2>> 추가 피해를 더하고 Burning, Concussion, Chilled 상태 이상 중 하나를 일으킵니다.\n\n시간 내에 효과가 발동되지 않았을 경우, <<3>> 매지카를 회복합니다."
"198758357-0-103747","Mend Spirit","Mend Spirit"
"198758357-0-103665","Introspection","Introspection"
"132143172-0-103964","While you have a Psijic Order ability slotted and are Bracing, you gain a damage shield that absorbs <<1>> damage. \n\nThis damage shield recharges back to full strength after you spend |cffffff10|r seconds not Bracing.","시직 오더 기술을 슬롯에 장착하고 방어 할 경우, <<1>> 피해를 흡수하는 실드를 얻습니다.\n\n이 실드는 |cffffff10|r 동안 방어를 하지 않을 경우 완전히 충전됩니다."
"198758357-0-103503","Accelerate","Accelerate"
"132143172-0-103888","While you have a Psijic Order ability slotted and are Bracing, you gain a damage shield that absorbs <<1>> damage. \n\nThis damage shield recharges back to full strength after you spend |cffffff10|r seconds not Bracing.","시직 오더 기술을 슬롯에 장착하고 방어 할 경우, <<1>> 피해를 흡수하는 실드를 얻습니다.\n\n이 실드는 |cffffff10|r 동안 방어를 하지 않을 경우 완전히 충전됩니다."
"198758357-0-103623","Crushing Weapon","Crushing Weapon"
"198758357-0-103706","Channeled Acceleration","Channeled Acceleration"
"132143172-0-103809","Reduces the cost of your Psijic Order abilities by <<1>>.","시직 오더 기술의 자원 소모를 <<1>> 만큼 감소시킵니다."
