"Location","Source","Target"
"18173141-0-8003","Antiquarian Field Garb","유물 발굴가 현장 의복"
"18173141-0-8005","Wolf of Solitude Replica Sword","Wolf of Solitude Replica Sword"
"18173141-0-8004","Karthwatch Sigil Shield","Karthwatch Sigil Shield"
"18173141-0-8001","Seastone Browplate","Seastone Browplate"
"211640654-0-4094","Learned from the Skinchanger Crafting Style, acquired by opening New Life Festival Gift Boxes.","새 생명 축제 선물상자를 열어서 획득한, 가죽둔갑자 양식 제작법에서 배웠습니다."
"211640654-0-4095","Learned from the Skinchanger Crafting Style, acquired by opening New Life Festival Gift Boxes.","새 생명 축제 선물상자를 열어서 획득한, 가죽둔갑자 양식 제작법에서 배웠습니다."
"211640654-0-4096","Learned from the Dro-m'Athra Crafting Style, acquired by completing the weekly Maw of Lorkhaj quest.","주간 로카즈의 나락 퀘스트 완료 보상으로 얻을 수 있는, 드로 마스라 양식 제작법에서 배웠습니다."
"211640654-0-4097","Learned from the Dro-m'Athra Crafting Style, acquired by completing the weekly Maw of Lorkhaj quest.","주간 로카즈의 나락 퀘스트 완료 보상으로 얻을 수 있는, 드로 마스라 양식 제작법에서 배웠습니다."
"211640654-0-4090","Learned from the Skinchanger Crafting Style, acquired by opening New Life Festival Gift Boxes.","새 생명 축제 선물상자를 열어서 획득한, 가죽둔갑자 양식 제작법에서 배웠습니다."
"211640654-0-4091","Learned from the Skinchanger Crafting Style, acquired by opening New Life Festival Gift Boxes.","새 생명 축제 선물상자를 열어서 획득한, 가죽둔갑자 양식 제작법에서 배웠습니다."
"211640654-0-4092","Learned from the Skinchanger Crafting Style, acquired by opening New Life Festival Gift Boxes.","새 생명 축제 선물상자를 열어서 획득한, 가죽둔갑자 양식 제작법에서 배웠습니다."
"211640654-0-4093","Learned from the Skinchanger Crafting Style, acquired by opening New Life Festival Gift Boxes.","새 생명 축제 선물상자를 열어서 획득한, 가죽둔갑자 양식 제작법에서 배웠습니다."
"211640654-0-4098","Learned from the Dro-m'Athra Crafting Style, acquired by completing the weekly Maw of Lorkhaj quest.","주간 로카즈의 나락 퀘스트 완료 보상으로 얻을 수 있는, 드로 마스라 양식 제작법에서 배웠습니다."
"211640654-0-4099","Learned from the Dro-m'Athra Crafting Style, acquired by completing the weekly Maw of Lorkhaj quest.","주간 로카즈의 나락 퀘스트 완료 보상으로 얻을 수 있는, 드로 마스라 양식 제작법에서 배웠습니다."
"211640654-0-4083","Learned from the Ebony Crafting Style, acquired by purchasing from Rolis Hlaalu, for Writ Vouchers.","롤리스 할루에게서 의뢰 달성 증명서로 구입한 에보니 양식 제작법으로부터 배웠습니다."
