"Location","Source","Target"
"242841733-0-37904","cloudy Pirate's Jig Tonic","cloudy Pirate's Jig Tonic"
"242841733-0-57639","Sweet Scamp Sake","Sweet Scamp Sake"
"242841733-0-33669","Acai Dry Mazte","아사이 드라이 마즈테 (Acai Dry Mazte)"
"242841733-0-37903","murky Spiceberry Chai","murky Spiceberry Chai"
"242841733-0-37909","murky Winter Rose Tea","murky Winter Rose Tea"
"242841733-0-37908","flat Sorry, Honey Lager","flat Sorry, Honey Lager"
"242841733-0-57640","Comely Wench Whisky","Comely Wench Whisky"
"242841733-0-57641","Arenthian Brandy","Arenthian Brandy"
"242841733-0-57642","Alabaster Honey Rum","Alabaster Honey Rum"
"242841733-0-33672","Treacleberry Tea","Treacleberry Tea"
"242841733-0-32103","Eltheric Hooch","Eltheric Hooch"
"242841733-0-33678","Enlightenment Tea","Enlightenment Tea"
"242841733-0-57645","Sweet Dreams Tea","Sweet Dreams Tea"
"242841733-0-33436","Tranquility Pale Ale","Tranquility Pale Ale"
"242841733-0-57646","Aetherial Tea","Aetherial Tea"
"242841733-0-32105","sujamma","sujamma"
"242841733-0-33675","West Weald Wallop","West Weald Wallop"
"242841733-0-57647","Bitter Ritual Tea","Bitter Ritual Tea"
"242841733-0-32104","Bitterlemon Tea","Bitterlemon Tea"
"242841733-0-37910","cloudy Seaberry Tonic","cloudy Seaberry Tonic"
"242841733-0-33434","Enemies Explode","Enemies Explode"
"242841733-0-57648","Pirate Queen Mint Tea","Pirate Queen Mint Tea"
"228378404-0-112426","A seasonal drink enjoyed during the New Life Festival. This Redguard drink is served piping hot, and sharpens the imbiber's wits rather than dulls them.","새 생명 축제 기간에 즐겨 마시는 술입니다. 이 레드가드 술은 몹시 뜨거우며, 마시는 사람의 분별력을 둔하게 하기보다는 오히려 날카롭게 합니다."
"242841733-0-33420","Comberry Bourbon","Comberry Bourbon"
"242841733-0-120763","Dubious Camoran Throne","미덥잖은 카모란 왕좌(Dubious Camoran Throne)"
"242841733-0-57651","Lemonic Invigoration","Lemonic Invigoration"
"242841733-0-33663","Kaveh Stout","Kaveh Stout"
"242841733-0-57652","Sload Slime","Sload Slime"
"242841733-0-33660","Morning Reveille Tea","Morning Reveille Tea"
