"Location","Source","Target"
"228378404-0-81997","Ten of these items can be refined into Pearl Sand, which is used to make Order of the Hour equipment.","이 아이템 10개를 가공해 시간의 기사단 장비를 만드는데 쓰이는 진주 모래를 얻을 수 있습니다."
"228378404-0-59923","Ten of these items can be refined into Charcoal of Remorse, which is used to make Xivkyn equipment.","이 아이템 10개를 가공해서 지브킨 장비를 제작하는데 쓰이는 회한의 숯덩이를 제작합니다."
"228378404-0-75371","Ten of these items can be refined into Fine Chalk, which is used to make Thieves Guild equipment.","이 아이템 10개를 가공해 도둑 길드 장비를 만드는데 쓰이는 고운 백악을 얻을 수 있습니다."
"242841733-0-64688","Ancient Scale","고대 비늘 (Ancient Scale)"
"242841733-0-130058","Raw Bonemold Resin","가공되지 않은 본몰드 수지 (Raw Bonemold Resin)"
"228378404-0-57665","Ten of these items can be refined into a Dwemer Frame, which is used to make Dwemer equipment.","이 아이템 10개를 가공해 드웨머 장비를 만드는데 쓰이는 드웨머 뼈대를 얻을 수 있습니다."
"228378404-0-64690","Ten of these items can be refined into Malachite, which is used to make Glass equipment.","이 아이템 10개를 가공해 글래스 장비를 만드는 데 사용되는 공작석을 만들 수 있습니다."
"242841733-0-121523","Dull Sphalerite","칙칙한 섬아연광 (Dull Sphalerite)"
"242841733-0-121521","Viridian Dust","비리디안 가루 (Viridian Dust)"
"242841733-0-57665","Dwemer Scrap","드웨머 조각 (Dwemer Scrap)"
"242841733-0-64690","Malachite Shard","공작석 조각 (Malachite Shard)"
"242841733-0-121522","Pliant Ferrofungus","유연한 철분버섯 (Pliant Ferrofungus)"
"228378404-0-130062","Ten of these items can be refined into Polished Scarab Chitin, which is used to make Redoran equipment.","이 아이템 10개를 가공해 레도란 장비를 만드는데 쓰이는 윤기나는 딱정벌레를 얻을 수 있습니다."
"228378404-0-81995","Ten of these items can be refined into Oxblood Fungus, which is used to make Minotaur equipment.","이 아이템 10개를 가공해 미노타우르스 장비를 만드는데 쓰이는 선지 곰팡이를 얻을 수 있습니다."
"242841733-0-59923","Ashes of Remorse","회한의 잿가루 (Ashes of Remorse)"
"242841733-0-81997","Grain of Pearl Sand","진주 모래 알갱이 (Grain of Pearl Sand)"
"242841733-0-81995","Oxblood Fungus Spore","선지 곰팡이 포자 (Oxblood Fungus Spore)"
"228378404-0-130058","Ten of these items can be refined into Refined White-Gold, which is used to make Hlaalu equipment.","이 아이템 10개를 가공해 할루 장비를 만드는데 쓰이는 정제된 백금을 얻을 수 있습니다."
"242841733-0-130062","Scarab Elytra","딱정벌레 (Scarab Elytra)"
"228378404-0-76911","Ten of these items can be refined into Tainted Blood, which is used to make Assassins League equipment.","이 아이템 10개를 가공해 암살자 연맹 장비를 만드는데 쓰이는 부패한 혈액을 얻을 수 있습니다."
"242841733-0-75371","Coarse Chalk","거친 백악 (Coarse Chalk)"
"242841733-0-69556","Cassiterite Sand","주석석 가루 (Cassiterite Sand)"
"242841733-0-76911","Dried Blood","말린 혈액 (Dried Blood)"
"228378404-0-121522","Ten of these items can be refined into Wrought Ferrofungus, which is used to make Telvanni equipment.","이 아이템 10개를 가공해 텔바니 장비를 만드는데 쓰이는 정제된 철분버섯을 얻을 수 있습니다."
"228378404-0-121521","Ten of this dust can be refined into Volcanic Viridian, used to make Buoyant Armiger equipment.","이 아이템 10개를 가공해 부얀트 아미거 장비를 만드는데 쓰이는 비리디안을 얻을 수 있습니다."
"228378404-0-69556","Ten of these items can be refined into Cassiterite, which is used to make Ancient Orc equipment.","이 아이템 10개를 가공해 고대 오크 장비를 만드는 데 사용되는 주석석을 만들 수 있습니다."
"228378404-0-64688","Ten of these items can be refined into Goldscale, which is used to make Akaviri equipment.","이 아이템 10개를 가공해 아카비리 장비를 만드는 데 사용되는 황금비늘을 만들 수 있습니다."
"228378404-0-121523","Ten of these items can be refined into Lustrous Sphalerite, which is used to make Militant Ordinator equipment.","이 아이템 10개를 가공해 전투적인 오디네이터 장비를 만드는데 쓰이는 빛나는 섬아연광을 얻을 수 있습니다."
