"Location","Source","Target"
"228378404-0-54853","Unlocks Undaunted, Soulmagic, Fighter's and Mage's Guilds, Legerdemain, and AVA lines and a bunch of skill points","Unlocks Undaunted, Soulmagic, Fighter's and Mage's Guilds, Legerdemain, and AVA lines and a bunch of skill points"
"242841733-0-55452","Nedic Coffer","Nedic Coffer"
"242841733-0-134810","Jewelry: Trappings of Invigoration","Jewelry: Trappings of Invigoration"
"242841733-0-134812","Weapons: Plague Slinger","Weapons: Plague Slinger"
"242841733-0-134811","Plague Slinger","Plague Slinger"
"242841733-0-134807","Jewelry: Jorvuld's Guidance","Jewelry: Jorvuld's Guidance"
"242841733-0-134806","Weapons: Jorvuld's Guidance","Weapons: Jorvuld's Guidance"
"242841733-0-134809","Weapons: Trappings of Invigoration","Weapons: Trappings of Invigoration"
"242841733-0-134808","Trappings of Invigoration","Trappings of Invigoration"
"242841733-0-134803","Weapons: Caluurion's Legacy","Weapons: Caluurion's Legacy"
"242841733-0-134802","Caluurion's Legacy","Caluurion's Legacy"
"228378404-0-134683","A sealed furnishing plan meant for Morrowind craftspersons. Opening this will reveal a random |cA02EF7Epic|r| furnishing plan.","A sealed furnishing plan meant for Morrowind craftspersons. Opening this will reveal a random |cA02EF7Epic|r| furnishing plan."
"242841733-0-134805","Jorvuld's Guidance","Jorvuld's Guidance"
"228378404-0-134684","A sealed furnishing plan meant for Morrowind craftspersons. Opening this will reveal a random |c3A92FFSuperior|r| furnishing plan.","A sealed furnishing plan meant for Morrowind craftspersons. Opening this will reveal a random |c3A92FFSuperior|r| furnishing plan."
"242841733-0-134804","Jewelry: Caluurion's Legacy","Jewelry: Caluurion's Legacy"
"228378404-0-94086","This large box contains a piece of equipment from the Sithis' Touch item set.","이 큰 상자에는 시디스의 손길 아이템 세트 장비의 일부가 들어있습니다."
"228378404-0-94085","This large box contains a piece of equipment from the Sithis' Touch item set.","이 큰 상자에는 시디스의 손길 아이템 세트 장비의 일부가 들어있습니다."
"228378404-0-94088","This small pouch contains items that an assassin might find useful.","암살자에게 유용할 아이템이 들어 있는 작은 주머니 입니다."
"228378404-0-121364","A sealed furnishing plan meant for House Hlaalu craftspersons. Opening this will reveal a random |cA02EF7Epic|r| furnishing plan.","할루 가문의 공예가들을 위해 작성된 가구 도면입니다. 이 서류의 봉인을 열면 무작위한 에픽 가구 도면을 얻을 수 있습니다."
"242841733-0-44790","Small Heavy Armor","Small Heavy Armor"
"228378404-0-94087","This small satchel contains items that an assassin might find useful.","This small satchel contains items that an assassin might find useful."
"242841733-0-44791","Large Medium Armor","Large Medium Armor"
"242841733-0-44792","Small Medium Armor","Small Medium Armor"
"228378404-0-150702","A Light Armor set found in Cyrodiil.","A Light Armor set found in Cyrodiil."
"228378404-0-94089","This weekly reward was given to you by the Undaunted for performing daring feats in the Maw of Lorkhaj. The items inside scale to your level at the moment you open the box.","This weekly reward was given to you by the Undaunted for performing daring feats in the Maw of Lorkhaj. The items inside scale to your level at the moment you open the box."
"228378404-0-150701","A Light Armor set found in Cyrodiil.","A Light Armor set found in Cyrodiil."
"242841733-0-44793","Large Light Armor","Large Light Armor"
"228378404-0-150700","Once, this held supplies for an adventurer just hitting the trail. Now, it holds supplies for you.","한때 이 가방에는 길을 떠나는 모험가를 위한 보급품이 들어있었습니다. 보급품은 이제 당신의 것이군요. "
"242841733-0-44794","Small Light Armor","Small Light Armor"
"228378404-0-134678","Contains a Jester's Scintillator. This container can be traded, mailed, and posted to Guild Banks and Guild Stores. NOTE: Once opened, the Runebox and its contents are bound to your account.","Contains a Jester's Scintillator. This container can be traded, mailed, and posted to Guild Banks and Guild Stores. NOTE: Once opened, the Runebox and its contents are bound to your account."
"242841733-0-44795","1H Weapon","1H Weapon"
"228378404-0-150706","A Heavy Armor set found in Cyrodiil.","A Heavy Armor set found in Cyrodiil."
"242841733-0-44796","2H Weapon","2H Weapon"
"242841733-0-44797","Staff","Staff"
"228378404-0-150705","A Heavy Armor set found in Cyrodiil.","A Heavy Armor set found in Cyrodiil."
"228378404-0-150704","A Heavy Armor set found in Cyrodiil.","A Heavy Armor set found in Cyrodiil."
"242841733-0-44798","Accessory","Accessory"
"228378404-0-150703","A Light Armor set found in Cyrodiil.","A Light Armor set found in Cyrodiil."
"242841733-0-44789","Large Heavy Armor","Large Heavy Armor"
"228378404-0-134670","This small leather pouch contains many items that can improve your skill and ability.","This small leather pouch contains many items that can improve your skill and ability."
"228378404-0-134671","This box smells of a million different meals. It contains large quantities of many different useful foods and beverages.","This box smells of a million different meals. It contains large quantities of many different useful foods and beverages."
"242841733-0-58503","Blacksmith's Crate III","대장장이의 상자 III"
"242841733-0-58504","Blacksmith's Crate IV","대장장이의 상자 IV"
"242841733-0-58505","Blacksmith's Crate V","대장장이의 상자 V"
"228378404-0-94090","This weekly reward was given to you by the Undaunted for performing daring feats in the Maw of Lorkhaj. The items inside scale to your level at the moment you open the box.","This weekly reward was given to you by the Undaunted for performing daring feats in the Maw of Lorkhaj. The items inside scale to your level at the moment you open the box."
"242841733-0-134821","MONSTER: Zaan","MONSTER: Zaan"
"242841733-0-134820","MONSTER: Thurvokun","몬스터: 투르보쿤"
"242841733-0-134822","Tester's Infinite Outfit Scrap Bolt","Tester's Infinite Outfit Scrap Bolt"
"242841733-0-134818","Weapons: Curse of Doylemish","Weapons: Curse of Doylemish"
"242841733-0-134817","Curse of Doylemish","Curse of Doylemish"
"242841733-0-134819","Jewelry: Curse of Doylemish","Jewelry: Curse of Doylemish"
"242841733-0-134814","Ulfnor's Favor","Ulfnor's Favor"
"242841733-0-134813","Jewelry: Plague Slinger","Jewelry: Plague Slinger"
"242841733-0-134816","Jewelry: Ulfnor's Favor","Jewelry: Ulfnor's Favor"
"242841733-0-134815","Weapons: Ulfnor's Favor","Weapons: Ulfnor's Favor"
"228378404-0-134642","A Light Armor set purchased in Imperial City with Tel Var Stones.","A Light Armor set purchased in Imperial City with Tel Var Stones."
"228378404-0-134645","A Heavy Armor set purchased in Imperial City with Tel Var Stones.","A Heavy Armor set purchased in Imperial City with Tel Var Stones."
"228378404-0-134646","A Heavy Armor set purchased in Imperial City with Tel Var Stones.","A Heavy Armor set purchased in Imperial City with Tel Var Stones."
"242841733-0-134850","WEAPON: Endurance","WEAPON: Endurance"
"228378404-0-134647","A Heavy Armor set purchased in Imperial City with Tel Var Stones.","A Heavy Armor set purchased in Imperial City with Tel Var Stones."
"242841733-0-134852","WEAPON: Agility","WEAPON: Agility"
"228378404-0-134649","A Medium Armor set purchased in Imperial City with Tel Var Stones.","A Medium Armor set purchased in Imperial City with Tel Var Stones."
"242841733-0-134851","WEAPON: Willpower","WEAPON: Willpower"
"242841733-0-134847","Agility, Endurance, Willpower","민첩성, 인내력, 의지력"
