"Location","Source","Target"
"228378404-0-63683","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"242841733-0-64178","Layered Long Dress","레이어드 롱 드레스"
"228378404-0-63684","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"242841733-0-64179","Layered Long Dress","레이어드 롱 드레스"
"228378404-0-63681","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63682","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"242841733-0-64174","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64175","Layered Long Dress","레이어드 롱 드레스"
"228378404-0-63680","This simple linen workshirt has an attached vest.","조끼가 달려있는 단순한 직물 작업복."
"242841733-0-64176","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64177","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64170","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64171","Layered Long Dress","레이어드 롱 드레스"
"228378404-0-63689","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"242841733-0-64172","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64173","Layered Long Dress","레이어드 롱 드레스"
"228378404-0-63687","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63688","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63685","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63686","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"242841733-0-64189","Corseted Long Dress","코르셋 롱 드레스"
"228378404-0-63694","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63695","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63692","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63693","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63690","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"242841733-0-64185","Layered Long Dress","레이어드 롱 드레스"
"228378404-0-63691","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"242841733-0-64186","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64187","Corseted Long Dress","코르셋 롱 드레스"
"242841733-0-64188","Corseted Long Dress","코르셋 롱 드레스"
"242841733-0-64181","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64182","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64183","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64184","Layered Long Dress","레이어드 롱 드레스"
"228378404-0-63698","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63699","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63696","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"228378404-0-63697","This simple linen workshirt is double-layered, with a bloused collar.","단순하게 생긴 더블레이어드 직물 작업복, 블라우스 된 옷깃이 달려있다."
"242841733-0-64180","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64149","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64156","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64157","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64158","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64159","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64152","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64153","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64154","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64155","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64150","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64151","Bloused Long Dress","블라우스 롱 드레스"
"228378404-0-64201","A low-cut corseted dress.","코르셋이 달려 있는 가슴 파인 드레스."
"242841733-0-64167","Layered Long Dress","레이어드 롱 드레스"
"228378404-0-64200","A low-cut corseted dress.","코르셋이 달려 있는 가슴 파인 드레스."
"242841733-0-64168","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64169","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64163","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64164","Bloused Long Dress","블라우스 롱 드레스"
"242841733-0-64165","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64166","Layered Long Dress","레이어드 롱 드레스"
"242841733-0-64160","Bloused Long Dress","블라우스 롱 드레스"
